,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,12,10,18,87,8.875,78,9:28:0,2020/02/01
aquitaine,15,13,18,90,9.375,77,9:48:0,2020/02/01
ardeche,12,9,7,92,9.875,32,9:48:0,2020/02/01
auvergne,14,9,21,88,9,41,9:43:0,2020/02/01
bourgogne,12,9,24,90,8.625,64,9:35:0,2020/02/01
bretagne,13,11,26,93,8.375,87,9:30:0,2020/02/01
centre,13,12,26,91,9,83,9:32:0,2020/02/01
champagne-ardenne,12,11,29,90,9.375,83,9:24:0,2020/02/01
corse,15,13,6,91,10,51,10:1:0,2020/02/01
franche-comte,11,10,27,91,8.875,65,9:35:0,2020/02/01
ile-de-re,12,12,32,94,9.5,87,9:40:0,2020/02/01
ile-de-france,14,12,22,91,8.75,90,9:26:0,2020/02/01
languedoc-roussillon,15,11,22,85,9.375,24,9:53:0,2020/02/01
limousin,11,10,15,96,6.75,91,9:43:0,2020/02/01
lorraine,11,10,27,92,8.625,80,9:24:0,2020/02/01
midi-pyrenees,16,10,23,89,9.5,49,9:54:0,2020/02/01
nord-pas-de-calais,12,9,32,90,6,85,9:17:0,2020/02/01
normandie,12,9,28,92,8.375,79,9:24:0,2020/02/01
pays-de-la-loire,13,12,26,94,8.25,88,9:35:0,2020/02/01
picardie,12,8,32,90,7.25,84,9:19:0,2020/02/01
poitou-charentes,12,12,32,94,9.5,87,9:41:0,2020/02/01
rh-ne-alpes,13,10,17,83,9.75,51,9:43:0,2020/02/01
provence-alpes-c-te-d-azur,15,13,15,84,10,18,9:55:0,2020/02/01
alsace,13,10,20,90,8,97,9:30:0,2020/02/02
aquitaine,19,14,16,84,7.375,67,9:50:0,2020/02/02
ardeche,13,10,4,86,10,51,9:51:0,2020/02/02
auvergne,14,12,12,87,8.25,76,9:45:0,2020/02/02
bourgogne,13,10,31,92,8.125,98,9:38:0,2020/02/02
bretagne,14,13,27,93,9.5,98,9:33:0,2020/02/02
centre,15,14,29,89,8.25,100,9:34:0,2020/02/02
champagne-ardenne,13,12,31,93,7.625,93,9:27:0,2020/02/02
corse,16,13,9,82,10,46,10:3:0,2020/02/02
franche-comte,12,10,30,93,8,100,9:38:0,2020/02/02
ile-de-re,13,12,36,90,8.625,86,9:43:0,2020/02/02
ile-de-france,16,13,24,89,8.625,100,9:29:0,2020/02/02
languedoc-roussillon,16,13,22,83,10,33,9:55:0,2020/02/02
limousin,12,10,18,96,5.875,91,9:45:0,2020/02/02
lorraine,13,10,32,91,8.875,99,9:27:0,2020/02/02
midi-pyrenees,19,13,10,75,10,38,9:56:0,2020/02/02
nord-pas-de-calais,12,11,34,93,8.5,83,9:20:0,2020/02/02
normandie,13,11,35,92,7.75,94,9:27:0,2020/02/02
pays-de-la-loire,14,13,35,94,5.75,100,9:38:0,2020/02/02
picardie,13,10,34,92,8,91,9:22:0,2020/02/02
poitou-charentes,13,12,36,90,8.625,86,9:43:0,2020/02/02
rh-ne-alpes,11,10,13,90,8.75,86,9:45:0,2020/02/02
provence-alpes-c-te-d-azur,15,12,22,77,10,17,9:57:0,2020/02/02
alsace,12,10,10,95,6.875,100,9:33:0,2020/02/03
aquitaine,20,13,10,85,10,4,9:52:0,2020/02/03
ardeche,17,12,11,79,10,23,9:53:0,2020/02/03
auvergne,17,12,10,82,10,23,9:48:0,2020/02/03
bourgogne,14,12,25,90,8.375,93,9:40:0,2020/02/03
bretagne,13,11,28,94,9.75,96,9:36:0,2020/02/03
centre,14,13,24,90,8,98,9:37:0,2020/02/03
champagne-ardenne,11,10,23,92,7.625,97,9:30:0,2020/02/03
corse,18,15,8,75,10,18,10:5:0,2020/02/03
franche-comte,13,12,27,89,8.875,88,9:40:0,2020/02/03
ile-de-re,13,12,29,91,10,20,9:46:0,2020/02/03
ile-de-france,13,11,21,78,7,92,9:32:0,2020/02/03
languedoc-roussillon,19,15,22,66,10,7,9:59:0,2020/02/03
limousin,14,10,14,94,7,37,9:48:0,2020/02/03
lorraine,10,7,22,93,6.875,97,9:31:0,2020/02/03
midi-pyrenees,22,14,6,71,10,3,9:58:0,2020/02/03
nord-pas-de-calais,11,9,29,86,9.375,94,9:24:0,2020/02/03
normandie,11,9,20,92,9.25,91,9:31:0,2020/02/03
pays-de-la-loire,14,13,32,95,10,88,9:40:0,2020/02/03
picardie,12,8,27,93,9,89,9:26:0,2020/02/03
poitou-charentes,13,12,29,91,10,20,9:46:0,2020/02/03
rh-ne-alpes,18,12,8,80,10,45,9:48:0,2020/02/03
provence-alpes-c-te-d-azur,19,15,35,71,10,3,9:59:0,2020/02/03
alsace,10,5,25,76,7.875,87,9:37:0,2020/02/04
aquitaine,14,10,16,75,10,54,9:55:0,2020/02/04
ardeche,10,6,28,69,10,33,9:56:0,2020/02/04
