,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,11,7,25,78,8.75,87,11:3:0,2020/03/01
aquitaine,12,10,32,78,9.75,81,11:12:0,2020/03/01
ardeche,10,6,17,92,9,82,11:12:0,2020/03/01
auvergne,10,7,30,82,7.5,77,11:10:0,2020/03/01
bourgogne,10,6,32,83,7.875,89,11:7:0,2020/03/01
bretagne,9,5,24,95,8.75,74,11:5:0,2020/03/01
centre,8,2,43,86,8.625,85,11:6:0,2020/03/01
champagne-ardenne,9,5,31,93,9.125,76,11:3:0,2020/03/01
corse,13,11,15,94,9,85,11:16:0,2020/03/01
franche-comte,10,7,30,81,8.125,83,11:7:0,2020/03/01
ile-de-re,10,6,49,86,8.875,81,11:8:0,2020/03/01
ile-de-france,9,5,21,84,8.625,89,11:3:0,2020/03/01
languedoc-roussillon,13,12,24,79,8.125,71,11:14:0,2020/03/01
limousin,7,6,22,95,8.625,91,11:9:0,2020/03/01
lorraine,9,6,31,83,8.25,90,11:2:0,2020/03/01
midi-pyrenees,14,10,33,84,8.5,89,11:14:0,2020/03/01
nord-pas-de-calais,9,5,31,76,9.375,78,11:0:0,2020/03/01
normandie,8,5,22,81,9.875,73,11:2:0,2020/03/01
pays-de-la-loire,9,7,32,95,8.625,72,11:6:0,2020/03/01
picardie,8,4,27,82,9.75,72,11:1:0,2020/03/01
poitou-charentes,10,6,49,86,8.875,81,11:9:0,2020/03/01
rh-ne-alpes,12,9,26,69,9.75,77,11:10:0,2020/03/01
provence-alpes-c-te-d-azur,13,12,22,73,9.75,59,11:14:0,2020/03/01
alsace,8,6,7,88,8.5,79,11:7:0,2020/03/02
aquitaine,11,9,34,76,8.75,80,11:15:0,2020/03/02
ardeche,10,8,12,98,5.875,91,11:14:0,2020/03/02
auvergne,7,5,30,89,7.75,84,11:12:0,2020/03/02
bourgogne,6,3,17,97,8.25,84,11:10:0,2020/03/02
bretagne,9,6,32,86,9.25,71,11:8:0,2020/03/02
centre,8,6,30,95,9.25,90,11:9:0,2020/03/02
champagne-ardenne,7,5,23,95,9.25,92,11:6:0,2020/03/02
corse,13,10,38,95,8,82,11:19:0,2020/03/02
franche-comte,6,3,19,93,8.25,78,11:10:0,2020/03/02
ile-de-re,10,9,48,80,8.625,74,11:12:0,2020/03/02
ile-de-france,8,7,23,92,9.125,87,11:6:0,2020/03/02
languedoc-roussillon,13,11,41,79,10,74,11:16:0,2020/03/02
limousin,7,4,23,97,7.375,93,11:13:0,2020/03/02
lorraine,6,5,16,95,8.5,93,11:6:0,2020/03/02
midi-pyrenees,11,8,46,84,9.375,77,11:17:0,2020/03/02
nord-pas-de-calais,6,5,23,93,9.625,86,11:4:0,2020/03/02
normandie,7,6,32,89,8.875,83,11:6:0,2020/03/02
pays-de-la-loire,9,6,33,87,8.625,77,11:10:0,2020/03/02
picardie,7,4,23,93,9.375,87,11:5:0,2020/03/02
