,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,20,13,11,89,9.25,71,13:24:0,2020/09/01
aquitaine,24,15,13,65,10,23,13:13:0,2020/09/01
ardeche,22,11,20,84,10,17,13:14:0,2020/09/01
auvergne,19,9,10,88,10,7,13:16:0,2020/09/01
bourgogne,19,11,12,94,8.75,71,13:20:0,2020/09/01
bretagne,21,9,17,93,10,16,13:22:0,2020/09/01
centre,21,11,12,83,10,10,13:21:0,2020/09/01
champagne-ardenne,20,11,14,89,9.75,57,13:25:0,2020/09/01
corse,24,17,13,75,9.875,40,13:7:0,2020/09/01
franche-comte,19,11,6,97,5.875,90,13:20:0,2020/09/01
ile-de-re,22,15,18,69,10,16,13:16:0,2020/09/01
ile-de-france,21,15,9,75,10,15,13:24:0,2020/09/01
languedoc-roussillon,23,18,10,60,10,18,13:10:0,2020/09/01
limousin,21,10,11,83,10,10,13:16:0,2020/09/01
lorraine,19,12,16,92,8.875,75,13:25:0,2020/09/01
midi-pyrenees,24,14,14,76,10,23,13:10:0,2020/09/01
nord-pas-de-calais,18,11,14,88,10,40,13:28:0,2020/09/01
normandie,18,11,11,86,10,13,13:25:0,2020/09/01
pays-de-la-loire,23,11,15,79,10,18,13:19:0,2020/09/01
picardie,18,11,14,87,10,55,13:27:0,2020/09/01
poitou-charentes,22,15,18,69,10,16,13:16:0,2020/09/01
rh-ne-alpes,22,12,13,84,10,39,13:16:0,2020/09/01
provence-alpes-c-te-d-azur,24,18,26,65,10,18,13:10:0,2020/09/01
alsace,22,13,8,81,10,24,13:20:0,2020/09/02
aquitaine,24,14,14,61,10,23,13:11:0,2020/09/02
ardeche,23,11,21,84,10,3,13:10:0,2020/09/02
auvergne,20,8,12,88,10,30,13:13:0,2020/09/02
bourgogne,22,10,8,91,9.875,50,13:16:0,2020/09/02
bretagne,22,10,9,88,10,26,13:18:0,2020/09/02
centre,22,12,10,74,10,5,13:18:0,2020/09/02
champagne-ardenne,21,10,10,81,10,29,13:22:0,2020/09/02
corse,24,15,10,64,10,17,13:4:0,2020/09/02
franche-comte,21,10,9,94,8,21,13:16:0,2020/09/02
ile-de-re,20,15,17,64,10,13,13:13:0,2020/09/02
ile-de-france,25,15,10,67,10,6,13:21:0,2020/09/02
languedoc-roussillon,25,18,11,57,10,5,13:7:0,2020/09/02
limousin,22,10,9,85,10,6,13:12:0,2020/09/02
lorraine,21,13,9,83,10,54,13:21:0,2020/09/02
midi-pyrenees,24,13,17,72,10,4,13:7:0,2020/09/02
nord-pas-de-calais,20,12,7,84,10,12,13:24:0,2020/09/02
normandie,21,11,7,87,10,22,13:21:0,2020/09/02
pays-de-la-loire,24,11,10,91,10,12,13:16:0,2020/09/02
picardie,20,10,8,87,10,6,13:23:0,2020/09/02
poitou-charentes,20,15,17,64,10,13,13:13:0,2020/09/02
rh-ne-alpes,23,13,12,82,10,24,13:13:0,2020/09/02
provence-alpes-c-te-d-azur,24,20,17,63,10,5,13:7:0,2020/09/02
alsace,24,13,7,75,10,28,13:17:0,2020/09/03
aquitaine,29,15,4,79,10,5,13:7:0,2020/09/03
ardeche,25,13,15,74,10,6,13:7:0,2020/09/03
auvergne,24,12,5,79,10,8,13:9:0,2020/09/03
bourgogne,24,13,5,79,10,20,13:13:0,2020/09/03
bretagne,25,13,21,88,10,42,13:15:0,2020/09/03
centre,26,16,12,58,10,26,13:14:0,2020/09/03
champagne-ardenne,25,14,17,61,10,50,13:19:0,2020/09/03
corse,24,17,9,72,10,22,13:2:0,2020/09/03
franche-comte,21,11,8,92,10,20,13:13:0,2020/09/03
ile-de-re,21,16,13,70,10,10,13:10:0,2020/09/03
ile-de-france,26,18,15,47,10,60,13:17:0,2020/09/03
languedoc-roussillon,25,19,11,62,10,6,13:5:0,2020/09/03
limousin,27,11,2,81,10,10,13:9:0,2020/09/03
lorraine,20,13,13,81,10,48,13:18:0,2020/09/03
midi-pyrenees,27,14,9,65,10,3,13:4:0,2020/09/03
nord-pas-de-calais,22,15,23,67,8.375,78,13:21:0,2020/09/03
