,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,24,13,15,79,10,10,15:53:0,2020/06/01
aquitaine,27,21,12,72,9.875,38,15:23:0,2020/06/01
ardeche,24,15,17,92,8.75,29,15:22:0,2020/06/01
auvergne,24,17,9,93,9,77,15:30:0,2020/06/01
bourgogne,22,10,12,85,10,6,15:42:0,2020/06/01
bretagne,24,17,18,83,10,3,15:48:0,2020/06/01
centre,23,12,18,79,10,3,15:47:0,2020/06/01
champagne-ardenne,23,11,19,83,10,25,15:59:0,2020/06/01
corse,22,17,10,74,10,23,15:2:0,2020/06/01
franche-comte,23,12,10,80,10,3,15:41:0,2020/06/01
ile-de-re,23,18,21,77,10,1,15:33:0,2020/06/01
ile-de-france,26,16,18,66,10,2,15:54:0,2020/06/01
languedoc-roussillon,22,19,17,83,10,14,15:14:0,2020/06/01
limousin,25,18,9,92,7.5,55,15:30:0,2020/06/01
lorraine,22,12,22,80,10,24,15:57:0,2020/06/01
midi-pyrenees,24,19,19,77,9.75,52,15:14:0,2020/06/01
nord-pas-de-calais,23,13,18,79,10,16,16:8:0,2020/06/01
normandie,20,15,22,86,10,4,15:58:0,2020/06/01
pays-de-la-loire,24,17,21,78,10,1,15:41:0,2020/06/01
picardie,23,12,19,82,10,13,16:4:0,2020/06/01
poitou-charentes,23,18,21,77,10,1,15:33:0,2020/06/01
rh-ne-alpes,26,16,13,77,10,21,15:30:0,2020/06/01
provence-alpes-c-te-d-azur,22,21,17,65,10,12,15:11:0,2020/06/01
alsace,26,16,10,82,10,9,15:54:0,2020/06/02
aquitaine,28,22,8,70,9.875,28,15:24:0,2020/06/02
ardeche,26,16,5,87,9.75,44,15:23:0,2020/06/02
auvergne,24,19,10,86,9.875,46,15:31:0,2020/06/02
bourgogne,24,13,10,90,10,20,15:43:0,2020/06/02
bretagne,24,19,18,84,10,10,15:50:0,2020/06/02
centre,27,16,9,88,10,11,15:48:0,2020/06/02
champagne-ardenne,25,14,8,81,10,19,16:1:0,2020/06/02
corse,22,16,12,83,9.75,32,15:3:0,2020/06/02
franche-comte,25,15,14,87,10,8,15:43:0,2020/06/02
ile-de-re,22,19,18,77,10,8,15:34:0,2020/06/02
ile-de-france,27,18,9,72,10,28,15:56:0,2020/06/02
languedoc-roussillon,22,20,17,78,9.875,22,15:15:0,2020/06/02
limousin,27,20,4,83,8.875,21,15:31:0,2020/06/02
lorraine,24,14,8,83,9.875,12,15:58:0,2020/06/02
midi-pyrenees,27,20,7,70,10,26,15:15:0,2020/06/02
nord-pas-de-calais,24,16,15,71,10,21,16:9:0,2020/06/02
normandie,19,14,17,78,9,5,16:0:0,2020/06/02
pays-de-la-loire,27,20,15,78,9,15,15:43:0,2020/06/02
picardie,25,14,13,86,10,20,16:6:0,2020/06/02
poitou-charentes,22,19,18,77,10,8,15:34:0,2020/06/02
rh-ne-alpes,28,17,10,74,10,30,15:31:0,2020/06/02
provence-alpes-c-te-d-azur,22,20,18,78,10,34,15:12:0,2020/06/02
alsace,25,17,7,83,9.375,54,15:55:0,2020/06/03
aquitaine,25,18,20,77,10,21,15:26:0,2020/06/03
ardeche,22,15,12,93,7.875,64,15:24:0,2020/06/03
auvergne,22,16,9,91,8.5,76,15:32:0,2020/06/03
bourgogne,22,15,13,91,8.5,78,15:45:0,2020/06/03
bretagne,21,15,14,89,9.625,50,15:52:0,2020/06/03
centre,23,16,13,89,9.125,61,15:50:0,2020/06/03
champagne-ardenne,21,14,12,89,9.75,50,16:1:0,2020/06/03
corse,22,16,10,71,10,6,15:5:0,2020/06/03
franche-comte,22,15,12,94,8.5,62,15:44:0,2020/06/03
ile-de-re,20,17,27,79,10,41,15:36:0,2020/06/03
ile-de-france,24,18,14,69,9.125,77,15:58:0,2020/06/03
languedoc-roussillon,23,21,22,78,9.875,35,15:16:0,2020/06/03
limousin,20,17,9,94,8.875,64,15:33:0,2020/06/03
lorraine,22,16,6,85,9.625,71,16:0:0,2020/06/03
midi-pyrenees,25,18,15,83,9.875,43,15:17:0,2020/06/03
nord-pas-de-calais,20,14,18,79,10,44,16:11:0,2020/06/03
normandie,19,13,18,88,10,51,16:0:0,2020/06/03
pays-de-la-loire,22,17,15,82,8.875,27,15:44:0,2020/06/03
picardie,21,13,17,84,9.75,60,16:7:0,2020/06/03
poitou-charentes,20,17,27,79,10,41,15:36:0,2020/06/03
rh-ne-alpes,25,17,14,78,8.75,64,15:32:0,2020/06/03
provence-alpes-c-te-d-azur,22,20,18,77,10,24,15:14:0,2020/06/03
alsace,19,14,15,88,7.875,74,15:56:0,2020/06/04
aquitaine,21,16,23,74,9.75,51,15:26:0,2020/06/04
ardeche,18,12,7,97,8.25,85,15:25:0,2020/06/04
auvergne,19,12,14,94,8.5,65,15:33:0,2020/06/04
bourgogne,18,12,19,95,9.375,72,15:46:0,2020/06/04
bretagne,16,12,28,86,10,63,15:53:0,2020/06/04
centre,16,12,17,91,9.375,75,15:51:0,2020/06/04
champagne-ardenne,14,11,17,95,9.875,82,16:3:0,2020/06/04
corse,24,17,15,92,9.625,46,15:5:0,2020/06/04
franche-comte,16,11,15,97,7.5,89,15:45:0,2020/06/04
ile-de-re,19,15,30,79,9.625,49,15:37:0,2020/06/04
ile-de-france,16,14,14,77,9.5,76,15:59:0,2020/06/04
languedoc-roussillon,21,18,30,75,8.875,54,15:18:0,2020/06/04
limousin,15,12,11,96,6.25,89,15:34:0,2020/06/04
lorraine,17,12,18,94,9.375,84,16:2:0,2020/06/04
midi-pyrenees,19,15,34,84,9.875,64,15:18:0,2020/06/04
nord-pas-de-calais,14,10,22,81,10,75,16:13:0,2020/06/04
normandie,13,11,22,95,10,70,16:2:0,2020/06/04
pays-de-la-loire,17,13,24,79,8.875,57,15:45:0,2020/06/04
picardie,14,10,19,89,9.75,79,16:9:0,2020/06/04
