,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,21,15,5,63,10,6,14:33:0,2019/05/01
aquitaine,21,17,10,66,10,34,14:14:0,2019/05/01
ardeche,20,13,12,69,9,13,14:14:0,2019/05/01
auvergne,20,13,10,67,7.625,32,14:19:0,2019/05/01
bourgogne,17,11,11,78,8,3,14:27:0,2019/05/01
bretagne,16,12,18,89,9.25,81,14:30:0,2019/05/01
centre,19,13,7,75,7.625,45,14:30:0,2019/05/01
champagne-ardenne,18,13,6,73,8.625,13,14:37:0,2019/05/01
corse,18,16,13,57,10,31,14:2:0,2019/05/01
franche-comte,18,12,12,69,7.625,7,14:26:0,2019/05/01
ile-de-re,16,13,22,82,9.75,39,14:20:0,2019/05/01
ile-de-france,21,14,8,64,10,24,14:34:0,2019/05/01
languedoc-roussillon,20,18,17,63,10,7,14:9:0,2019/05/01
limousin,20,14,7,67,7.25,40,14:19:0,2019/05/01
lorraine,18,12,4,75,10,13,14:36:0,2019/05/01
midi-pyrenees,22,15,8,69,9.875,19,14:8:0,2019/05/01
nord-pas-de-calais,16,11,10,81,6.75,54,14:43:0,2019/05/01
normandie,14,11,12,84,8.375,69,14:36:0,2019/05/01
pays-de-la-loire,17,13,9,75,9,58,14:26:0,2019/05/01
picardie,17,11,11,93,6.125,61,14:41:0,2019/05/01
poitou-charentes,16,13,15,82,9.75,39,14:20:0,2019/05/01
rh-ne-alpes,23,12,6,72,10,23,14:18:0,2019/05/01
provence-alpes-c-te-d-azur,19,18,14,59,10,2,14:7:0,2019/05/01
alsace,18,15,14,72,9,55,14:36:0,2019/05/02
aquitaine,18,14,17,70,10,35,14:17:0,2019/05/02
ardeche,18,14,10,76,9.75,62,14:17:0,2019/05/02
auvergne,15,12,17,75,9.75,70,14:21:0,2019/05/02
bourgogne,12,11,16,93,8.25,80,14:29:0,2019/05/02
bretagne,14,11,20,83,8,71,14:33:0,2019/05/02
centre,13,9,16,96,7.375,84,14:32:0,2019/05/02
champagne-ardenne,15,12,16,81,8.875,63,14:39:0,2019/05/02
corse,19,17,12,49,10,14,14:4:0,2019/05/02
franche-comte,13,11,16,94,8.25,70,14:29:0,2019/05/02
ile-de-re,13,11,23,85,10,50,14:24:0,2019/05/02
ile-de-france,14,12,16,79,8,88,14:38:0,2019/05/02
languedoc-roussillon,20,15,25,81,9.125,39,14:11:0,2019/05/02
limousin,13,10,10,91,9.625,83,14:21:0,2019/05/02
lorraine,15,12,14,79,9.375,69,14:40:0,2019/05/02
midi-pyrenees,18,13,21,81,9.75,67,14:11:0,2019/05/02
nord-pas-de-calais,14,11,17,88,5.75,71,14:45:0,2019/05/02
normandie,14,11,21,84,7.625,74,14:40:0,2019/05/02
pays-de-la-loire,15,11,19,86,7.5,68,14:29:0,2019/05/02
picardie,14,8,21,92,5,91,14:44:0,2019/05/02
poitou-charentes,13,11,23,85,10,50,14:24:0,2019/05/02
rh-ne-alpes,17,14,15,71,9.75,62,14:22:0,2019/05/02
provence-alpes-c-te-d-azur,19,16,22,71,10,32,14:10:0,2019/05/02
alsace,15,12,12,77,8.75,72,14:39:0,2019/05/03
aquitaine,16,12,14,76,9,71,14:19:0,2019/05/03
ardeche,15,11,19,74,10,57,14:19:0,2019/05/03
