,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,20,17,15,67,10,30,13:25:0,2018/09/01
aquitaine,28,21,11,54,10,1,13:16:0,2018/09/01
ardeche,22,18,29,52,10,6,13:15:0,2018/09/01
auvergne,20,15,16,53,9,9,13:18:0,2018/09/01
bourgogne,21,18,18,59,10,12,13:22:0,2018/09/01
bretagne,25,19,9,63,10,5,13:24:0,2018/09/01
centre,23,19,14,49,10,4,13:24:0,2018/09/01
champagne-ardenne,22,18,12,50,10,2,13:27:0,2018/09/01
corse,22,21,16,54,10,4,13:8:0,2018/09/01
franche-comte,20,16,16,66,9,28,13:21:0,2018/09/01
ile-de-re,25,21,14,53,10,1,13:20:0,2018/09/01
ile-de-france,23,19,12,47,10,1,13:26:0,2018/09/01
languedoc-roussillon,26,22,22,45,10,3,13:12:0,2018/09/01
limousin,23,16,13,55,9,2,13:19:0,2018/09/01
lorraine,20,17,15,59,10,27,13:26:0,2018/09/01
midi-pyrenees,27,21,15,55,10,25,13:13:0,2018/09/01
nord-pas-de-calais,21,18,9,54,10,2,13:31:0,2018/09/01
normandie,22,18,13,64,10,7,13:28:0,2018/09/01
pays-de-la-loire,26,21,9,57,10,2,13:22:0,2018/09/01
picardie,21,14,10,61,10,2,13:29:0,2018/09/01
poitou-charentes,25,21,14,53,10,1,13:19:0,2018/09/01
rh-ne-alpes,22,17,24,55,10,18,13:18:0,2018/09/01
provence-alpes-c-te-d-azur,25,21,37,50,10,3,13:12:0,2018/09/01
alsace,17,16,16,76,10,66,13:21:0,2018/09/02
aquitaine,28,21,11,42,10,13,13:13:0,2018/09/02
ardeche,23,18,17,60,10,8,13:12:0,2018/09/02
auvergne,22,16,13,57,10,10,13:14:0,2018/09/02
bourgogne,21,18,18,56,10,25,13:19:0,2018/09/02
bretagne,24,18,12,57,10,3,13:21:0,2018/09/02
centre,24,19,15,48,10,3,13:21:0,2018/09/02
champagne-ardenne,23,18,17,49,10,19,13:24:0,2018/09/02
corse,22,20,10,65,10,10,13:5:0,2018/09/02
franche-comte,20,17,14,60,10,34,13:18:0,2018/09/02
ile-de-re,25,20,20,47,10,10,13:16:0,2018/09/02
ile-de-france,24,18,12,47,10,5,13:23:0,2018/09/02
languedoc-roussillon,25,22,13,57,10,8,13:9:0,2018/09/02
limousin,24,19,11,53,10,10,13:15:0,2018/09/02
lorraine,19,18,20,65,10,54,13:23:0,2018/09/02
midi-pyrenees,27,21,9,40,10,23,13:9:0,2018/09/02
nord-pas-de-calais,23,17,12,56,10,2,13:27:0,2018/09/02
normandie,21,17,17,60,10,3,13:24:0,2018/09/02
pays-de-la-loire,25,19,17,47,10,5,13:19:0,2018/09/02
picardie,22,15,12,72,10,2,13:26:0,2018/09/02
poitou-charentes,25,20,20,47,10,10,13:16:0,2018/09/02
rh-ne-alpes,22,17,17,62,10,23,13:14:0,2018/09/02
provence-alpes-c-te-d-azur,25,22,10,49,10,7,13:9:0,2018/09/02
