,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,17,11,16,90,9.375,40,11:38:0,2020/10/01
aquitaine,18,15,17,88,9.375,68,11:41:0,2020/10/01
ardeche,19,12,9,84,10,40,11:41:0,2020/10/01
auvergne,16,11,15,85,9.75,57,11:41:0,2020/10/01
bourgogne,15,10,23,96,6.375,62,11:39:0,2020/10/01
bretagne,15,11,25,89,9.625,60,11:38:0,2020/10/01
centre,17,13,22,89,9.25,69,11:39:0,2020/10/01
champagne-ardenne,15,13,21,91,8.625,73,11:38:0,2020/10/01
corse,21,15,9,74,10,17,11:44:0,2020/10/01
franche-comte,14,10,18,87,9.75,53,11:40:0,2020/10/01
ile-de-re,16,10,29,83,8.625,84,11:41:0,2020/10/01
ile-de-france,17,14,21,87,8.375,74,11:37:0,2020/10/01
languedoc-roussillon,22,15,15,86,10,46,11:43:0,2020/10/01
limousin,15,12,14,95,9.25,63,11:40:0,2020/10/01
lorraine,14,11,22,93,9.625,71,11:38:0,2020/10/01
midi-pyrenees,18,13,17,84,10,48,11:42:0,2020/10/01
nord-pas-de-calais,15,13,26,90,7.5,86,11:37:0,2020/10/01
normandie,15,12,26,92,9.125,72,11:37:0,2020/10/01
pays-de-la-loire,15,11,22,94,9.25,76,11:39:0,2020/10/01
picardie,15,14,26,90,8.375,86,11:37:0,2020/10/01
poitou-charentes,16,10,29,83,8.625,84,11:40:0,2020/10/01
rh-ne-alpes,16,13,11,71,9,68,11:41:0,2020/10/01
provence-alpes-c-te-d-azur,21,19,12,78,9.5,40,11:43:0,2020/10/01
alsace,20,12,12,87,10,61,11:35:0,2020/10/02
aquitaine,14,13,22,87,8.125,88,11:38:0,2020/10/02
ardeche,15,14,33,94,7.625,91,11:38:0,2020/10/02
auvergne,13,10,17,94,7.75,78,11:37:0,2020/10/02
bourgogne,13,11,18,97,4.25,87,11:36:0,2020/10/02
bretagne,14,8,31,88,9.375,65,11:35:0,2020/10/02
centre,14,12,23,92,8.625,93,11:36:0,2020/10/02
champagne-ardenne,13,11,31,93,7.375,88,11:34:0,2020/10/02
corse,22,18,19,85,9.875,66,11:41:0,2020/10/02
franche-comte,15,11,9,95,5.375,94,11:37:0,2020/10/02
ile-de-re,15,14,31,80,8,80,11:37:0,2020/10/02
ile-de-france,15,12,26,89,7.125,83,11:34:0,2020/10/02
languedoc-roussillon,20,16,40,81,8.625,67,11:40:0,2020/10/02
limousin,11,10,16,96,7.875,88,11:37:0,2020/10/02
lorraine,15,10,21,91,9.5,59,11:34:0,2020/10/02
midi-pyrenees,14,12,29,89,8.75,75,11:40:0,2020/10/02
