,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,12,11,13,87,7.625,80,9:55:0,2019/11/01
aquitaine,18,16,18,93,8.5,92,10:12:0,2019/11/01
ardeche,13,10,8,96,8.375,59,10:12:0,2019/11/01
auvergne,13,9,11,91,7.625,57,10:8:0,2019/11/01
bourgogne,11,5,28,93,6.625,93,10:1:0,2019/11/01
bretagne,17,16,24,94,9.25,92,9:58:0,2019/11/01
centre,16,12,22,93,7.25,96,9:58:0,2019/11/01
champagne-ardenne,12,11,23,95,6.75,100,9:52:0,2019/11/01
corse,19,17,7,76,9.875,68,10:23:0,2019/11/01
franche-comte,11,5,14,95,3.875,95,10:1:0,2019/11/01
ile-de-re,18,16,35,93,8.125,89,10:6:0,2019/11/01
ile-de-france,15,12,20,94,5.75,97,9:54:0,2019/11/01
languedoc-roussillon,16,15,7,81,9,51,10:17:0,2019/11/01
limousin,13,11,15,98,6.25,100,10:7:0,2019/11/01
lorraine,12,11,21,95,5.125,90,9:53:0,2019/11/01
midi-pyrenees,16,13,10,94,7.875,88,10:16:0,2019/11/01
nord-pas-de-calais,14,10,25,97,5.625,99,9:47:0,2019/11/01
normandie,16,14,22,96,7.375,92,9:52:0,2019/11/01
pays-de-la-loire,17,12,25,94,8.5,100,10:1:0,2019/11/01
picardie,15,11,25,95,7.375,98,9:49:0,2019/11/01
poitou-charentes,18,17,35,93,8.125,89,10:6:0,2019/11/01
rh-ne-alpes,13,12,19,84,8.375,68,10:8:0,2019/11/01
provence-alpes-c-te-d-azur,18,17,14,77,8.375,64,10:18:0,2019/11/01
alsace,16,14,19,87,7.875,69,9:52:0,2019/11/02
aquitaine,17,15,19,82,9.25,83,10:8:0,2019/11/02
ardeche,15,13,9,98,6.625,99,10:9:0,2019/11/02
auvergne,15,13,14,85,7.75,67,10:5:0,2019/11/02
bourgogne,16,13,25,91,8.625,85,9:58:0,2019/11/02
bretagne,13,11,34,79,9.25,77,9:54:0,2019/11/02
centre,15,12,30,78,9.125,94,9:56:0,2019/11/02
champagne-ardenne,15,12,34,83,7.375,93,9:49:0,2019/11/02
corse,18,16,13,93,6.625,86,10:21:0,2019/11/02
franche-comte,15,13,23,93,9.125,89,9:59:0,2019/11/02
ile-de-re,17,14,46,80,9.25,79,10:2:0,2019/11/02
ile-de-france,15,12,30,73,7.875,93,9:50:0,2019/11/02
languedoc-roussillon,18,16,8,91,8.75,76,10:13:0,2019/11/02
limousin,14,10,17,95,9.375,96,10:5:0,2019/11/02
lorraine,15,14,31,88,7.5,89,9:49:0,2019/11/02
midi-pyrenees,17,15,9,87,9.125,84,10:14:0,2019/11/02
nord-pas-de-calais,14,13,38,78,8.625,75,9:43:0,2019/11/02
normandie,14,11,42,80,8.375,78,9:50:0,2019/11/02
pays-de-la-loire,14,12,32,81,9.125,90,9:59:0,2019/11/02
picardie,14,10,35,77,10,67,9:46:0,2019/11/02
poitou-charentes,17,15,46,74,9.25,79,10:3:0,2019/11/02
rh-ne-alpes,18,15,20,82,9.125,86,10:5:0,2019/11/02
provence-alpes-c-te-d-azur,20,18,10,83,7.25,74,10:15:0,2019/11/02
alsace,13,12,13,86,9.125,92,9:49:0,2019/11/03
aquitaine,14,13,44,75,8.75,93,10:6:0,2019/11/03
ardeche,13,10,14,93,8.375,85,10:6:0,2019/11/03
auvergne,11,8,27,88,7.875,79,10:2:0,2019/11/03
bourgogne,13,11,35,91,8.5,92,9:55:0,2019/11/03
bretagne,13,10,31,85,7.5,82,9:51:0,2019/11/03
centre,13,12,22,82,7.75,88,9:52:0,2019/11/03
champagne-ardenne,13,11,18,91,6.375,99,9:45:0,2019/11/03
corse,18,17,26,87,6.375,85,10:18:0,2019/11/03
franche-comte,12,11,24,91,7.625,87,9:55:0,2019/11/03
ile-de-re,15,14,60,73,8.125,93,10:0:0,2019/11/03
ile-de-france,13,12,18,85,8,85,9:48:0,2019/11/03
languedoc-roussillon,16,15,33,73,9.875,71,10:11:0,2019/11/03
limousin,10,8,22,95,7.5,99,10:1:0,2019/11/03
lorraine,12,9,19,89,8.125,98,9:46:0,2019/11/03
midi-pyrenees,13,12,47,75,8.875,76,10:11:0,2019/11/03
nord-pas-de-calais,11,9,11,97,8.75,71,9:40:0,2019/11/03
normandie,13,11,23,91,8.5,84,9:46:0,2019/11/03
