,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,6,4,17,76,9.5,58,9:28:0,2018/02/01
aquitaine,10,7,12,76,10,54,9:48:0,2018/02/01
ardeche,6,2,11,92,8,54,9:49:0,2018/02/01
auvergne,4,-1,15,89,9.875,64,9:45:0,2018/02/01
bourgogne,6,4,18,83,9.875,45,9:36:0,2018/02/01
bretagne,8,4,18,85,9.875,57,9:31:0,2018/02/01
centre,7,3,21,85,10,33,9:33:0,2018/02/01
champagne-ardenne,5,3,22,86,9.875,45,9:25:0,2018/02/01
corse,9,8,19,89,9,81,10:2:0,2018/02/01
franche-comte,5,3,17,90,9.25,74,9:36:0,2018/02/01
ile-de-re,9,6,17,78,10,39,9:42:0,2018/02/01
ile-de-france,7,4,21,81,9.875,37,9:27:0,2018/02/01
languedoc-roussillon,10,9,29,74,10,52,9:54:0,2018/02/01
limousin,6,1,9,95,5.25,41,9:44:0,2018/02/01
lorraine,5,2,26,86,9.5,49,9:26:0,2018/02/01
midi-pyrenees,8,5,17,85,9.5,72,9:54:0,2018/02/01
nord-pas-de-calais,6,4,22,85,10,44,9:19:0,2018/02/01
normandie,8,6,28,77,9.875,46,9:25:0,2018/02/01
pays-de-la-loire,8,6,17,81,10,40,9:36:0,2018/02/01
picardie,6,2,24,85,10,47,9:21:0,2018/02/01
poitou-charentes,9,8,17,72,10,39,9:42:0,2018/02/01
rh-ne-alpes,6,3,10,84,9.5,76,9:43:0,2018/02/01
provence-alpes-c-te-d-azur,9,8,23,85,9,75,9:55:0,2018/02/01
alsace,5,3,18,77,9.375,53,9:32:0,2018/02/02
aquitaine,8,3,13,83,10,24,9:51:0,2018/02/02
ardeche,5,1,25,75,9.875,16,9:52:0,2018/02/02
auvergne,2,0,12,87,8,78,9:47:0,2018/02/02
bourgogne,5,2,12,84,9.375,49,9:38:0,2018/02/02
bretagne,8,4,21,88,9.875,43,9:35:0,2018/02/02
centre,7,3,16,85,9.875,41,9:36:0,2018/02/02
champagne-ardenne,5,2,21,86,8.375,73,9:28:0,2018/02/02
corse,8,7,6,85,8.875,88,10:4:0,2018/02/02
franche-comte,3,1,10,84,7,58,9:40:0,2018/02/02
ile-de-re,8,5,20,81,10,17,9:44:0,2018/02/02
ile-de-france,6,3,18,81,9.375,64,9:31:0,2018/02/02
languedoc-roussillon,10,6,31,57,10,25,9:57:0,2018/02/02
limousin,5,0,9,95,4,54,9:46:0,2018/02/02
lorraine,4,2,22,90,7.25,81,9:29:0,2018/02/02
midi-pyrenees,6,3,22,86,9.875,68,9:57:0,2018/02/02
nord-pas-de-calais,6,4,25,84,9.625,69,9:22:0,2018/02/02
normandie,7,5,26,81,10,57,9:29:0,2018/02/02
pays-de-la-loire,8,3,18,88,10,24,9:40:0,2018/02/02
picardie,6,2,24,92,8.75,67,9:24:0,2018/02/02
poitou-charentes,8,5,20,81,10,17,9:45:0,2018/02/02
rh-ne-alpes,5,1,17,87,8,48,9:47:0,2018/02/02
provence-alpes-c-te-d-azur,9,6,24,63,10,60,9:58:0,2018/02/02
alsace,4,2,6,82,10,72,9:35:0,2018/02/03
aquitaine,8,5,14,91,10,70,9:54:0,2018/02/03
ardeche,4,0,21,78,10,41,9:54:0,2018/02/03
auvergne,2,-2,12,86,8,92,9:49:0,2018/02/03
bourgogne,4,2,8,85,8,82,9:42:0,2018/02/03
bretagne,8,4,25,93,9.375,83,9:37:0,2018/02/03
centre,5,2,13,86,8,71,9:39:0,2018/02/03
champagne-ardenne,4,2,11,88,6.875,80,9:32:0,2018/02/03
corse,7,6,22,73,9.625,63,10:7:0,2018/02/03
franche-comte,3,1,8,90,8,81,9:42:0,2018/02/03
ile-de-re,9,7,30,87,9.875,49,9:47:0,2018/02/03
ile-de-france,5,3,14,84,8.875,78,9:33:0,2018/02/03
languedoc-roussillon,9,7,35,58,10,21,9:59:0,2018/02/03
limousin,4,1,13,92,6.125,93,9:49:0,2018/02/03
lorraine,4,1,10,91,6,81,9:32:0,2018/02/03
midi-pyrenees,8,4,20,81,9.75,80,10:0:0,2018/02/03
nord-pas-de-calais,4,3,12,86,9.75,82,9:26:0,2018/02/03
normandie,5,3,18,91,9.375,88,9:31:0,2018/02/03
pays-de-la-loire,9,5,25,93,10,66,9:42:0,2018/02/03
picardie,4,3,14,94,8.875,86,9:27:0,2018/02/03
poitou-charentes,9,7,30,87,9.875,49,9:47:0,2018/02/03
rh-ne-alpes,4,0,14,86,8.625,79,9:49:0,2018/02/03
provence-alpes-c-te-d-azur,8,6,46,60,10,10,10:1:0,2018/02/03
alsace,3,2,13,81,8.625,63,9:38:0,2018/02/04
aquitaine,10,5,6,87,9.875,38,9:56:0,2018/02/04
ardeche,6,1,8,83,9.625,53,9:57:0,2018/02/04
