,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,6,4,6,93,8.75,87,9:28:0,2019/02/01
aquitaine,10,7,15,96,8.625,74,9:48:0,2019/02/01
ardeche,8,5,5,96,6.25,100,9:49:0,2019/02/01
auvergne,9,5,18,88,8.875,78,9:43:0,2019/02/01
bourgogne,5,4,9,98,6.25,94,9:35:0,2019/02/01
bretagne,9,5,12,96,9.375,92,9:31:0,2019/02/01
centre,8,5,12,96,7.5,77,9:32:0,2019/02/01
champagne-ardenne,4,2,12,100,3.5,96,9:24:0,2019/02/01
corse,11,10,26,95,6.5,95,10:2:0,2019/02/01
franche-comte,6,5,6,94,4.75,97,9:36:0,2019/02/01
ile-de-re,9,8,25,84,9.625,72,9:41:0,2019/02/01
ile-de-france,6,3,9,99,7,93,9:27:0,2019/02/01
languedoc-roussillon,11,9,6,90,8.75,82,9:54:0,2019/02/01
limousin,6,5,11,96,7,90,9:43:0,2019/02/01
lorraine,2,1,9,100,4.875,100,9:25:0,2019/02/01
midi-pyrenees,12,6,14,95,7.625,77,9:54:0,2019/02/01
nord-pas-de-calais,2,1,15,100,5.125,99,9:18:0,2019/02/01
normandie,8,4,13,94,9.25,75,9:25:0,2019/02/01
pays-de-la-loire,9,7,17,92,9.625,91,9:36:0,2019/02/01
picardie,3,2,14,100,5,95,9:20:0,2019/02/01
poitou-charentes,9,9,25,84,9.625,72,9:41:0,2019/02/01
rh-ne-alpes,9,6,8,94,7,93,9:43:0,2019/02/01
provence-alpes-c-te-d-azur,14,13,32,91,7.375,89,9:55:0,2019/02/01
alsace,8,4,6,85,9.625,65,9:31:0,2019/02/02
aquitaine,6,5,25,84,9.875,69,9:50:0,2019/02/02
ardeche,5,2,22,90,7.625,74,9:51:0,2019/02/02
auvergne,3,1,21,94,6.5,91,9:46:0,2019/02/02
bourgogne,5,3,18,91,6.25,90,9:38:0,2019/02/02
bretagne,6,3,31,81,9.5,63,9:33:0,2019/02/02
centre,5,3,27,89,7.875,87,9:35:0,2019/02/02
champagne-ardenne,3,2,21,99,7.5,100,9:28:0,2019/02/02
corse,11,10,12,76,8.5,72,10:4:0,2019/02/02
franche-comte,5,3,9,93,6.75,97,9:38:0,2019/02/02
ile-de-re,7,5,41,82,10,58,9:44:0,2019/02/02
ile-de-france,5,3,24,86,7.5,93,9:29:0,2019/02/02
