,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,18,10,18,76,10,12,12:51:0,2019/04/01
aquitaine,18,14,13,67,8.375,68,12:46:0,2019/04/01
ardeche,19,14,12,51,10,37,12:46:0,2019/04/01
auvergne,21,13,6,51,10,23,12:48:0,2019/04/01
bourgogne,18,11,15,76,10,26,12:50:0,2019/04/01
bretagne,17,9,11,86,7.875,35,12:51:0,2019/04/01
centre,20,11,16,72,9.875,22,12:51:0,2019/04/01
champagne-ardenne,18,10,17,76,10,13,12:53:0,2019/04/01
corse,20,17,10,39,10,35,12:42:0,2019/04/01
franche-comte,19,12,9,70,10,11,12:49:0,2019/04/01
ile-de-re,16,11,13,81,10,36,12:48:0,2019/04/01
ile-de-france,20,12,13,69,10,17,12:52:0,2019/04/01
languedoc-roussillon,17,14,11,59,10,30,12:44:0,2019/04/01
limousin,17,11,6,66,10,45,12:47:0,2019/04/01
lorraine,16,9,19,79,10,9,12:53:0,2019/04/01
midi-pyrenees,19,12,8,72,10,83,12:45:0,2019/04/01
nord-pas-de-calais,17,8,17,71,10,13,12:55:0,2019/04/01
normandie,16,9,13,85,9.875,42,12:52:0,2019/04/01
pays-de-la-loire,18,10,13,88,9.875,36,12:49:0,2019/04/01
picardie,18,10,17,76,10,14,12:53:0,2019/04/01
poitou-charentes,16,11,13,81,10,36,12:48:0,2019/04/01
rh-ne-alpes,21,14,8,56,10,10,12:46:0,2019/04/01
provence-alpes-c-te-d-azur,17,16,14,48,10,41,12:44:0,2019/04/01
alsace,19,14,19,64,10,47,12:55:0,2019/04/02
aquitaine,17,13,22,76,8.5,48,12:49:0,2019/04/02
ardeche,16,11,14,64,10,61,12:49:0,2019/04/02
auvergne,14,10,13,80,9.375,73,12:51:0,2019/04/02
bourgogne,14,11,19,82,9.875,88,12:53:0,2019/04/02
bretagne,10,8,23,89,7.25,54,12:54:0,2019/04/02
centre,15,12,27,85,9.75,81,12:55:0,2019/04/02
champagne-ardenne,15,13,26,82,9.375,84,12:56:0,2019/04/02
corse,17,14,12,52,10,48,12:44:0,2019/04/02
franche-comte,16,12,20,65,9.375,49,12:52:0,2019/04/02
ile-de-re,13,11,30,87,9.875,51,12:51:0,2019/04/02
ile-de-france,17,14,26,69,9.625,69,12:56:0,2019/04/02
languedoc-roussillon,15,13,7,61,10,59,12:47:0,2019/04/02
limousin,14,10,17,86,7.5,63,12:50:0,2019/04/02
lorraine,14,11,24,83,10,87,12:56:0,2019/04/02
midi-pyrenees,15,11,16,91,7,87,12:47:0,2019/04/02
nord-pas-de-calais,14,10,28,89,9.75,60,12:58:0,2019/04/02
normandie,11,9,26,87,9.875,70,12:57:0,2019/04/02
pays-de-la-loire,12,10,30,88,7.875,78,12:53:0,2019/04/02
picardie,14,6,31,86,9.75,69,12:56:0,2019/04/02
poitou-charentes,13,12,30,87,9.875,51,12:51:0,2019/04/02
rh-ne-alpes,18,13,19,50,10,48,12:50:0,2019/04/02
provence-alpes-c-te-d-azur,15,14,14,57,10,78,12:47:0,2019/04/02
alsace,11,8,16,78,5.875,91,12:58:0,2019/04/03
aquitaine,11,9,22,69,9.875,81,12:52:0,2019/04/03
ardeche,8,5,14,92,6.5,85,12:52:0,2019/04/03
auvergne,9,6,19,78,9.75,90,12:53:0,2019/04/03
bourgogne,7,6,15,94,7.375,97,12:57:0,2019/04/03
bretagne,9,5,17,82,9.875,59,12:58:0,2019/04/03
centre,10,6,19,76,9.75,80,12:58:0,2019/04/03
champagne-ardenne,9,6,18,79,9.625,76,13:0:0,2019/04/03
corse,17,13,13,70,9,35,12:47:0,2019/04/03
franche-comte,9,5,10,97,6.75,100,12:56:0,2019/04/03
ile-de-re,10,8,26,68,10,67,12:55:0,2019/04/03
ile-de-france,11,7,15,60,9.5,72,12:59:0,2019/04/03
languedoc-roussillon,12,11,18,81,7.375,79,12:49:0,2019/04/03
limousin,7,5,15,89,8,91,12:54:0,2019/04/03
lorraine,8,7,11,85,8.75,94,13:0:0,2019/04/03
midi-pyrenees,9,7,18,92,8,96,12:50:0,2019/04/03
nord-pas-de-calais,9,6,20,74,9.875,48,13:2:0,2019/04/03
normandie,8,5,17,84,8.75,87,13:0:0,2019/04/03
pays-de-la-loire,10,6,17,75,10,70,12:56:0,2019/04/03
picardie,10,4,20,76,9.875,53,13:1:0,2019/04/03
poitou-charentes,10,8,26,68,10,67,12:55:0,2019/04/03
rh-ne-alpes,9,7,15,82,8,82,12:53:0,2019/04/03
provence-alpes-c-te-d-azur,13,9,30,78,8,81,12:50:0,2019/04/03
alsace,8,5,8,88,7.75,94,13:2:0,2019/04/04
aquitaine,13,8,17,67,9.875,55,12:56:0,2019/04/04
ardeche,10,6,11,67,9.125,67,12:55:0,2019/04/04
auvergne,11,4,11,58,10,41,12:57:0,2019/04/04
bourgogne,8,4,9,90,7.75,81,13:0:0,2019/04/04
bretagne,10,5,25,82,9,54,13:1:0,2019/04/04
centre,11,5,15,72,10,22,13:1:0,2019/04/04
champagne-ardenne,10,5,11,80,10,59,13:3:0,2019/04/04
corse,13,9,14,84,8.875,49,12:50:0,2019/04/04
franche-comte,6,3,11,96,7.5,80,12:59:0,2019/04/04
