,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,29,27,21,64,9.875,21,15:4:0,2018/08/01
aquitaine,29,22,13,65,10,71,14:40:0,2018/08/01
ardeche,33,27,13,58,9.875,10,14:40:0,2018/08/01
auvergne,28,21,8,85,7.125,53,14:46:0,2018/08/01
bourgogne,29,24,15,77,9.375,24,14:55:0,2018/08/01
bretagne,23,20,14,73,10,30,15:0:0,2018/08/01
centre,28,25,7,57,10,59,14:59:0,2018/08/01
champagne-ardenne,29,25,7,60,10,37,15:8:0,2018/08/01
corse,29,23,8,58,10,9,14:25:0,2018/08/01
franche-comte,28,25,13,68,9.75,17,14:55:0,2018/08/01
ile-de-re,25,21,19,63,10,42,14:49:0,2018/08/01
ile-de-france,29,24,8,55,10,47,15:5:0,2018/08/01
languedoc-roussillon,32,29,18,62,10,7,14:35:0,2018/08/01
limousin,28,25,8,65,10,31,14:46:0,2018/08/01
lorraine,26,23,11,79,9.875,35,15:7:0,2018/08/01
midi-pyrenees,32,25,10,65,10,12,14:33:0,2018/08/01
nord-pas-de-calais,26,21,11,57,10,41,15:15:0,2018/08/01
normandie,21,18,13,72,10,47,15:7:0,2018/08/01
pays-de-la-loire,25,19,9,68,10,4,14:54:0,2018/08/01
picardie,26,18,15,78,10,44,15:13:0,2018/08/01
poitou-charentes,25,21,18,59,10,42,14:48:0,2018/08/01
rh-ne-alpes,32,25,13,64,10,18,14:47:0,2018/08/01
provence-alpes-c-te-d-azur,33,31,15,46,10,4,14:32:0,2018/08/01
alsace,30,26,11,51,10,11,15:1:0,2018/08/02
aquitaine,35,28,10,53,10,3,14:38:0,2018/08/02
ardeche,32,28,17,49,10,6,14:37:0,2018/08/02
auvergne,29,24,12,57,9,12,14:43:0,2018/08/02
bourgogne,29,25,17,62,10,8,14:53:0,2018/08/02
bretagne,28,22,15,68,10,1,14:57:0,2018/08/02
centre,32,27,12,54,10,22,14:56:0,2018/08/02
champagne-ardenne,31,27,11,53,10,17,15:5:0,2018/08/02
corse,29,24,13,56,10,6,14:23:0,2018/08/02
franche-comte,30,26,13,57,10,11,14:52:0,2018/08/02
ile-de-re,30,25,12,58,10,5,14:46:0,2018/08/02
ile-de-france,32,25,9,53,10,19,15:3:0,2018/08/02
languedoc-roussillon,31,29,15,59,10,6,14:32:0,2018/08/02
limousin,31,27,12,53,10,2,14:44:0,2018/08/02
lorraine,30,26,9,56,10,10,15:4:0,2018/08/02
midi-pyrenees,33,27,8,58,10,6,14:31:0,2018/08/02
nord-pas-de-calais,29,23,8,56,10,5,15:12:0,2018/08/02
normandie,23,19,15,71,10,3,15:5:0,2018/08/02
pays-de-la-loire,30,23,13,66,9,2,14:52:0,2018/08/02
picardie,29,20,12,81,10,8,15:11:0,2018/08/02
poitou-charentes,30,25,12,58,10,5,14:45:0,2018/08/02
rh-ne-alpes,32,26,17,55,10,7,14:45:0,2018/08/02
provence-alpes-c-te-d-azur,34,31,18,43,10,4,14:30:0,2018/08/02
alsace,33,29,13,55,10,10,14:58:0,2018/08/03
aquitaine,36,30,11,46,10,0,14:36:0,2018/08/03
ardeche,35,29,9,46,10,4,14:35:0,2018/08/03
auvergne,31,26,11,53,10,9,14:41:0,2018/08/03
bourgogne,32,28,13,57,10,8,14:50:0,2018/08/03
bretagne,31,25,19,71,10,1,14:55:0,2018/08/03
centre,34,28,12,50,10,3,14:54:0,2018/08/03
champagne-ardenne,34,28,12,47,10,8,15:2:0,2018/08/03
corse,28,23,6,64,9.25,15,14:21:0,2018/08/03
franche-comte,33,28,11,54,10,7,14:50:0,2018/08/03
ile-de-re,33,28,17,54,10,1,14:43:0,2018/08/03
ile-de-france,34,27,11,48,10,3,14:59:0,2018/08/03
languedoc-roussillon,32,29,14,63,10,7,14:30:0,2018/08/03
limousin,33,28,9,50,10,4,14:41:0,2018/08/03
lorraine,32,29,12,56,10,15,15:2:0,2018/08/03
midi-pyrenees,35,28,11,52,10,4,14:29:0,2018/08/03
nord-pas-de-calais,31,26,11,54,10,0,15:9:0,2018/08/03
