,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,5,2,17,94,7.5,95,8:35:0,2020/12/01
aquitaine,11,6,11,85,8,60,9:3:0,2020/12/01
ardeche,7,3,10,85,9.375,70,9:3:0,2020/12/01
auvergne,6,3,11,97,9.25,95,8:56:0,2020/12/01
bourgogne,6,2,15,95,7.75,92,8:45:0,2020/12/01
bretagne,10,8,16,92,9,57,8:39:0,2020/12/01
centre,9,8,17,92,8,72,8:41:0,2020/12/01
champagne-ardenne,7,5,21,89,8.125,88,8:30:0,2020/12/01
corse,13,10,7,78,10,64,9:21:0,2020/12/01
franche-comte,4,2,18,96,8.375,97,8:46:0,2020/12/01
ile-de-re,12,11,22,87,10,59,8:53:0,2020/12/01
ile-de-france,9,8,19,76,8.875,87,8:33:0,2020/12/01
languedoc-roussillon,13,8,33,64,10,34,9:11:0,2020/12/01
limousin,6,4,9,97,6.75,81,8:56:0,2020/12/01
lorraine,4,3,17,97,7.25,85,8:31:0,2020/12/01
midi-pyrenees,8,4,18,64,8.875,62,9:11:0,2020/12/01
nord-pas-de-calais,8,6,28,79,9.375,86,8:21:0,2020/12/01
normandie,11,8,22,83,9.625,86,8:31:0,2020/12/01
pays-de-la-loire,10,9,17,90,10,69,8:46:0,2020/12/01
picardie,8,6,28,84,8.625,68,8:25:0,2020/12/01
poitou-charentes,12,11,22,87,10,59,8:54:0,2020/12/01
rh-ne-alpes,5,2,7,82,7.875,90,8:56:0,2020/12/01
provence-alpes-c-te-d-azur,12,9,41,62,10,13,9:13:0,2020/12/01
alsace,4,2,12,94,9,76,8:33:0,2020/12/02
aquitaine,8,4,10,91,10,45,9:2:0,2020/12/02
ardeche,4,1,21,92,8.75,68,9:2:0,2020/12/02
auvergne,4,1,12,97,6.375,96,8:54:0,2020/12/02
bourgogne,3,0,13,96,7,84,8:43:0,2020/12/02
bretagne,8,3,11,89,10,67,8:38:0,2020/12/02
centre,8,6,16,88,8,90,8:39:0,2020/12/02
champagne-ardenne,6,3,8,94,8.375,68,8:28:0,2020/12/02
corse,11,7,6,79,10,51,9:19:0,2020/12/02
franche-comte,3,-1,9,97,5.5,63,8:44:0,2020/12/02
ile-de-re,9,6,21,85,10,35,8:52:0,2020/12/02
ile-de-france,8,7,11,88,10,81,8:32:0,2020/12/02
languedoc-roussillon,10,7,20,72,10,30,9:10:0,2020/12/02
limousin,4,2,10,94,6.125,100,8:55:0,2020/12/02
lorraine,4,1,10,96,7,94,8:29:0,2020/12/02
midi-pyrenees,6,4,23,91,7.875,85,9:10:0,2020/12/02
nord-pas-de-calais,7,5,10,94,9,62,8:20:0,2020/12/02
normandie,8,6,17,84,10,86,8:29:0,2020/12/02
pays-de-la-loire,8,3,12,93,10,48,8:45:0,2020/12/02
picardie,8,5,10,95,10,82,8:23:0,2020/12/02
poitou-charentes,9,6,21,85,10,35,8:52:0,2020/12/02
rh-ne-alpes,4,2,15,89,9.375,95,8:54:0,2020/12/02
provence-alpes-c-te-d-azur,9,7,28,72,10,25,9:11:0,2020/12/02
alsace,4,0,14,92,10,64,8:32:0,2020/12/03
aquitaine,11,7,15,90,7.375,91,9:0:0,2020/12/03
ardeche,6,1,10,90,9.875,72,9:1:0,2020/12/03
auvergne,6,2,11,95,6.375,91,8:53:0,2020/12/03
bourgogne,3,2,21,97,7.875,100,8:41:0,2020/12/03
bretagne,7,5,20,93,8.125,91,8:36:0,2020/12/03
centre,6,5,18,93,6.375,97,8:38:0,2020/12/03
champagne-ardenne,6,4,18,93,5.875,99,8:27:0,2020/12/03
corse,11,4,11,82,10,49,9:18:0,2020/12/03
franche-comte,4,1,12,96,6.375,97,8:43:0,2020/12/03
ile-de-re,11,9,44,84,8.75,98,8:51:0,2020/12/03
ile-de-france,7,6,18,85,8.75,98,8:30:0,2020/12/03
languedoc-roussillon,10,6,21,72,10,41,9:8:0,2020/12/03
limousin,5,3,13,94,6,97,8:53:0,2020/12/03
lorraine,3,2,20,96,8,100,8:28:0,2020/12/03
midi-pyrenees,9,3,10,80,10,82,9:8:0,2020/12/03
nord-pas-de-calais,5,2,26,87,7,98,8:17:0,2020/12/03
normandie,6,5,25,89,8,99,8:27:0,2020/12/03
pays-de-la-loire,9,6,26,89,7.625,94,8:43:0,2020/12/03
picardie,5,5,25,90,8.875,99,8:21:0,2020/12/03
poitou-charentes,11,9,44,84,8.75,98,8:51:0,2020/12/03
rh-ne-alpes,5,2,10,91,10,99,8:53:0,2020/12/03
provence-alpes-c-te-d-azur,10,6,34,66,10,33,9:9:0,2020/12/03
alsace,5,3,13,85,8.375,97,8:30:0,2020/12/04
aquitaine,8,7,13,79,8.875,89,8:59:0,2020/12/04
ardeche,7,5,10,95,5.5,92,8:59:0,2020/12/04
auvergne,6,5,13,88,9.375,62,8:52:0,2020/12/04
bourgogne,6,3,30,87,7.875,97,8:40:0,2020/12/04
bretagne,6,3,20,84,9.125,58,8:34:0,2020/12/04
centre,7,5,29,80,8.875,56,8:36:0,2020/12/04
champagne-ardenne,7,6,33,82,8.75,87,8:24:0,2020/12/04
corse,13,11,31,92,7.75,93,9:17:0,2020/12/04
franche-comte,5,4,12,95,7.75,100,8:41:0,2020/12/04
ile-de-re,10,7,31,76,9.625,67,8:49:0,2020/12/04
ile-de-france,7,6,30,71,9,83,8:28:0,2020/12/04
languedoc-roussillon,10,9,17,71,9,78,9:7:0,2020/12/04
limousin,5,3,12,94,6.125,68,8:52:0,2020/12/04
lorraine,6,4,29,92,6.875,100,8:26:0,2020/12/04
midi-pyrenees,6,6,19,84,7.75,89,9:7:0,2020/12/04
nord-pas-de-calais,6,4,32,92,9.625,91,8:16:0,2020/12/04
normandie,5,2,24,89,8.625,88,8:25:0,2020/12/04
pays-de-la-loire,7,4,14,80,9.625,58,8:41:0,2020/12/04
picardie,5,4,31,90,9.5,88,8:20:0,2020/12/04
poitou-charentes,10,7,31,76,9.625,67,8:50:0,2020/12/04
rh-ne-alpes,8,6,28,81,6.375,95,8:52:0,2020/12/04
provence-alpes-c-te-d-azur,13,11,30,73,9.5,83,9:8:0,2020/12/04
