,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,9,6,25,74,8.25,70,8:23:0,2018/01/01
aquitaine,12,10,37,76,9.375,59,8:52:0,2018/01/01
ardeche,8,5,17,89,10,51,8:53:0,2018/01/01
auvergne,6,4,39,85,9.625,60,8:45:0,2018/01/01
bourgogne,8,5,38,86,9.625,76,8:33:0,2018/01/01
bretagne,11,7,47,78,9.75,42,8:27:0,2018/01/01
centre,9,8,35,85,9,53,8:28:0,2018/01/01
champagne-ardenne,8,6,33,86,9,68,8:17:0,2018/01/01
corse,11,9,43,72,8.875,48,9:12:0,2018/01/01
franche-comte,7,5,33,88,8.5,83,8:34:0,2018/01/01
ile-de-re,12,10,64,79,9.5,51,8:42:0,2018/01/01
ile-de-france,9,7,33,83,9.875,56,8:20:0,2018/01/01
languedoc-roussillon,12,11,32,69,10,26,9:0:0,2018/01/01
limousin,8,5,35,94,7.375,71,8:45:0,2018/01/01
lorraine,8,6,38,83,9.5,91,8:18:0,2018/01/01
midi-pyrenees,12,8,32,77,9.75,52,9:1:0,2018/01/01
nord-pas-de-calais,8,6,31,92,9.625,74,8:7:0,2018/01/01
normandie,9,7,45,90,8.875,63,8:18:0,2018/01/01
pays-de-la-loire,12,10,61,79,9.5,42,8:34:0,2018/01/01
picardie,7,6,32,90,9.625,65,8:11:0,2018/01/01
poitou-charentes,12,11,64,79,9.5,51,8:43:0,2018/01/01
rh-ne-alpes,8,6,28,81,8.5,67,8:45:0,2018/01/01
provence-alpes-c-te-d-azur,11,10,36,62,10,31,9:3:0,2018/01/01
alsace,7,6,21,78,9.875,79,8:24:0,2018/01/02
aquitaine,14,11,23,95,7.625,96,8:53:0,2018/01/02
ardeche,6,4,6,86,9,61,8:54:0,2018/01/02
auvergne,9,4,16,90,9,76,8:46:0,2018/01/02
bourgogne,6,5,20,89,9,87,8:34:0,2018/01/02
bretagne,13,8,23,96,8,83,8:28:0,2018/01/02
centre,12,5,20,93,8,78,8:29:0,2018/01/02
champagne-ardenne,9,4,20,93,9,74,8:18:0,2018/01/02
corse,11,10,22,66,10,15,9:12:0,2018/01/02
franche-comte,5,4,20,93,10,98,8:35:0,2018/01/02
ile-de-re,13,10,30,95,9.875,96,8:43:0,2018/01/02
ile-de-france,11,5,22,89,9.875,72,8:22:0,2018/01/02
languedoc-roussillon,11,10,15,83,10,47,9:1:0,2018/01/02
limousin,11,6,14,98,3.875,93,8:46:0,2018/01/02
lorraine,6,5,24,88,9.875,100,8:19:0,2018/01/02
midi-pyrenees,13,8,27,91,8.375,91,9:2:0,2018/01/02
nord-pas-de-calais,10,4,27,88,9.875,71,8:8:0,2018/01/02
normandie,12,7,34,91,9,81,8:19:0,2018/01/02
pays-de-la-loire,13,9,26,96,9,88,8:35:0,2018/01/02
picardie,10,5,28,91,9.875,68,8:12:0,2018/01/02
poitou-charentes,13,10,29,95,9.875,96,8:44:0,2018/01/02
rh-ne-alpes,7,4,13,85,8.875,89,8:46:0,2018/01/02
provence-alpes-c-te-d-azur,11,9,31,59,10,18,9:3:0,2018/01/02
alsace,11,8,36,81,9.5,74,8:25:0,2018/01/03
aquitaine,15,13,30,82,8.875,87,8:54:0,2018/01/03
ardeche,13,8,18,87,9.875,61,8:55:0,2018/01/03
auvergne,12,6,35,88,8.875,83,8:47:0,2018/01/03
bourgogne,12,8,46,74,8.875,74,8:35:0,2018/01/03
bretagne,14,9,33,89,10,88,8:29:0,2018/01/03
centre,15,10,44,68,9.5,81,8:30:0,2018/01/03
champagne-ardenne,13,8,40,69,10,73,8:19:0,2018/01/03
corse,12,11,36,90,10,50,9:13:0,2018/01/03
franche-comte,11,7,48,80,8.375,81,8:36:0,2018/01/03
ile-de-re,14,11,46,92,9,98,8:44:0,2018/01/03
ile-de-france,15,9,39,68,8.875,90,8:23:0,2018/01/03
languedoc-roussillon,16,14,46,75,10,43,9:2:0,2018/01/03
limousin,13,8,24,94,9.5,100,8:47:0,2018/01/03
lorraine,12,7,44,80,9.375,90,8:20:0,2018/01/03
midi-pyrenees,15,12,32,84,9.25,72,9:3:0,2018/01/03
nord-pas-de-calais,13,8,48,66,9.5,65,8:10:0,2018/01/03
normandie,14,9,47,70,9.875,74,8:20:0,2018/01/03
pays-de-la-loire,15,11,40,82,8.5,92,8:36:0,2018/01/03
picardie,13,7,45,79,9.875,62,8:13:0,2018/01/03
poitou-charentes,14,12,46,85,9,98,8:45:0,2018/01/03
rh-ne-alpes,12,8,19,90,9.375,78,8:47:0,2018/01/03
provence-alpes-c-te-d-azur,16,13,38,83,10,28,9:4:0,2018/01/03
alsace,12,7,25,90,8.625,91,8:26:0,2018/01/04
aquitaine,15,14,30,84,9,99,8:55:0,2018/01/04
ardeche,13,9,3,86,9.375,64,8:56:0,2018/01/04
auvergne,11,10,28,82,9,74,8:49:0,2018/01/04
bourgogne,13,12,31,90,8.25,99,8:36:0,2018/01/04
bretagne,14,8,40,89,9.25,90,8:30:0,2018/01/04
centre,14,13,40,83,8.5,84,8:32:0,2018/01/04
champagne-ardenne,13,10,33,95,9.75,82,8:20:0,2018/01/04
