,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,9,7,27,79,9.75,65,12:52:0,2018/04/01
aquitaine,16,11,13,65,10,42,12:47:0,2018/04/01
ardeche,12,6,12,68,10,13,12:46:0,2018/04/01
auvergne,10,5,14,67,10,40,12:48:0,2018/04/01
bourgogne,9,6,19,84,10,68,12:50:0,2018/04/01
bretagne,9,7,19,93,9,70,12:52:0,2018/04/01
centre,11,8,15,75,10,71,12:51:0,2018/04/01
champagne-ardenne,9,7,22,79,9,88,12:54:0,2018/04/01
corse,11,9,22,62,10,9,12:42:0,2018/04/01
franche-comte,8,4,19,94,8.875,78,12:50:0,2018/04/01
ile-de-re,12,10,18,79,10,55,12:49:0,2018/04/01
ile-de-france,10,8,15,73,10,90,12:54:0,2018/04/01
languedoc-roussillon,15,11,26,67,10,5,12:44:0,2018/04/01
limousin,12,5,8,88,6.25,83,12:48:0,2018/04/01
lorraine,8,6,27,86,9,77,12:53:0,2018/04/01
midi-pyrenees,14,9,11,65,10,24,12:45:0,2018/04/01
nord-pas-de-calais,9,7,17,74,9,91,12:56:0,2018/04/01
normandie,10,8,13,77,9.625,84,12:54:0,2018/04/01
pays-de-la-loire,11,8,21,82,10,53,12:51:0,2018/04/01
picardie,9,5,15,86,9,93,12:54:0,2018/04/01
poitou-charentes,12,10,18,78,10,55,12:48:0,2018/04/01
rh-ne-alpes,12,6,10,64,10,35,12:48:0,2018/04/01
provence-alpes-c-te-d-azur,14,11,35,50,10,5,12:44:0,2018/04/01
alsace,14,9,11,60,10,64,12:56:0,2018/04/02
aquitaine,18,14,16,59,8.75,69,12:50:0,2018/04/02
ardeche,13,9,26,67,10,63,12:49:0,2018/04/02
auvergne,15,9,20,64,10,88,12:51:0,2018/04/02
bourgogne,12,8,18,70,10,88,12:54:0,2018/04/02
bretagne,13,9,26,94,8,81,12:56:0,2018/04/02
centre,17,10,21,59,10,87,12:55:0,2018/04/02
champagne-ardenne,12,9,22,74,8.875,76,12:58:0,2018/04/02
corse,14,13,8,61,10,16,12:45:0,2018/04/02
franche-comte,14,10,13,57,10,76,12:54:0,2018/04/02
ile-de-re,13,11,26,86,9.625,76,12:52:0,2018/04/02
ile-de-france,16,10,19,80,9.875,82,12:57:0,2018/04/02
languedoc-roussillon,13,12,34,79,10,50,12:47:0,2018/04/02
limousin,17,12,18,82,10,83,12:52:0,2018/04/02
lorraine,12,9,18,68,8,71,12:57:0,2018/04/02
midi-pyrenees,17,12,28,73,10,55,12:48:0,2018/04/02
nord-pas-de-calais,14,9,26,69,8.625,90,13:0:0,2018/04/02
normandie,12,10,27,87,8.875,93,12:57:0,2018/04/02
pays-de-la-loire,15,10,21,93,7.625,78,12:54:0,2018/04/02
picardie,13,9,24,94,8.625,93,12:58:0,2018/04/02
poitou-charentes,13,11,26,86,9.625,76,12:52:0,2018/04/02
rh-ne-alpes,14,11,33,55,10,85,12:51:0,2018/04/02
provence-alpes-c-te-d-azur,15,14,30,55,10,55,12:47:0,2018/04/02
alsace,19,15,20,48,9.875,52,12:59:0,2018/04/03
aquitaine,19,16,24,61,9.75,41,12:53:0,2018/04/03
ardeche,16,12,28,79,9.375,35,12:53:0,2018/04/03
auvergne,15,10,24,76,8.875,52,12:55:0,2018/04/03
bourgogne,16,13,27,60,9.875,49,12:57:0,2018/04/03
bretagne,13,10,27,88,10,57,12:59:0,2018/04/03
centre,16,12,29,85,8.875,52,12:58:0,2018/04/03
champagne-ardenne,14,12,27,73,10,74,13:1:0,2018/04/03
corse,18,15,10,69,9.875,48,12:48:0,2018/04/03
franche-comte,17,14,28,56,9.875,33,12:57:0,2018/04/03
ile-de-re,14,11,25,91,10,58,12:55:0,2018/04/03
ile-de-france,14,11,26,75,10,57,13:1:0,2018/04/03
languedoc-roussillon,14,13,39,88,10,65,12:50:0,2018/04/03
limousin,14,10,23,94,9.375,66,12:55:0,2018/04/03
lorraine,15,12,22,70,9,57,13:0:0,2018/04/03
midi-pyrenees,18,13,27,88,10,27,12:51:0,2018/04/03
nord-pas-de-calais,13,12,27,83,10,63,13:3:0,2018/04/03
normandie,11,10,28,89,10,58,13:1:0,2018/04/03
pays-de-la-loire,14,10,30,95,8.5,66,12:58:0,2018/04/03
picardie,12,7,27,92,9,61,13:1:0,2018/04/03
poitou-charentes,14,11,25,91,10,58,12:55:0,2018/04/03
rh-ne-alpes,17,13,33,66,10,33,12:53:0,2018/04/03
provence-alpes-c-te-d-azur,17,15,46,61,10,67,12:50:0,2018/04/03
alsace,15,11,16,82,9.875,54,13:3:0,2018/04/04
aquitaine,15,9,32,67,9.75,35,12:56:0,2018/04/04
ardeche,14,10,24,86,8.75,60,12:56:0,2018/04/04
auvergne,14,8,30,82,8.25,50,12:58:0,2018/04/04
bourgogne,13,9,22,94,8.125,66,13:1:0,2018/04/04
bretagne,13,10,37,87,9.875,59,13:2:0,2018/04/04
centre,14,11,28,80,10,83,13:2:0,2018/04/04
champagne-ardenne,14,11,26,85,9,56,13:5:0,2018/04/04
corse,15,13,9,87,8.875,48,12:51:0,2018/04/04
franche-comte,11,7,21,97,9.75,61,13:1:0,2018/04/04
ile-de-re,12,11,43,91,9.375,55,12:58:0,2018/04/04
ile-de-france,14,11,27,72,9.375,59,13:4:0,2018/04/04
languedoc-roussillon,14,13,24,93,9,61,12:53:0,2018/04/04
limousin,13,8,23,94,6.375,80,12:58:0,2018/04/04
lorraine,10,8,28,91,8,79,13:4:0,2018/04/04
midi-pyrenees,19,13,27,78,8.75,27,12:54:0,2018/04/04
nord-pas-de-calais,14,12,30,77,10,49,13:7:0,2018/04/04
normandie,11,10,37,80,10,62,13:4:0,2018/04/04
pays-de-la-loire,13,11,39,91,10,54,13:1:0,2018/04/04
picardie,13,8,31,91,10,47,13:5:0,2018/04/04
poitou-charentes,12,11,43,91,9.375,55,12:58:0,2018/04/04
rh-ne-alpes,15,11,23,81,9.125,41,12:57:0,2018/04/04
provence-alpes-c-te-d-azur,16,14,33,82,9.875,36,12:53:0,2018/04/04
alsace,10,4,24,78,10,52,13:6:0,2018/04/05
aquitaine,17,13,10,59,9.875,28,12:59:0,2018/04/05
ardeche,15,10,12,74,10,20,12:59:0,2018/04/05
auvergne,12,7,14,77,10,37,13:1:0,2018/04/05
bourgogne,11,9,20,85,9.875,50,13:4:0,2018/04/05
bretagne,12,9,15,84,10,35,13:6:0,2018/04/05
centre,10,9,17,67,10,78,13:5:0,2018/04/05
champagne-ardenne,10,8,26,71,10,66,13:8:0,2018/04/05
corse,14,13,13,64,10,4,12:54:0,2018/04/05
franche-comte,10,8,21,89,9.875,61,13:4:0,2018/04/05
ile-de-re,13,10,12,73,10,44,13:2:0,2018/04/05
ile-de-france,10,9,20,61,10,77,13:8:0,2018/04/05
languedoc-roussillon,16,13,22,63,10,27,12:56:0,2018/04/05
limousin,14,8,8,82,8.75,64,13:1:0,2018/04/05
lorraine,8,5,27,83,10,78,13:7:0,2018/04/05
midi-pyrenees,16,12,13,69,10,25,12:57:0,2018/04/05
nord-pas-de-calais,10,7,20,78,10,62,13:11:0,2018/04/05
normandie,10,8,15,69,10,58,13:8:0,2018/04/05
pays-de-la-loire,12,10,12,68,10,47,13:4:0,2018/04/05
picardie,9,5,20,80,10,68,13:8:0,2018/04/05
poitou-charentes,13,10,9,69,10,44,13:2:0,2018/04/05
rh-ne-alpes,13,9,9,74,9.875,35,13:0:0,2018/04/05
provence-alpes-c-te-d-azur,17,14,32,53,10,14,12:56:0,2018/04/05
alsace,17,10,11,63,10,8,13:10:0,2018/04/06
aquitaine,23,15,17,60,10,12,13:2:0,2018/04/06
ardeche,16,11,21,71,10,6,13:2:0,2018/04/06
auvergne,20,12,17,66,10,11,13:5:0,2018/04/06
bourgogne,17,10,15,75,10,8,13:7:0,2018/04/06
bretagne,18,10,23,88,10,37,13:9:0,2018/04/06
centre,20,12,18,64,10,9,13:9:0,2018/04/06
champagne-ardenne,16,9,25,70,10,12,13:12:0,2018/04/06
corse,16,15,5,61,10,16,12:56:0,2018/04/06
franche-comte,18,13,8,62,10,7,13:7:0,2018/04/06
ile-de-re,18,13,25,81,10,24,13:5:0,2018/04/06
ile-de-france,19,11,21,75,10,15,13:11:0,2018/04/06
languedoc-roussillon,14,13,25,79,10,8,12:59:0,2018/04/06
limousin,21,14,12,77,10,12,13:4:0,2018/04/06
lorraine,15,9,23,71,10,10,13:11:0,2018/04/06
midi-pyrenees,18,13,37,75,10,26,13:0:0,2018/04/06
nord-pas-de-calais,16,9,28,66,10,16,13:14:0,2018/04/06
normandie,17,11,31,74,10,38,13:11:0,2018/04/06
pays-de-la-loire,18,12,22,78,10,42,13:8:0,2018/04/06
picardie,16,9,29,92,10,15,13:13:0,2018/04/06
poitou-charentes,18,13,25,76,10,24,13:5:0,2018/04/06
rh-ne-alpes,18,12,26,67,10,7,13:3:0,2018/04/06
provence-alpes-c-te-d-azur,17,15,23,60,10,19,12:59:0,2018/04/06
alsace,22,16,5,51,10,6,13:13:0,2018/04/07
aquitaine,16,15,13,73,9,65,13:6:0,2018/04/07
ardeche,18,13,23,63,10,31,13:5:0,2018/04/07
auvergne,19,13,21,59,10,55,13:7:0,2018/04/07
bourgogne,19,13,19,67,10,30,13:11:0,2018/04/07
bretagne,14,11,16,96,8.75,70,13:13:0,2018/04/07
centre,19,14,16,65,9.875,53,13:12:0,2018/04/07
champagne-ardenne,19,14,16,62,10,21,13:15:0,2018/04/07
corse,17,16,7,52,10,26,12:59:0,2018/04/07
franche-comte,20,15,4,61,10,21,13:11:0,2018/04/07
ile-de-re,14,11,22,93,9.375,78,13:8:0,2018/04/07
ile-de-france,20,15,16,69,10,61,13:15:0,2018/04/07
languedoc-roussillon,16,14,32,73,10,50,13:2:0,2018/04/07
limousin,19,13,14,83,10,48,13:7:0,2018/04/07
