,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,13,10,9,57,10,24,14:34:0,2018/05/01
aquitaine,15,12,16,65,10,45,14:15:0,2018/05/01
ardeche,11,9,17,78,7.75,63,14:15:0,2018/05/01
auvergne,11,7,8,73,6.375,56,14:19:0,2018/05/01
bourgogne,13,10,3,65,8,21,14:27:0,2018/05/01
bretagne,12,10,21,80,10,33,14:31:0,2018/05/01
centre,13,9,12,66,9,62,14:30:0,2018/05/01
champagne-ardenne,12,10,18,70,10,58,14:37:0,2018/05/01
corse,12,11,9,91,8.75,80,14:2:0,2018/05/01
franche-comte,12,9,7,68,6.5,56,14:27:0,2018/05/01
ile-de-re,12,10,18,69,10,37,14:22:0,2018/05/01
ile-de-france,14,10,13,63,10,72,14:35:0,2018/05/01
languedoc-roussillon,15,13,18,65,10,74,14:10:0,2018/05/01
limousin,12,8,7,91,5.125,62,14:19:0,2018/05/01
lorraine,11,9,14,69,10,51,14:37:0,2018/05/01
midi-pyrenees,14,10,16,77,8.75,66,14:10:0,2018/05/01
nord-pas-de-calais,12,10,18,71,10,55,14:43:0,2018/05/01
normandie,12,9,13,68,9.875,26,14:37:0,2018/05/01
pays-de-la-loire,12,10,19,64,10,21,14:26:0,2018/05/01
picardie,12,5,18,84,10,68,14:41:0,2018/05/01
poitou-charentes,12,10,18,66,10,37,14:21:0,2018/05/01
rh-ne-alpes,13,9,12,71,8.75,58,14:20:0,2018/05/01
provence-alpes-c-te-d-azur,16,15,8,59,10,56,14:8:0,2018/05/01
alsace,16,12,8,58,10,54,14:37:0,2018/05/02
aquitaine,16,14,13,60,9,67,14:17:0,2018/05/02
ardeche,16,12,20,65,10,24,14:17:0,2018/05/02
auvergne,15,10,9,65,10,14,14:22:0,2018/05/02
bourgogne,15,12,8,63,10,33,14:31:0,2018/05/02
bretagne,10,9,30,94,9.875,80,14:34:0,2018/05/02
centre,15,12,18,61,9,56,14:33:0,2018/05/02
champagne-ardenne,15,12,18,65,10,13,14:41:0,2018/05/02
corse,15,11,12,90,9,73,14:5:0,2018/05/02
franche-comte,14,12,9,66,10,48,14:29:0,2018/05/02
ile-de-re,12,10,25,94,8.625,84,14:24:0,2018/05/02
ile-de-france,16,12,20,73,9.875,37,14:38:0,2018/05/02
languedoc-roussillon,19,15,19,61,10,17,14:12:0,2018/05/02
limousin,15,10,10,79,5.25,52,14:23:0,2018/05/02
lorraine,15,12,9,64,10,19,14:40:0,2018/05/02
midi-pyrenees,17,13,17,68,9,29,14:12:0,2018/05/02
nord-pas-de-calais,14,11,30,74,10,38,14:47:0,2018/05/02
normandie,11,9,39,92,9.75,59,14:40:0,2018/05/02
pays-de-la-loire,12,10,30,94,7.875,80,14:29:0,2018/05/02
picardie,13,7,29,96,9,42,14:45:0,2018/05/02
poitou-charentes,12,10,25,91,8.625,84,14:24:0,2018/05/02
rh-ne-alpes,15,12,17,69,10,40,14:22:0,2018/05/02
provence-alpes-c-te-d-azur,19,15,24,59,9.375,50,14:10:0,2018/05/02
alsace,17,12,16,74,10,65,14:41:0,2018/05/03
aquitaine,16,10,19,93,7,69,14:20:0,2018/05/03
ardeche,15,12,35,71,10,52,14:20:0,2018/05/03
auvergne,11,8,17,91,5.75,89,14:25:0,2018/05/03
bourgogne,16,13,22,74,10,46,14:33:0,2018/05/03
bretagne,14,12,15,80,10,27,14:37:0,2018/05/03
centre,16,12,17,66,8,15,14:36:0,2018/05/03
champagne-ardenne,15,12,18,65,7.75,29,14:44:0,2018/05/03
corse,17,15,12,88,9.25,56,14:7:0,2018/05/03
franche-comte,15,11,19,87,9,93,14:33:0,2018/05/03
ile-de-re,15,11,22,78,10,21,14:27:0,2018/05/03
ile-de-france,16,13,15,58,10,7,14:42:0,2018/05/03
languedoc-roussillon,19,17,31,61,10,37,14:15:0,2018/05/03
limousin,15,10,13,86,6.75,64,14:25:0,2018/05/03
lorraine,16,13,16,78,10,37,14:43:0,2018/05/03
midi-pyrenees,12,10,29,88,8.75,90,14:15:0,2018/05/03
nord-pas-de-calais,14,12,10,59,10,15,14:50:0,2018/05/03
