,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,27,18,10,82,9.375,51,16:4:0,2020/07/01
aquitaine,25,18,17,88,9.875,43,15:32:0,2020/07/01
ardeche,32,20,16,70,9.625,36,15:31:0,2020/07/01
auvergne,26,17,12,86,9.125,41,15:39:0,2020/07/01
bourgogne,27,17,12,88,9.5,36,15:52:0,2020/07/01
bretagne,21,18,24,91,9,87,15:59:0,2020/07/01
centre,23,17,21,93,8.875,82,15:57:0,2020/07/01
champagne-ardenne,23,17,23,92,8,59,16:10:0,2020/07/01
corse,29,23,9,63,10,3,15:10:0,2020/07/01
franche-comte,27,17,13,82,9.625,28,15:52:0,2020/07/01
ile-de-re,19,18,25,89,10,62,15:43:0,2020/07/01
ile-de-france,22,19,18,81,10,68,16:6:0,2020/07/01
languedoc-roussillon,25,21,15,90,9.75,45,15:23:0,2020/07/01
limousin,24,16,11,95,6.375,71,15:40:0,2020/07/01
lorraine,23,16,19,90,7.375,66,16:9:0,2020/07/01
midi-pyrenees,25,19,17,83,9.5,73,15:23:0,2020/07/01
nord-pas-de-calais,19,16,24,91,8.875,80,16:20:0,2020/07/01
normandie,20,16,19,94,9,69,16:9:0,2020/07/01
pays-de-la-loire,20,18,23,93,8.625,81,15:52:0,2020/07/01
picardie,19,17,23,91,8,75,16:16:0,2020/07/01
poitou-charentes,20,18,23,91,10,59,15:43:0,2020/07/01
rh-ne-alpes,33,21,6,66,9.25,32,15:39:0,2020/07/01
provence-alpes-c-te-d-azur,26,23,13,77,9.875,24,15:21:0,2020/07/01
alsace,22,18,20,88,9.5,65,16:3:0,2020/07/02
aquitaine,20,17,13,79,10,49,15:31:0,2020/07/02
ardeche,28,20,15,80,9.375,49,15:30:0,2020/07/02
auvergne,22,16,6,92,10,74,15:39:0,2020/07/02
bourgogne,22,17,17,88,9.875,61,15:52:0,2020/07/02
bretagne,19,11,16,92,8.75,54,15:59:0,2020/07/02
centre,21,14,18,88,9.75,73,15:57:0,2020/07/02
champagne-ardenne,19,15,17,95,8.375,71,16:8:0,2020/07/02
corse,29,24,12,61,10,5,15:10:0,2020/07/02
franche-comte,21,17,13,98,9,84,15:50:0,2020/07/02
ile-de-re,18,17,22,76,9.875,67,15:42:0,2020/07/02
ile-de-france,21,16,17,81,9.75,67,16:5:0,2020/07/02
languedoc-roussillon,28,22,15,78,9.75,59,15:22:0,2020/07/02
limousin,18,14,8,90,9.625,72,15:40:0,2020/07/02
lorraine,19,16,24,93,9.75,80,16:7:0,2020/07/02
midi-pyrenees,20,18,16,87,10,86,15:22:0,2020/07/02
nord-pas-de-calais,19,14,27,90,9.25,58,16:18:0,2020/07/02
normandie,18,12,22,95,9.625,65,16:8:0,2020/07/02
pays-de-la-loire,20,14,24,90,7.875,61,15:50:0,2020/07/02
picardie,19,14,25,92,9.75,56,16:15:0,2020/07/02
poitou-charentes,18,17,21,80,9.75,66,15:41:0,2020/07/02
rh-ne-alpes,26,20,11,79,9.125,72,15:38:0,2020/07/02
provence-alpes-c-te-d-azur,28,24,20,72,10,24,15:20:0,2020/07/02
alsace,23,16,9,82,9.375,66,16:1:0,2020/07/03
aquitaine,22,15,13,84,9.875,47,15:31:0,2020/07/03
