,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,9,6,13,88,10,52,8:36:0,2018/12/01
aquitaine,12,10,19,85,8.625,83,9:4:0,2018/12/01
ardeche,9,5,8,85,10,25,9:4:0,2018/12/01
auvergne,7,4,12,88,6.75,49,8:57:0,2018/12/01
bourgogne,8,5,15,92,7,59,8:46:0,2018/12/01
bretagne,14,12,33,95,9.375,94,8:40:0,2018/12/01
centre,10,7,29,87,6.875,75,8:42:0,2018/12/01
champagne-ardenne,9,6,26,90,5.875,73,8:31:0,2018/12/01
corse,13,12,8,78,9.375,42,9:22:0,2018/12/01
franche-comte,8,5,12,93,6.25,74,8:46:0,2018/12/01
ile-de-re,14,12,42,92,8.875,88,8:55:0,2018/12/01
ile-de-france,11,7,27,85,9.75,69,8:34:0,2018/12/01
languedoc-roussillon,13,11,17,68,10,12,9:11:0,2018/12/01
limousin,8,6,16,95,4.75,100,8:57:0,2018/12/01
lorraine,7,6,19,93,6.25,87,8:32:0,2018/12/01
midi-pyrenees,12,8,7,67,10,44,9:12:0,2018/12/01
nord-pas-de-calais,10,6,33,88,8.875,71,8:23:0,2018/12/01
normandie,14,11,44,91,8.75,87,8:32:0,2018/12/01
pays-de-la-loire,14,12,35,95,8.875,91,8:47:0,2018/12/01
picardie,11,6,34,92,9.75,72,8:26:0,2018/12/01
poitou-charentes,14,12,42,89,8.875,88,8:55:0,2018/12/01
rh-ne-alpes,9,6,9,88,8,59,8:57:0,2018/12/01
provence-alpes-c-te-d-azur,13,10,15,70,10,11,9:13:0,2018/12/01
alsace,11,10,19,85,9.125,78,8:34:0,2018/12/02
aquitaine,13,12,21,93,7.75,100,9:3:0,2018/12/02
ardeche,7,6,10,96,6.625,91,9:2:0,2018/12/02
auvergne,11,10,24,91,8,80,8:56:0,2018/12/02
bourgogne,11,9,29,93,8.75,100,8:44:0,2018/12/02
bretagne,15,14,26,92,9.875,99,8:38:0,2018/12/02
centre,14,11,24,92,9.125,100,8:39:0,2018/12/02
champagne-ardenne,14,13,26,92,8.125,99,8:29:0,2018/12/02
corse,12,11,9,73,10,52,9:20:0,2018/12/02
franche-comte,10,8,29,92,9.125,99,8:44:0,2018/12/02
ile-de-re,14,14,42,92,9.25,100,8:53:0,2018/12/02
ile-de-france,15,14,22,90,9.25,98,8:32:0,2018/12/02
languedoc-roussillon,12,10,7,81,7.375,90,9:10:0,2018/12/02
limousin,11,8,19,97,9.25,100,8:55:0,2018/12/02
lorraine,12,10,30,94,7.75,100,8:30:0,2018/12/02
