,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,12,8,7,80,9,57,9:55:0,2018/11/01
aquitaine,15,11,12,92,7,69,10:11:0,2018/11/01
ardeche,11,8,13,91,8.375,62,10:12:0,2018/11/01
auvergne,10,5,16,92,7,60,10:7:0,2018/11/01
bourgogne,12,9,22,89,9.875,62,10:0:0,2018/11/01
bretagne,13,9,17,83,6.75,70,9:56:0,2018/11/01
centre,12,10,17,90,9.875,67,9:58:0,2018/11/01
champagne-ardenne,13,10,19,81,9.375,58,9:51:0,2018/11/01
corse,17,15,4,60,9.875,26,10:23:0,2018/11/01
franche-comte,11,7,15,96,8.5,66,10:1:0,2018/11/01
ile-de-re,14,12,24,88,9.75,71,10:5:0,2018/11/01
ile-de-france,11,10,18,87,10,60,9:53:0,2018/11/01
languedoc-roussillon,15,14,10,74,10,30,10:15:0,2018/11/01
limousin,9,8,13,99,3.5,90,10:7:0,2018/11/01
lorraine,10,6,17,91,9.75,80,9:52:0,2018/11/01
midi-pyrenees,15,10,13,78,9,62,10:16:0,2018/11/01
nord-pas-de-calais,12,10,22,85,10,44,9:46:0,2018/11/01
normandie,13,11,27,88,9.625,80,9:52:0,2018/11/01
pays-de-la-loire,14,11,14,75,9,71,10:1:0,2018/11/01
picardie,11,7,21,91,10,49,9:48:0,2018/11/01
poitou-charentes,14,12,24,79,9.75,71,10:6:0,2018/11/01
rh-ne-alpes,11,8,21,91,8.625,64,10:7:0,2018/11/01
provence-alpes-c-te-d-azur,16,15,19,70,9.125,57,10:17:0,2018/11/01
alsace,13,10,5,76,9,20,9:51:0,2018/11/02
aquitaine,14,11,14,86,9,45,10:8:0,2018/11/02
ardeche,12,8,19,82,10,20,10:8:0,2018/11/02
auvergne,8,5,10,97,5.625,94,10:4:0,2018/11/02
bourgogne,12,9,9,82,8,53,9:57:0,2018/11/02
bretagne,13,8,6,76,10,31,9:54:0,2018/11/02
centre,12,8,13,81,8,27,9:54:0,2018/11/02
champagne-ardenne,11,8,12,84,8,22,9:48:0,2018/11/02
corse,17,15,3,78,9.875,43,10:19:0,2018/11/02
franche-comte,11,9,7,86,4.75,40,9:57:0,2018/11/02
ile-de-re,14,10,14,77,10,20,10:2:0,2018/11/02
ile-de-france,11,8,12,81,10,23,9:50:0,2018/11/02
languedoc-roussillon,16,13,23,67,10,14,10:13:0,2018/11/02
limousin,11,6,10,95,5.125,60,10:3:0,2018/11/02
lorraine,8,7,9,90,5.75,85,9:49:0,2018/11/02
midi-pyrenees,12,9,13,90,9.375,54,10:13:0,2018/11/02
nord-pas-de-calais,10,8,12,71,10,13,9:43:0,2018/11/02
normandie,11,9,9,67,10,18,9:48:0,2018/11/02
pays-de-la-loire,13,9,9,78,10,16,9:58:0,2018/11/02
picardie,10,5,12,77,10,31,9:45:0,2018/11/02
poitou-charentes,14,10,14,77,10,20,10:2:0,2018/11/02
rh-ne-alpes,12,8,15,90,10,39,10:4:0,2018/11/02
provence-alpes-c-te-d-azur,16,14,14,73,9,54,10:14:0,2018/11/02
alsace,11,8,10,79,9,46,9:48:0,2018/11/03
aquitaine,13,8,8,74,10,16,10:5:0,2018/11/03
ardeche,12,7,17,88,10,25,10:6:0,2018/11/03
auvergne,9,4,6,95,4.25,65,10:1:0,2018/11/03
bourgogne,12,8,15,81,10,31,9:54:0,2018/11/03
bretagne,11,6,17,64,10,11,9:50:0,2018/11/03
centre,11,6,9,68,10,10,9:52:0,2018/11/03
champagne-ardenne,10,6,8,70,10,10,9:45:0,2018/11/03
corse,16,15,10,77,8.375,41,10:17:0,2018/11/03
franche-comte,12,8,12,83,5.25,47,9:55:0,2018/11/03
ile-de-re,12,8,13,72,10,10,10:0:0,2018/11/03
ile-de-france,11,6,6,63,10,10,9:46:0,2018/11/03
languedoc-roussillon,16,13,23,69,10,46,10:11:0,2018/11/03
limousin,12,6,9,94,4.25,43,10:1:0,2018/11/03
lorraine,10,6,14,76,10,18,9:45:0,2018/11/03
midi-pyrenees,12,8,9,78,10,26,10:10:0,2018/11/03
nord-pas-de-calais,9,6,12,72,10,12,9:39:0,2018/11/03
normandie,11,7,21,64,10,14,9:46:0,2018/11/03
pays-de-la-loire,12,7,12,64,10,8,9:55:0,2018/11/03
picardie,9,4,12,71,10,13,9:42:0,2018/11/03
poitou-charentes,12,8,13,72,10,10,10:0:0,2018/11/03
rh-ne-alpes,9,6,13,93,9,67,10:1:0,2018/11/03
provence-alpes-c-te-d-azur,19,15,16,63,9.25,51,10:12:0,2018/11/03
alsace,13,10,7,77,10,27,9:45:0,2018/11/04
aquitaine,15,8,12,71,10,19,10:2:0,2018/11/04
ardeche,15,9,10,75,10,24,10:3:0,2018/11/04
auvergne,15,8,9,74,9,17,9:58:0,2018/11/04
bourgogne,11,8,5,85,7,27,9:51:0,2018/11/04
bretagne,13,7,17,80,10,36,9:48:0,2018/11/04
centre,14,8,9,81,9,32,9:48:0,2018/11/04
champagne-ardenne,12,7,13,84,7,28,9:41:0,2018/11/04
corse,16,15,14,87,9,60,10:15:0,2018/11/04
franche-comte,13,10,6,77,9,32,9:51:0,2018/11/04
ile-de-re,13,9,18,78,10,53,9:56:0,2018/11/04
ile-de-france,13,8,10,82,10,26,9:44:0,2018/11/04
languedoc-roussillon,17,15,11,73,10,41,10:7:0,2018/11/04
limousin,16,9,7,95,7,20,9:59:0,2018/11/04
lorraine,12,8,11,83,7,25,9:42:0,2018/11/04
midi-pyrenees,16,8,19,70,10,8,10:8:0,2018/11/04
nord-pas-de-calais,11,7,14,84,10,22,9:36:0,2018/11/04
normandie,12,8,20,79,10,34,9:42:0,2018/11/04
pays-de-la-loire,13,9,15,81,10,47,9:52:0,2018/11/04
picardie,11,7,15,92,10,30,9:38:0,2018/11/04
poitou-charentes,13,9,17,78,10,53,9:56:0,2018/11/04
rh-ne-alpes,12,8,4,81,8,36,9:59:0,2018/11/04
provence-alpes-c-te-d-azur,18,17,25,67,9.875,36,10:10:0,2018/11/04
alsace,14,11,3,76,9,20,9:41:0,2018/11/05
aquitaine,18,14,9,79,9.875,57,10:0:0,2018/11/05
ardeche,15,12,17,90,9,64,10:0:0,2018/11/05
auvergne,18,11,26,73,8,41,9:56:0,2018/11/05
bourgogne,14,9,7,80,10,26,9:48:0,2018/11/05
bretagne,15,11,18,91,10,60,9:44:0,2018/11/05
centre,16,13,14,71,10,58,9:46:0,2018/11/05
champagne-ardenne,15,9,13,83,8.875,24,9:39:0,2018/11/05
corse,16,15,14,86,9.75,41,10:13:0,2018/11/05
franche-comte,16,12,5,71,10,20,9:49:0,2018/11/05
ile-de-re,17,14,17,84,10,76,9:54:0,2018/11/05
ile-de-france,18,12,13,69,10,39,9:40:0,2018/11/05
