,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,27,23,18,57,10,2,16:4:0,2018/07/01
aquitaine,32,28,8,59,9.875,22,15:32:0,2018/07/01
ardeche,31,26,16,44,10,1,15:31:0,2018/07/01
auvergne,32,27,5,48,10,7,15:39:0,2018/07/01
bourgogne,30,26,12,67,10,6,15:53:0,2018/07/01
bretagne,28,25,15,78,10,28,15:59:0,2018/07/01
centre,33,28,10,61,9.75,15,15:58:0,2018/07/01
champagne-ardenne,27,22,22,66,10,9,16:11:0,2018/07/01
corse,28,27,5,48,10,0,15:11:0,2018/07/01
franche-comte,31,27,10,58,10,8,15:51:0,2018/07/01
ile-de-re,27,24,23,76,9.875,22,15:43:0,2018/07/01
ile-de-france,31,26,18,60,10,10,16:7:0,2018/07/01
languedoc-roussillon,27,25,15,64,10,1,15:23:0,2018/07/01
limousin,31,27,7,60,9.875,13,15:40:0,2018/07/01
lorraine,25,20,22,68,10,4,16:9:0,2018/07/01
midi-pyrenees,31,24,12,64,9.875,6,15:22:0,2018/07/01
nord-pas-de-calais,29,24,18,59,10,12,16:21:0,2018/07/01
normandie,24,21,14,89,9.5,27,16:10:0,2018/07/01
pays-de-la-loire,29,26,9,63,9.75,24,15:52:0,2018/07/01
picardie,29,21,19,79,10,15,16:17:0,2018/07/01
poitou-charentes,27,25,14,68,9.875,22,15:43:0,2018/07/01
rh-ne-alpes,33,27,14,44,10,1,15:39:0,2018/07/01
provence-alpes-c-te-d-azur,29,28,15,47,10,0,15:20:0,2018/07/01
alsace,27,23,12,51,9.625,8,16:3:0,2018/07/02
aquitaine,28,24,13,77,9.375,23,15:31:0,2018/07/02
ardeche,30,25,15,57,9.875,5,15:31:0,2018/07/02
auvergne,26,23,7,65,9.5,12,15:39:0,2018/07/02
bourgogne,28,25,13,82,9,15,15:51:0,2018/07/02
bretagne,25,21,13,88,9,48,15:59:0,2018/07/02
centre,28,22,11,70,9.875,16,15:57:0,2018/07/02
champagne-ardenne,27,22,18,64,10,11,16:9:0,2018/07/02
corse,25,23,13,80,10,11,15:10:0,2018/07/02
franche-comte,29,27,14,59,9.5,7,15:51:0,2018/07/02
ile-de-re,23,22,19,82,9.625,25,15:43:0,2018/07/02
ile-de-france,29,24,14,58,10,14,16:5:0,2018/07/02
languedoc-roussillon,26,24,17,75,10,3,15:23:0,2018/07/02
limousin,26,22,10,86,6.625,34,15:39:0,2018/07/02
lorraine,25,20,22,65,10,8,16:8:0,2018/07/02
midi-pyrenees,29,23,7,70,10,16,15:22:0,2018/07/02
nord-pas-de-calais,27,23,18,57,10,6,16:20:0,2018/07/02
normandie,24,22,22,79,9.375,28,16:9:0,2018/07/02
pays-de-la-loire,24,22,16,80,7.625,41,15:51:0,2018/07/02
picardie,26,20,18,73,10,10,16:15:0,2018/07/02
poitou-charentes,23,19,19,79,9.625,25,15:42:0,2018/07/02
rh-ne-alpes,31,26,11,56,10,7,15:39:0,2018/07/02
provence-alpes-c-te-d-azur,28,27,13,60,10,3,15:19:0,2018/07/02
alsace,27,23,6,62,9.875,16,16:2:0,2018/07/03
aquitaine,27,25,7,60,8.875,28,15:31:0,2018/07/03
ardeche,30,24,6,59,9.875,17,15:29:0,2018/07/03
auvergne,26,22,7,66,8.875,28,15:38:0,2018/07/03
bourgogne,26,24,5,74,9.5,12,15:51:0,2018/07/03
bretagne,23,21,23,87,6.5,74,15:58:0,2018/07/03
centre,27,24,13,65,9,13,15:55:0,2018/07/03
champagne-ardenne,26,23,7,71,9.75,15,16:8:0,2018/07/03
corse,25,24,13,70,10,13,15:10:0,2018/07/03
franche-comte,27,22,6,85,9.375,22,15:50:0,2018/07/03
ile-de-re,23,21,14,77,10,32,15:41:0,2018/07/03
ile-de-france,29,25,9,59,9.875,12,16:5:0,2018/07/03
languedoc-roussillon,27,25,19,72,10,7,15:22:0,2018/07/03
limousin,27,22,8,86,7.25,39,15:38:0,2018/07/03
lorraine,26,21,7,64,9.875,17,16:7:0,2018/07/03
midi-pyrenees,31,26,12,63,10,14,15:21:0,2018/07/03
nord-pas-de-calais,28,22,10,65,9.75,15,16:18:0,2018/07/03
normandie,22,20,10,87,9,30,16:8:0,2018/07/03
pays-de-la-loire,24,22,21,80,7.75,57,15:49:0,2018/07/03
picardie,27,19,9,88,9.875,12,16:14:0,2018/07/03
poitou-charentes,23,21,14,77,10,32,15:41:0,2018/07/03
rh-ne-alpes,30,25,7,64,9.75,15,15:38:0,2018/07/03
provence-alpes-c-te-d-azur,28,26,15,63,10,4,15:19:0,2018/07/03
alsace,27,25,10,59,10,15,16:1:0,2018/07/04
aquitaine,27,22,12,86,10,27,15:29:0,2018/07/04
ardeche,31,26,16,54,9.875,7,15:28:0,2018/07/04
auvergne,29,17,4,93,9.25,31,15:36:0,2018/07/04
bourgogne,28,24,6,71,9.625,21,15:50:0,2018/07/04
bretagne,24,21,19,77,6.75,46,15:56:0,2018/07/04
centre,28,24,12,64,9.75,16,15:55:0,2018/07/04
champagne-ardenne,26,24,13,71,9.625,12,16:8:0,2018/07/04
corse,26,25,10,62,10,0,15:9:0,2018/07/04
franche-comte,28,23,11,76,9.875,12,15:49:0,2018/07/04
ile-de-re,24,21,23,79,10,25,15:40:0,2018/07/04
ile-de-france,27,25,10,56,9.75,19,16:4:0,2018/07/04
languedoc-roussillon,26,25,22,76,10,5,15:21:0,2018/07/04
limousin,28,18,9,96,6.125,38,15:37:0,2018/07/04
lorraine,25,23,12,75,9.75,13,16:6:0,2018/07/04
midi-pyrenees,32,23,36,78,8.875,22,15:20:0,2018/07/04
nord-pas-de-calais,25,22,8,66,9.375,15,16:18:0,2018/07/04
normandie,21,20,8,85,9.625,32,16:6:0,2018/07/04
pays-de-la-loire,25,22,15,74,7.75,42,15:49:0,2018/07/04
picardie,25,18,8,91,9.625,16,16:13:0,2018/07/04
poitou-charentes,24,22,18,74,10,25,15:40:0,2018/07/04
rh-ne-alpes,31,25,11,55,9.625,12,15:37:0,2018/07/04
provence-alpes-c-te-d-azur,29,27,17,58,10,3,15:18:0,2018/07/04
alsace,20,18,10,89,9.75,62,16:0:0,2018/07/05
aquitaine,24,21,20,78,10,39,15:28:0,2018/07/05
ardeche,26,22,13,59,10,19,15:28:0,2018/07/05
auvergne,20,17,17,85,7.75,47,15:36:0,2018/07/05
bourgogne,21,18,14,86,9,53,15:48:0,2018/07/05
bretagne,23,20,9,79,7.625,48,15:56:0,2018/07/05
centre,23,18,14,92,8.125,67,15:54:0,2018/07/05
champagne-ardenne,24,21,11,83,9.75,36,16:6:0,2018/07/05
corse,26,25,15,61,10,1,15:7:0,2018/07/05
franche-comte,22,17,14,93,8.375,54,15:48:0,2018/07/05
ile-de-re,21,20,26,81,9.875,58,15:40:0,2018/07/05
ile-de-france,25,21,12,74,9.625,37,16:2:0,2018/07/05
languedoc-roussillon,28,24,27,54,10,12,15:20:0,2018/07/05
limousin,20,17,10,95,6.125,72,15:36:0,2018/07/05
lorraine,20,17,12,97,8.5,66,16:5:0,2018/07/05
midi-pyrenees,24,21,22,77,10,46,15:19:0,2018/07/05
nord-pas-de-calais,25,21,15,67,10,10,16:16:0,2018/07/05
normandie,21,19,11,80,9,21,16:6:0,2018/07/05
pays-de-la-loire,22,21,19,75,7,56,15:48:0,2018/07/05
picardie,24,16,18,94,10,13,16:12:0,2018/07/05
poitou-charentes,21,18,26,77,9.875,58,15:39:0,2018/07/05
rh-ne-alpes,23,20,14,71,9.75,51,15:36:0,2018/07/05
provence-alpes-c-te-d-azur,29,26,26,63,9.875,13,15:17:0,2018/07/05
alsace,25,22,11,72,9.875,34,15:59:0,2018/07/06
aquitaine,25,22,8,68,9.875,46,15:28:0,2018/07/06
ardeche,26,22,25,58,10,20,15:26:0,2018/07/06
auvergne,22,17,12,78,5.625,49,15:35:0,2018/07/06
bourgogne,24,21,12,78,8.75,18,15:47:0,2018/07/06
bretagne,24,21,8,80,7.875,33,15:55:0,2018/07/06
centre,26,22,7,73,9,28,15:52:0,2018/07/06
champagne-ardenne,25,21,12,67,10,7,16:5:0,2018/07/06
corse,24,23,16,58,10,5,15:7:0,2018/07/06
franche-comte,24,21,12,78,8.5,44,15:47:0,2018/07/06
ile-de-re,23,21,13,78,10,38,15:38:0,2018/07/06
