,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,day
alsace,22,20,12,73,9.875,43,15:52:0,2018/06/01
aquitaine,24,21,10,63,8,28,15:21:0,2018/06/01
ardeche,23,19,8,74,10,14,15:21:0,2018/06/01
auvergne,19,17,9,83,6.5,33,15:29:0,2018/06/01
bourgogne,21,17,10,88,5.875,56,15:41:0,2018/06/01
bretagne,21,18,13,82,8,63,15:48:0,2018/06/01
centre,21,17,12,88,7.75,74,15:45:0,2018/06/01
champagne-ardenne,20,17,11,91,8.625,62,15:58:0,2018/06/01
corse,21,20,10,62,10,1,15:2:0,2018/06/01
franche-comte,20,16,10,85,7.5,49,15:40:0,2018/06/01
ile-de-re,20,18,14,79,10,49,15:31:0,2018/06/01
ile-de-france,20,19,10,80,10,59,15:54:0,2018/06/01
languedoc-roussillon,23,21,18,74,10,8,15:13:0,2018/06/01
limousin,22,18,8,77,7.75,57,15:28:0,2018/06/01
lorraine,20,17,13,93,7.375,67,15:56:0,2018/06/01
midi-pyrenees,25,21,11,68,10,30,15:12:0,2018/06/01
nord-pas-de-calais,19,14,14,85,8.75,56,16:8:0,2018/06/01
normandie,19,16,17,90,7.75,62,15:57:0,2018/06/01
pays-de-la-loire,20,17,13,81,8,59,15:40:0,2018/06/01
picardie,18,13,14,97,6,66,16:4:0,2018/06/01
poitou-charentes,20,18,10,79,10,49,15:31:0,2018/06/01
rh-ne-alpes,23,19,8,72,9.875,22,15:28:0,2018/06/01
provence-alpes-c-te-d-azur,24,22,17,57,10,6,15:11:0,2018/06/01
alsace,22,21,8,71,9.75,17,15:54:0,2018/06/02
aquitaine,27,23,6,58,9.75,21,15:23:0,2018/06/02
ardeche,25,20,10,73,9.875,8,15:22:0,2018/06/02
auvergne,23,18,6,78,7.375,44,15:30:0,2018/06/02
bourgogne,23,20,6,74,8,16,15:42:0,2018/06/02
bretagne,23,19,5,76,7.875,36,15:49:0,2018/06/02
centre,24,21,7,70,8,30,15:47:0,2018/06/02
champagne-ardenne,21,18,10,80,7.5,58,16:0:0,2018/06/02
corse,22,21,7,53,10,5,15:3:0,2018/06/02
franche-comte,23,19,9,73,5.5,36,15:42:0,2018/06/02
ile-de-re,23,19,14,76,10,15,15:33:0,2018/06/02
ile-de-france,24,20,8,61,10,13,15:56:0,2018/06/02
languedoc-roussillon,23,21,16,72,10,18,15:14:0,2018/06/02
limousin,25,20,6,87,7.375,36,15:30:0,2018/06/02
lorraine,21,18,10,82,8.875,37,15:58:0,2018/06/02
midi-pyrenees,26,21,8,69,9.875,31,15:13:0,2018/06/02
nord-pas-de-calais,20,17,14,83,10,66,16:9:0,2018/06/02
normandie,18,17,12,80,9.875,19,15:58:0,2018/06/02
pays-de-la-loire,23,20,5,75,9.875,25,15:41:0,2018/06/02
picardie,20,13,13,92,8,47,16:5:0,2018/06/02
poitou-charentes,23,19,10,75,10,15,15:32:0,2018/06/02
rh-ne-alpes,25,20,8,68,9,13,15:30:0,2018/06/02
provence-alpes-c-te-d-azur,24,23,14,60,10,9,15:12:0,2018/06/02
alsace,25,22,12,68,10,12,15:55:0,2018/06/03
aquitaine,28,22,9,72,9.5,36,15:24:0,2018/06/03
ardeche,22,17,15,83,9.875,35,15:23:0,2018/06/03
auvergne,21,17,11,83,9.875,49,15:32:0,2018/06/03
bourgogne,24,21,12,77,7.5,42,15:44:0,2018/06/03
bretagne,24,19,18,86,9.875,40,15:50:0,2018/06/03
centre,24,21,17,80,8.375,41,15:49:0,2018/06/03
champagne-ardenne,24,20,8,74,8,17,16:1:0,2018/06/03
corse,25,20,5,75,9.625,16,15:4:0,2018/06/03
franche-comte,25,21,9,72,8.5,51,15:43:0,2018/06/03
ile-de-re,23,20,17,84,10,40,15:34:0,2018/06/03
ile-de-france,25,22,15,67,9.875,19,15:57:0,2018/06/03
languedoc-roussillon,21,20,12,75,10,41,15:16:0,2018/06/03
limousin,24,18,7,92,6.875,70,15:31:0,2018/06/03
lorraine,24,20,9,79,10,14,15:59:0,2018/06/03
midi-pyrenees,23,20,20,74,9.875,25,15:15:0,2018/06/03
nord-pas-de-calais,24,20,12,62,10,5,16:11:0,2018/06/03
normandie,20,19,20,83,9.625,28,16:0:0,2018/06/03
pays-de-la-loire,24,22,16,76,9.625,49,15:43:0,2018/06/03
picardie,23,16,14,92,10,7,16:7:0,2018/06/03
poitou-charentes,23,20,14,84,10,40,15:34:0,2018/06/03
rh-ne-alpes,25,19,13,77,10,50,15:31:0,2018/06/03
provence-alpes-c-te-d-azur,23,22,15,61,9.75,42,15:13:0,2018/06/03
alsace,26,23,13,69,9.625,16,15:56:0,2018/06/04
aquitaine,22,20,15,81,8.875,51,15:25:0,2018/06/04
ardeche,22,19,7,79,9.5,38,15:24:0,2018/06/04
auvergne,21,18,5,86,8.75,38,15:32:0,2018/06/04
bourgogne,24,22,12,73,10,45,15:45:0,2018/06/04
bretagne,21,17,16,94,7.875,64,15:52:0,2018/06/04
centre,25,21,6,80,7.625,38,15:50:0,2018/06/04
champagne-ardenne,23,22,13,79,9.5,35,16:2:0,2018/06/04
corse,19,17,13,79,9.875,39,15:5:0,2018/06/04
franche-comte,22,21,11,85,6.125,60,15:44:0,2018/06/04
ile-de-re,19,17,19,89,7.5,71,15:36:0,2018/06/04
ile-de-france,25,20,14,81,9.75,43,15:58:0,2018/06/04
languedoc-roussillon,22,20,18,75,10,39,15:17:0,2018/06/04
limousin,21,18,9,93,5.875,65,15:33:0,2018/06/04
lorraine,24,22,12,81,9.5,26,16:1:0,2018/06/04
midi-pyrenees,25,20,14,75,9.75,38,15:16:0,2018/06/04
nord-pas-de-calais,23,20,20,80,10,29,16:12:0,2018/06/04
normandie,18,15,27,95,9.75,69,16:2:0,2018/06/04
pays-de-la-loire,21,17,4,92,7.875,79,15:44:0,2018/06/04
picardie,22,15,22,91,10,37,16:8:0,2018/06/04
poitou-charentes,19,18,19,89,7.5,71,15:36:0,2018/06/04
rh-ne-alpes,23,20,6,81,9.75,37,15:33:0,2018/06/04
provence-alpes-c-te-d-azur,22,21,14,66,9.75,40,15:14:0,2018/06/04
alsace,26,23,13,73,9.875,12,15:57:0,2018/06/05
aquitaine,19,17,14,90,9.75,75,15:26:0,2018/06/05
ardeche,23,18,13,80,8.75,23,15:26:0,2018/06/05
auvergne,20,17,9,93,7.625,42,15:34:0,2018/06/05
bourgogne,23,19,7,87,8.875,45,15:47:0,2018/06/05
bretagne,20,17,18,91,7.5,89,15:53:0,2018/06/05
centre,21,19,15,91,7.125,72,15:52:0,2018/06/05
champagne-ardenne,24,20,17,87,9,36,16:3:0,2018/06/05
corse,20,19,12,65,10,21,15:6:0,2018/06/05
franche-comte,22,21,6,83,7.125,40,15:45:0,2018/06/05
ile-de-re,19,17,21,88,8,81,15:37:0,2018/06/05
ile-de-france,23,17,18,89,9.75,65,16:0:0,2018/06/05
languedoc-roussillon,21,20,22,78,9.875,19,15:18:0,2018/06/05
limousin,21,16,6,97,4.625,97,15:34:0,2018/06/05
lorraine,25,22,15,84,8.625,14,16:2:0,2018/06/05
midi-pyrenees,21,16,20,90,8.25,86,15:17:0,2018/06/05
nord-pas-de-calais,18,16,21,85,10,68,16:13:0,2018/06/05
normandie,15,14,23,95,8,94,16:3:0,2018/06/05
pays-de-la-loire,21,19,8,86,8,76,15:46:0,2018/06/05
picardie,19,13,22,95,10,67,16:10:0,2018/06/05
poitou-charentes,19,17,21,86,8,81,15:37:0,2018/06/05
rh-ne-alpes,24,20,7,78,9.875,34,15:34:0,2018/06/05
provence-alpes-c-te-d-azur,23,22,21,62,9.875,17,15:15:0,2018/06/05
alsace,25,22,8,73,9.375,18,15:59:0,2018/06/06
aquitaine,21,17,16,92,7.375,60,15:28:0,2018/06/06
ardeche,22,19,17,73,7.625,29,15:27:0,2018/06/06
auvergne,20,17,12,83,6.5,47,15:35:0,2018/06/06
bourgogne,24,20,14,75,8.25,44,15:47:0,2018/06/06
bretagne,18,13,13,95,6.375,100,15:55:0,2018/06/06
centre,21,18,5,94,7.25,80,15:53:0,2018/06/06
champagne-ardenne,25,19,7,89,7.25,49,16:5:0,2018/06/06
corse,20,19,13,78,9.875,28,15:7:0,2018/06/06
franche-comte,23,21,11,80,8.875,50,15:47:0,2018/06/06
ile-de-re,20,18,20,91,7,81,15:39:0,2018/06/06
ile-de-france,25,20,10,78,9.75,51,16:1:0,2018/06/06
languedoc-roussillon,21,20,18,74,9.875,15,15:19:0,2018/06/06
limousin,20,16,11,96,6.25,84,15:35:0,2018/06/06
lorraine,24,20,10,86,9.375,27,16:4:0,2018/06/06
midi-pyrenees,20,17,9,80,8.875,73,15:18:0,2018/06/06
nord-pas-de-calais,24,19,16,79,9.875,31,16:15:0,2018/06/06
normandie,16,13,19,92,8,95,16:5:0,2018/06/06
pays-de-la-loire,19,15,14,94,8.625,100,15:47:0,2018/06/06
picardie,23,16,16,95,9.75,41,16:11:0,2018/06/06
poitou-charentes,20,18,20,88,7,81,15:37:0,2018/06/06
rh-ne-alpes,23,20,18,79,8.75,30,15:35:0,2018/06/06
provence-alpes-c-te-d-azur,23,22,12,58,9.125,34,15:16:0,2018/06/06
alsace,23,22,6,74,9.75,46,16:0:0,2018/06/07
aquitaine,24,21,10,66,7.625,39,15:29:0,2018/06/07
ardeche,22,18,8,87,9.75,32,15:27:0,2018/06/07
auvergne,20,17,6,89,7.75,43,15:36:0,2018/06/07
bourgogne,23,21,10,73,8.875,33,15:49:0,2018/06/07
bretagne,21,18,12,88,6.875,82,15:56:0,2018/06/07
centre,22,17,10,92,6.25,64,15:54:0,2018/06/07
champagne-ardenne,23,21,8,79,9,31,16:6:0,2018/06/07
corse,19,17,5,90,8,55,15:8:0,2018/06/07
franche-comte,22,19,9,84,7.75,44,15:48:0,2018/06/07
ile-de-re,21,19,15,83,8,46,15:39:0,2018/06/07
ile-de-france,24,20,10,72,10,21,16:3:0,2018/06/07
languedoc-roussillon,21,20,10,74,10,43,15:20:0,2018/06/07
limousin,21,19,5,85,5.125,64,15:36:0,2018/06/07
lorraine,22,20,9,86,10,58,16:5:0,2018/06/07
midi-pyrenees,23,18,5,79,9,59,15:19:0,2018/06/07
nord-pas-de-calais,23,21,7,76,9.5,33,16:16:0,2018/06/07
normandie,20,17,5,91,6.875,77,16:5:0,2018/06/07
pays-de-la-loire,21,19,14,84,6.875,71,15:48:0,2018/06/07
picardie,22,16,10,96,8,48,16:12:0,2018/06/07
poitou-charentes,21,19,15,83,8,46,15:39:0,2018/06/07
rh-ne-alpes,23,20,7,82,9.375,38,15:36:0,2018/06/07
provence-alpes-c-te-d-azur,21,20,9,69,9.5,54,15:17:0,2018/06/07
alsace,25,22,8,73,9,18,16:2:0,2018/06/08
aquitaine,27,23,11,61,10,30,15:29:0,2018/06/08
ardeche,24,20,7,79,9.75,41,15:29:0,2018/06/08
auvergne,21,19,9,83,6.125,41,15:37:0,2018/06/08
bourgogne,24,21,12,80,7.625,27,15:50:0,2018/06/08
bretagne,23,21,8,81,7.375,24,15:57:0,2018/06/08
centre,25,22,10,74,9.75,21,15:55:0,2018/06/08
champagne-ardenne,22,21,15,83,8.75,29,16:8:0,2018/06/08
