region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent
Bourgogne-Franche-Comté,2018/02/01,5.5,3.5,17.5,86.5,9.5625,59.5
Bourgogne-Franche-Comté,2018/02/02,4.0,1.5,11.0,84.0,8.1875,53.5
Bourgogne-Franche-Comté,2018/02/03,3.5,1.5,8.0,87.5,8.0,81.5
Bourgogne-Franche-Comté,2018/02/04,4.5,2.0,11.5,72.5,10.0,55.5
Bourgogne-Franche-Comté,2018/02/05,2.5,0.5,13.5,77.5,8.5,94.0
Bourgogne-Franche-Comté,2018/02/06,4.5,2.0,5.0,80.0,7.1875,82.5
Bourgogne-Franche-Comté,2018/02/07,1.0,-1.0,11.5,86.0,8.25,95.5
Bourgogne-Franche-Comté,2018/02/08,3.0,-0.5,10.5,78.0,9.5,44.5
Bourgogne-Franche-Comté,2018/02/09,3.5,1.0,12.5,79.0,8.0,57.5
Bourgogne-Franche-Comté,2018/02/10,2.5,0.5,7.0,87.0,8.1875,81.5
Bourgogne-Franche-Comté,2018/02/11,3.0,-0.5,22.5,91.0,9.5,92.0
Bourgogne-Franche-Comté,2018/02/12,3.0,0.0,10.5,86.5,8.6875,33.5
Bourgogne-Franche-Comté,2018/02/13,4.0,0.0,10.5,70.5,9.6875,37.0
Bourgogne-Franche-Comté,2018/02/14,4.0,1.0,8.5,76.5,10.0,77.0
Bourgogne-Franche-Comté,2018/02/15,8.0,3.5,20.5,96.0,6.4375,100.0
Bourgogne-Franche-Comté,2018/02/16,9.0,6.0,12.0,83.0,9.875,62.0
Bourgogne-Franche-Comté,2018/02/17,5.0,2.5,17.5,97.5,7.5625,86.5
Bourgogne-Franche-Comté,2018/02/18,5.0,2.0,10.5,81.5,8.375,14.5
Bourgogne-Franche-Comté,2018/02/19,5.0,2.0,5.0,68.0,10.0,32.5
Bourgogne-Franche-Comté,2018/02/20,4.5,1.5,13.5,60.0,10.0,33.5
Bourgogne-Franche-Comté,2018/02/21,4.0,0.5,24.0,60.0,10.0,9.5
Bourgogne-Franche-Comté,2018/02/22,3.0,0.0,25.0,57.5,10.0,26.0
Bourgogne-Franche-Comté,2018/02/23,3.5,0.0,20.0,56.5,10.0,13.5
Bourgogne-Franche-Comté,2018/02/24,6.0,0.5,16.0,60.5,10.0,12.0
Bourgogne-Franche-Comté,2018/02/25,1.5,-1.5,26.0,44.5,10.0,2.0
Bourgogne-Franche-Comté,2018/02/26,-2.5,-5.0,29.0,30.5,10.0,9.5
Bourgogne-Franche-Comté,2018/02/27,-3.5,-6.5,18.5,39.5,10.0,16.0
Bourgogne-Franche-Comté,2018/02/28,0.5,-6.0,18.0,40.5,9.1875,36.0
Bretagne,2018/02/01,8.0,4.0,18.0,85.0,9.875,57.0
Bretagne,2018/02/02,8.0,4.0,21.0,88.0,9.875,43.0
Bretagne,2018/02/03,8.0,4.0,25.0,93.0,9.375,83.0
Bretagne,2018/02/04,5.0,2.0,31.0,85.0,9.875,38.0
Bretagne,2018/02/05,4.0,0.0,22.0,78.0,10.0,27.0
Bretagne,2018/02/06,5.0,1.0,24.0,85.0,9.375,78.0
Bretagne,2018/02/07,5.0,1.0,29.0,90.0,9.625,65.0
Bretagne,2018/02/08,6.0,1.0,12.0,79.0,10.0,24.0
Bretagne,2018/02/09,7.0,2.0,33.0,80.0,9.75,40.0
Bretagne,2018/02/10,9.0,3.0,27.0,92.0,10.0,79.0
Bretagne,2018/02/11,10.0,3.0,28.0,81.0,10.0,50.0
Bretagne,2018/02/12,7.0,2.0,15.0,82.0,10.0,9.0
Bretagne,2018/02/13,8.0,3.0,37.0,91.0,9.5,46.0
Bretagne,2018/02/14,10.0,4.0,39.0,97.0,9.875,78.0
Bretagne,2018/02/15,12.0,7.0,13.0,97.0,8.0,84.0
Bretagne,2018/02/16,9.0,4.0,14.0,86.0,10.0,50.0
Bretagne,2018/02/17,10.0,6.0,14.0,90.0,7.0,66.0
Bretagne,2018/02/18,8.0,7.0,16.0,97.0,9.0,100.0
Bretagne,2018/02/19,10.0,9.0,18.0,95.0,3.25,100.0
Bretagne,2018/02/20,10.0,7.0,27.0,89.0,9.0,74.0
Bretagne,2018/02/21,8.0,3.0,21.0,74.0,10.0,21.0
Bretagne,2018/02/22,7.0,2.0,19.0,69.0,10.0,2.0
Bretagne,2018/02/23,6.0,0.0,18.0,67.0,10.0,0.0
Bretagne,2018/02/24,7.0,,17.0,73.0,10.0,3.0
Bretagne,2018/02/25,6.0,0.0,23.0,58.0,10.0,15.0
Bretagne,2018/02/26,2.0,-2.0,27.0,39.0,10.0,2.0
Bretagne,2018/02/27,1.0,-3.0,22.0,45.0,10.0,13.0
Bretagne,2018/02/28,0.0,-4.0,33.0,29.0,10.0,35.0
Centre-Val de Loire,2018/02/01,7.0,3.0,21.0,85.0,10.0,33.0
Centre-Val de Loire,2018/02/02,7.0,3.0,16.0,85.0,9.875,41.0
Centre-Val de Loire,2018/02/03,5.0,2.0,13.0,86.0,8.0,71.0
Centre-Val de Loire,2018/02/04,4.0,3.0,23.0,87.0,8.5,72.0
Centre-Val de Loire,2018/02/05,2.0,-1.0,18.0,76.0,9.375,54.0
Centre-Val de Loire,2018/02/06,1.0,0.0,12.0,94.0,5.0,100.0
Centre-Val de Loire,2018/02/07,0.0,-1.0,12.0,94.0,6.375,95.0
Centre-Val de Loire,2018/02/08,1.0,-5.0,6.0,76.0,10.0,18.0
Centre-Val de Loire,2018/02/09,1.0,-2.0,19.0,98.0,7.75,54.0
Centre-Val de Loire,2018/02/10,2.0,-2.0,12.0,95.0,8.0,36.0
Centre-Val de Loire,2018/02/11,6.0,4.0,16.0,100.0,9.25,78.0
Centre-Val de Loire,2018/02/12,5.0,1.0,11.0,79.0,10.0,8.0
Centre-Val de Loire,2018/02/13,3.0,1.0,25.0,79.0,8.875,52.0
Centre-Val de Loire,2018/02/14,4.0,1.0,18.0,86.0,8.0,53.0
Centre-Val de Loire,2018/02/15,11.0,10.0,16.0,97.0,6.375,100.0
Centre-Val de Loire,2018/02/16,9.0,5.0,15.0,82.0,10.0,30.0
Centre-Val de Loire,2018/02/17,9.0,4.0,10.0,91.0,9.5,61.0
Centre-Val de Loire,2018/02/18,9.0,4.0,8.0,86.0,10.0,38.0
Centre-Val de Loire,2018/02/19,6.0,3.0,8.0,79.0,8.875,78.0
Centre-Val de Loire,2018/02/20,7.0,4.0,10.0,91.0,6.5,92.0
Centre-Val de Loire,2018/02/21,5.0,2.0,20.0,75.0,10.0,9.0
Centre-Val de Loire,2018/02/22,5.0,0.0,23.0,70.0,10.0,1.0
Centre-Val de Loire,2018/02/23,4.0,,23.0,54.0,10.0,3.0
Centre-Val de Loire,2018/02/24,5.0,0.0,22.0,58.0,10.0,10.0
Centre-Val de Loire,2018/02/25,3.0,-1.0,27.0,42.0,10.0,11.0
Centre-Val de Loire,2018/02/26,0.0,-3.0,29.0,31.0,10.0,5.0
Centre-Val de Loire,2018/02/27,-2.0,-4.0,18.0,49.0,10.0,38.0
Centre-Val de Loire,2018/02/28,0.0,-5.0,28.0,32.0,10.0,42.0
Corse,2018/02/01,9.0,8.0,19.0,89.0,9.0,81.0
Corse,2018/02/02,8.0,7.0,6.0,85.0,8.875,88.0
Corse,2018/02/03,7.0,6.0,22.0,73.0,9.625,63.0
Corse,2018/02/04,8.0,6.0,3.0,65.0,10.0,42.0
Corse,2018/02/05,10.0,8.0,12.0,75.0,9.75,39.0
Corse,2018/02/06,10.0,8.0,8.0,85.0,9.125,46.0
Corse,2018/02/07,8.0,7.0,16.0,89.0,8.875,54.0
Corse,2018/02/08,7.0,5.0,9.0,63.0,10.0,19.0
Corse,2018/02/09,8.0,7.0,6.0,58.0,10.0,23.0
