region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent
Bourgogne-Franche-Comté,2020/04/01,11.5,4.0,7.5,63.0,10.0,1.0
Bourgogne-Franche-Comté,2020/04/02,12.5,6.5,11.5,72.0,10.0,9.5
Bourgogne-Franche-Comté,2020/04/03,11.0,5.5,10.0,71.5,10.0,40.5
Bourgogne-Franche-Comté,2020/04/04,15.5,7.5,13.5,76.0,10.0,9.5
Bourgogne-Franche-Comté,2020/04/05,17.5,11.0,13.5,69.5,10.0,5.5
Bourgogne-Franche-Comté,2020/04/06,18.0,11.5,17.5,65.0,10.0,6.0
Bourgogne-Franche-Comté,2020/04/07,19.5,13.0,13.0,67.5,10.0,7.5
Bourgogne-Franche-Comté,2020/04/08,20.0,13.5,8.5,67.5,10.0,6.5
Bourgogne-Franche-Comté,2020/04/09,20.5,14.5,11.5,72.0,10.0,6.5
Bourgogne-Franche-Comté,2020/04/10,21.0,14.0,7.0,68.5,10.0,5.5
Bourgogne-Franche-Comté,2020/04/11,21.5,15.5,5.0,71.0,10.0,8.0
Bourgogne-Franche-Comté,2020/04/12,19.5,14.0,12.5,72.5,9.9375,35.5
Bourgogne-Franche-Comté,2020/04/13,19.5,14.0,14.5,70.0,9.9375,34.0
Bourgogne-Franche-Comté,2020/04/14,12.5,6.5,27.0,58.0,10.0,2.5
Bourgogne-Franche-Comté,2020/04/15,18.5,8.0,8.5,66.5,10.0,1.0
Bourgogne-Franche-Comté,2020/04/16,20.0,14.0,13.0,66.5,10.0,14.0
Bourgogne-Franche-Comté,2020/04/17,20.0,14.5,13.5,66.5,10.0,43.0
Bourgogne-Franche-Comté,2020/04/18,20.0,14.5,10.5,81.0,9.75,66.0
Bourgogne-Franche-Comté,2020/04/19,20.0,15.0,17.5,84.5,8.0625,50.5
Bourgogne-Franche-Comté,2020/04/20,17.0,14.0,24.5,82.0,9.9375,45.5
Bourgogne-Franche-Comté,2020/04/21,18.5,14.0,17.5,77.0,10.0,31.0
Bourgogne-Franche-Comté,2020/04/22,19.5,13.5,12.0,77.5,9.375,37.0
Bourgogne-Franche-Comté,2020/04/23,20.0,14.5,6.5,80.0,9.9375,31.0
Bourgogne-Franche-Comté,2020/04/24,21.0,16.0,6.0,73.0,9.8125,30.0
Bourgogne-Franche-Comté,2020/04/25,20.5,15.5,13.0,81.0,9.6875,44.0
Bourgogne-Franche-Comté,2020/04/26,19.0,13.5,9.0,73.5,9.875,46.0
Bourgogne-Franche-Comté,2020/04/27,20.5,14.5,9.5,77.0,9.875,25.5
Bourgogne-Franche-Comté,2020/04/28,14.5,12.0,14.0,91.5,8.5625,91.5
Bourgogne-Franche-Comté,2020/04/29,15.5,9.5,18.0,92.0,8.625,86.5
Bourgogne-Franche-Comté,2020/04/30,11.0,9.5,20.5,94.5,7.4375,91.0
Bretagne,2020/04/01,12.0,5.0,19.0,80.0,10.0,0.0
