region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent
Bourgogne-Franche-Comté,2018/10/01,13.0,9.0,18.5,86.5,9.875,50.0
Bourgogne-Franche-Comté,2018/10/02,12.0,9.5,8.5,62.0,9.0,57.0
Bourgogne-Franche-Comté,2018/10/03,16.5,12.5,10.0,82.5,8.375,79.0
Bourgogne-Franche-Comté,2018/10/04,19.0,14.0,13.0,72.0,6.625,23.5
Bourgogne-Franche-Comté,2018/10/05,22.5,17.0,7.5,61.5,10.0,3.0
Bourgogne-Franche-Comté,2018/10/06,22.0,18.0,17.5,57.5,10.0,13.0
Bourgogne-Franche-Comté,2018/10/07,16.5,13.5,9.0,82.0,7.75,83.0
Bourgogne-Franche-Comté,2018/10/08,19.5,15.0,10.0,74.5,7.625,29.0
Bourgogne-Franche-Comté,2018/10/09,19.5,16.0,5.5,67.5,10.0,4.0
Bourgogne-Franche-Comté,2018/10/10,21.0,16.0,6.5,67.0,10.0,20.5
Bourgogne-Franche-Comté,2018/10/11,22.0,16.0,13.5,83.5,8.4375,51.0
Bourgogne-Franche-Comté,2018/10/12,23.0,19.5,15.5,66.0,9.5,18.0
Bourgogne-Franche-Comté,2018/10/13,23.5,19.5,11.0,64.0,9.0,10.0
Bourgogne-Franche-Comté,2018/10/14,22.5,19.0,20.0,58.0,10.0,25.0
Bourgogne-Franche-Comté,2018/10/15,22.0,17.5,12.0,62.0,10.0,15.0
Bourgogne-Franche-Comté,2018/10/16,21.5,17.0,5.5,61.5,10.0,31.0
Bourgogne-Franche-Comté,2018/10/17,20.5,16.5,9.5,58.5,10.0,5.0
Bourgogne-Franche-Comté,2018/10/18,20.5,16.0,18.0,62.5,10.0,5.5
Bourgogne-Franche-Comté,2018/10/19,18.0,14.5,9.5,74.0,8.0,14.0
Bourgogne-Franche-Comté,2018/10/20,18.0,14.0,13.5,71.0,9.0,3.0
Bourgogne-Franche-Comté,2018/10/21,16.5,12.5,14.0,69.0,8.5,4.0
Bourgogne-Franche-Comté,2018/10/22,15.0,11.0,18.0,52.5,10.0,6.5
Bourgogne-Franche-Comté,2018/10/23,14.5,10.0,10.0,69.0,9.5,11.5
Bourgogne-Franche-Comté,2018/10/24,15.0,11.0,11.5,71.0,8.375,29.0
Bourgogne-Franche-Comté,2018/10/25,14.0,12.0,6.0,82.5,5.125,49.0
Bourgogne-Franche-Comté,2018/10/26,13.0,8.5,11.5,79.0,7.0,44.5
Bourgogne-Franche-Comté,2018/10/27,7.5,6.0,12.0,86.0,8.75,81.0
Bourgogne-Franche-Comté,2018/10/28,7.0,5.0,24.0,83.5,9.3125,83.5
Bourgogne-Franche-Comté,2018/10/29,4.5,3.5,16.0,92.5,7.875,87.5
Bourgogne-Franche-Comté,2018/10/30,6.5,3.0,34.0,90.0,8.375,69.5
Bourgogne-Franche-Comté,2018/10/31,11.0,7.5,7.5,84.5,9.5,62.0
Bretagne,2018/10/01,16.0,10.0,21.0,73.0,10.0,24.0
Bretagne,2018/10/02,17.0,12.0,17.0,89.0,9.0,70.0
Bretagne,2018/10/03,20.0,15.0,11.0,86.0,7.0,52.0
Bretagne,2018/10/04,22.0,15.0,12.0,76.0,7.0,9.0
Bretagne,2018/10/05,24.0,16.0,10.0,67.0,10.0,2.0
Bretagne,2018/10/06,18.0,14.0,24.0,92.0,7.625,58.0
Bretagne,2018/10/07,14.0,12.0,33.0,85.0,9.625,84.0
Bretagne,2018/10/08,17.0,12.0,9.0,73.0,10.0,13.0
Bretagne,2018/10/09,22.0,14.0,13.0,72.0,10.0,7.0
Bretagne,2018/10/10,22.0,15.0,26.0,87.0,9.875,21.0
Bretagne,2018/10/11,18.0,13.0,27.0,93.0,9.875,44.0
Bretagne,2018/10/12,23.0,18.0,31.0,76.0,10.0,37.0
Bretagne,2018/10/13,24.0,18.0,27.0,79.0,10.0,26.0
Bretagne,2018/10/14,18.0,14.0,14.0,96.0,7.0,84.0
Bretagne,2018/10/15,16.0,14.0,12.0,89.0,7.0,90.0
Bretagne,2018/10/16,17.0,13.0,12.0,90.0,7.75,69.0
Bretagne,2018/10/17,17.0,13.0,10.0,79.0,9.375,35.0
Bretagne,2018/10/18,19.0,14.0,21.0,84.0,10.0,19.0
Bretagne,2018/10/19,18.0,13.0,17.0,88.0,9.0,10.0
Bretagne,2018/10/20,18.0,12.0,15.0,72.0,8.0,9.0
Bretagne,2018/10/21,18.0,12.0,14.0,74.0,10.0,10.0
Bretagne,2018/10/22,15.0,10.0,25.0,84.0,10.0,41.0
Bretagne,2018/10/23,16.0,11.0,17.0,91.0,10.0,7.0
Bretagne,2018/10/24,19.0,12.0,13.0,92.0,7.0,11.0
Bretagne,2018/10/25,17.0,10.0,11.0,92.0,9.0,5.0
Bretagne,2018/10/26,14.0,8.0,24.0,80.0,7.0,52.0
Bretagne,2018/10/27,10.0,5.0,20.0,81.0,9.875,29.0
Bretagne,2018/10/28,10.0,7.0,33.0,71.0,10.0,52.0
Bretagne,2018/10/29,10.0,6.0,26.0,74.0,10.0,42.0
Bretagne,2018/10/30,11.0,6.0,15.0,74.0,10.0,39.0
Bretagne,2018/10/31,12.0,7.0,18.0,94.0,7.75,60.0
Centre-Val de Loire,2018/10/01,15.0,12.0,22.0,58.0,10.0,34.0
Centre-Val de Loire,2018/10/02,14.0,12.0,16.0,68.0,10.0,81.0
Centre-Val de Loire,2018/10/03,19.0,14.0,11.0,87.0,7.0,54.0
Centre-Val de Loire,2018/10/04,21.0,15.0,13.0,63.0,10.0,3.0
Centre-Val de Loire,2018/10/05,25.0,18.0,12.0,54.0,10.0,1.0
Centre-Val de Loire,2018/10/06,23.0,18.0,21.0,62.0,9.875,23.0
Centre-Val de Loire,2018/10/07,18.0,15.0,17.0,77.0,10.0,53.0
Centre-Val de Loire,2018/10/08,19.0,14.0,12.0,61.0,10.0,7.0
Centre-Val de Loire,2018/10/09,23.0,16.0,13.0,64.0,10.0,4.0
Centre-Val de Loire,2018/10/10,25.0,18.0,25.0,48.0,9.875,26.0
Centre-Val de Loire,2018/10/11,25.0,19.0,24.0,67.0,9.5,40.0
Centre-Val de Loire,2018/10/12,25.0,19.0,26.0,70.0,9.875,41.0
Centre-Val de Loire,2018/10/13,26.0,20.0,15.0,64.0,10.0,11.0
Centre-Val de Loire,2018/10/14,27.0,21.0,20.0,57.0,9.5,33.0
Centre-Val de Loire,2018/10/15,25.0,20.0,23.0,55.0,10.0,35.0
Centre-Val de Loire,2018/10/16,23.0,19.0,10.0,54.0,10.0,24.0
Centre-Val de Loire,2018/10/17,22.0,17.0,13.0,63.0,10.0,26.0
Centre-Val de Loire,2018/10/18,22.0,16.0,19.0,74.0,10.0,11.0
Centre-Val de Loire,2018/10/19,20.0,14.0,15.0,78.0,9.0,13.0
Centre-Val de Loire,2018/10/20,18.0,13.0,17.0,73.0,10.0,12.0
Centre-Val de Loire,2018/10/21,18.0,12.0,13.0,68.0,10.0,1.0
Centre-Val de Loire,2018/10/22,16.0,14.0,24.0,72.0,10.0,32.0
Centre-Val de Loire,2018/10/23,17.0,10.0,11.0,67.0,10.0,5.0
Centre-Val de Loire,2018/10/24,19.0,14.0,11.0,80.0,8.0,20.0
Centre-Val de Loire,2018/10/25,18.0,13.0,6.0,81.0,7.0,30.0
Centre-Val de Loire,2018/10/26,13.0,10.0,13.0,78.0,9.0,54.0
Centre-Val de Loire,2018/10/27,10.0,8.0,12.0,67.0,10.0,31.0
Centre-Val de Loire,2018/10/28,7.0,6.0,29.0,69.0,9.875,79.0
Centre-Val de Loire,2018/10/29,5.0,4.0,21.0,76.0,10.0,100.0
Centre-Val de Loire,2018/10/30,10.0,7.0,25.0,83.0,9.5,56.0
Centre-Val de Loire,2018/10/31,11.0,8.0,13.0,90.0,10.0,83.0
Corse,2018/10/01,19.0,17.0,30.0,60.0,10.0,8.0
Corse,2018/10/02,17.0,15.0,19.0,71.0,9.875,25.0
Corse,2018/10/03,22.0,20.0,7.0,53.0,10.0,8.0
Corse,2018/10/04,21.0,20.0,7.0,64.0,10.0,12.0
Corse,2018/10/05,21.0,16.0,4.0,86.0,9.625,44.0
Corse,2018/10/06,18.0,17.0,9.0,76.0,9.625,37.0
Corse,2018/10/07,19.0,18.0,9.0,77.0,9.875,31.0
Corse,2018/10/08,21.0,20.0,5.0,75.0,9.375,16.0
Corse,2018/10/09,21.0,20.0,8.0,65.0,10.0,19.0
Corse,2018/10/10,20.0,18.0,15.0,84.0,9.5,52.0
Corse,2018/10/11,20.0,19.0,7.0,78.0,9.25,40.0
Corse,2018/10/12,20.0,19.0,5.0,84.0,9.875,26.0
Corse,2018/10/13,21.0,20.0,7.0,65.0,10.0,8.0
Corse,2018/10/14,21.0,20.0,8.0,60.0,9.875,6.0
Corse,2018/10/15,21.0,19.0,14.0,70.0,9.125,38.0
Corse,2018/10/16,19.0,17.0,5.0,83.0,9.125,56.0
Corse,2018/10/17,19.0,17.0,7.0,85.0,9.5,50.0
Corse,2018/10/18,21.0,19.0,11.0,75.0,9.375,27.0
Corse,2018/10/19,22.0,21.0,6.0,67.0,10.0,7.0
Corse,2018/10/20,21.0,20.0,9.0,72.0,10.0,7.0
Corse,2018/10/21,21.0,19.0,10.0,65.0,10.0,6.0
Corse,2018/10/22,17.0,15.0,17.0,50.0,10.0,7.0
Corse,2018/10/23,20.0,17.0,8.0,52.0,10.0,3.0
Corse,2018/10/24,20.0,19.0,10.0,63.0,10.0,3.0
Corse,2018/10/25,20.0,19.0,15.0,75.0,10.0,7.0
Corse,2018/10/26,19.0,18.0,16.0,78.0,10.0,9.0
Corse,2018/10/27,19.0,18.0,18.0,65.0,10.0,34.0
Corse,2018/10/28,16.0,15.0,26.0,90.0,8.625,61.0
Corse,2018/10/29,19.0,12.0,40.0,85.0,8.625,66.0
Corse,2018/10/30,13.0,11.0,21.0,78.0,9.875,55.0
Corse,2018/10/31,16.0,15.0,21.0,71.0,10.0,26.0
Grand Est,2018/10/01,13.5,10.0,19.0,83.5,9.875,52.0
Grand Est,2018/10/02,10.0,8.0,19.0,78.0,9.5,72.5
Grand Est,2018/10/03,15.5,13.0,10.0,87.0,8.375,75.5
Grand Est,2018/10/04,18.0,12.5,10.5,71.5,9.0,4.5
Grand Est,2018/10/05,21.5,15.0,9.5,60.0,10.0,0.5
Grand Est,2018/10/06,22.5,18.5,16.0,60.0,10.0,14.0
Grand Est,2018/10/07,18.5,16.0,15.0,80.5,9.5,51.0
Grand Est,2018/10/08,19.5,14.0,9.0,71.0,9.5,12.5
Grand Est,2018/10/09,20.5,16.0,8.0,67.0,10.0,9.5
Grand Est,2018/10/10,21.5,16.0,11.0,70.5,9.5,2.0
Grand Est,2018/10/11,21.0,16.5,10.5,72.0,10.0,29.0
Grand Est,2018/10/12,24.0,19.5,15.0,68.0,9.9375,20.5
Grand Est,2018/10/13,24.0,19.5,7.5,61.5,10.0,6.5
Grand Est,2018/10/14,24.0,19.0,11.0,62.5,10.0,12.0
Grand Est,2018/10/15,22.5,18.0,9.5,56.5,10.0,5.0
Grand Est,2018/10/16,21.5,17.5,9.0,57.0,10.0,8.5
Grand Est,2018/10/17,21.0,16.5,8.0,57.0,10.0,10.0
Grand Est,2018/10/18,20.0,16.5,16.0,67.5,10.0,9.5
Grand Est,2018/10/19,17.5,13.5,12.0,78.0,7.5,21.0
Grand Est,2018/10/20,17.0,13.5,11.5,77.5,9.0,19.5
Grand Est,2018/10/21,15.5,10.5,12.0,68.0,10.0,6.5
Grand Est,2018/10/22,15.0,11.0,15.5,59.0,10.0,19.0
Grand Est,2018/10/23,13.5,9.5,19.5,74.0,10.0,25.5
