region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent
Bourgogne-Franche-Comté,2019/07/01,26.0,22.0,12.0,85.0,8.0625,59.5
Bourgogne-Franche-Comté,2019/07/02,25.5,20.0,16.0,79.0,9.5,37.5
Bourgogne-Franche-Comté,2019/07/03,26.0,20.5,18.5,70.0,10.0,29.5
Bourgogne-Franche-Comté,2019/07/04,27.0,21.0,15.5,69.5,10.0,15.5
Bourgogne-Franche-Comté,2019/07/05,28.0,23.0,8.5,66.5,9.0,1.5
Bourgogne-Franche-Comté,2019/07/06,28.5,23.5,13.5,70.5,9.25,45.5
Bourgogne-Franche-Comté,2019/07/07,25.5,20.5,11.5,82.0,8.6875,68.0
Bourgogne-Franche-Comté,2019/07/08,23.0,20.0,14.5,71.5,9.5,50.0
Bourgogne-Franche-Comté,2019/07/09,23.0,17.5,21.5,65.0,10.0,4.5
Bourgogne-Franche-Comté,2019/07/10,23.5,17.5,17.5,58.5,10.0,6.5
Bourgogne-Franche-Comté,2019/07/11,23.5,18.5,8.5,62.5,10.0,37.5
Bourgogne-Franche-Comté,2019/07/12,23.5,19.5,17.0,78.5,9.25,74.5
Bourgogne-Franche-Comté,2019/07/13,23.5,19.0,15.0,70.0,9.0,38.0
Bourgogne-Franche-Comté,2019/07/14,22.5,18.5,18.0,70.0,7.25,46.0
Bourgogne-Franche-Comté,2019/07/15,23.0,16.5,20.0,70.5,8.25,41.0
Bourgogne-Franche-Comté,2019/07/16,25.5,19.0,10.5,67.5,9.0,13.0
Bourgogne-Franche-Comté,2019/07/17,26.0,20.5,9.5,64.5,10.0,19.0
Bourgogne-Franche-Comté,2019/07/18,26.0,21.0,11.5,58.0,10.0,36.5
Bourgogne-Franche-Comté,2019/07/19,25.5,20.5,9.5,73.0,9.5,37.0
Bourgogne-Franche-Comté,2019/07/20,29.5,23.0,21.0,58.0,9.8125,28.0
Bourgogne-Franche-Comté,2019/07/21,27.5,22.0,10.0,79.0,9.6875,46.5
Bourgogne-Franche-Comté,2019/07/22,29.5,24.0,10.0,68.0,10.0,4.0
Bourgogne-Franche-Comté,2019/07/23,32.5,25.0,6.5,66.0,10.0,25.0
Bourgogne-Franche-Comté,2019/07/24,35.5,28.0,8.0,59.0,10.0,5.5
Bourgogne-Franche-Comté,2019/07/25,35.0,27.5,7.5,54.5,10.0,8.0
Bourgogne-Franche-Comté,2019/07/26,32.0,24.5,11.0,71.5,9.1875,35.5
Bourgogne-Franche-Comté,2019/07/27,22.5,20.0,14.0,91.0,7.125,74.5
Bourgogne-Franche-Comté,2019/07/28,19.5,14.5,17.0,92.5,7.6875,76.5
Bourgogne-Franche-Comté,2019/07/29,25.5,19.5,9.0,65.5,9.5,22.5
Bourgogne-Franche-Comté,2019/07/30,24.5,20.5,13.5,67.0,10.0,33.5
Bourgogne-Franche-Comté,2019/07/31,23.5,17.5,11.0,66.5,10.0,29.0
Bretagne,2019/07/01,20.0,17.0,20.0,79.0,9.875,50.0
Bretagne,2019/07/02,23.0,17.0,15.0,73.0,9.0,6.0
Bretagne,2019/07/03,23.0,18.0,22.0,73.0,10.0,4.0
Bretagne,2019/07/04,25.0,18.0,18.0,72.0,10.0,1.0
Bretagne,2019/07/05,28.0,21.0,14.0,71.0,10.0,12.0
Bretagne,2019/07/06,27.0,22.0,16.0,69.0,9.875,29.0
Bretagne,2019/07/07,24.0,20.0,17.0,68.0,9.75,32.0
Bretagne,2019/07/08,25.0,19.0,15.0,73.0,7.875,29.0
Bretagne,2019/07/09,24.0,18.0,20.0,61.0,10.0,7.0
Bretagne,2019/07/10,27.0,20.0,7.0,68.0,10.0,18.0
Bretagne,2019/07/11,26.0,20.0,16.0,72.0,10.0,28.0
Bretagne,2019/07/12,24.0,20.0,20.0,80.0,9.875,58.0
Bretagne,2019/07/13,24.0,19.0,22.0,75.0,8.0,23.0
Bretagne,2019/07/14,24.0,19.0,21.0,69.0,9.0,19.0
Bretagne,2019/07/15,23.0,17.0,17.0,68.0,9.0,2.0
Bretagne,2019/07/16,26.0,20.0,15.0,71.0,10.0,22.0
Bretagne,2019/07/17,26.0,20.0,18.0,60.0,10.0,12.0
Bretagne,2019/07/18,20.0,17.0,20.0,88.0,7.625,71.0
Bretagne,2019/07/19,25.0,17.0,21.0,82.0,9.0,69.0
Bretagne,2019/07/20,25.0,21.0,23.0,83.0,9.875,70.0
Bretagne,2019/07/21,25.0,19.0,12.0,76.0,9.0,42.0
Bretagne,2019/07/22,31.0,22.0,10.0,68.0,10.0,2.0
Bretagne,2019/07/23,37.0,25.0,21.0,60.0,10.0,10.0
Bretagne,2019/07/24,32.0,23.0,9.0,68.0,8.75,22.0
Bretagne,2019/07/25,31.0,27.0,18.0,57.0,10.0,6.0
Bretagne,2019/07/26,23.0,20.0,11.0,87.0,9.125,61.0
Bretagne,2019/07/27,22.0,18.0,24.0,76.0,8.625,58.0
Bretagne,2019/07/28,21.0,17.0,16.0,68.0,9.0,45.0
Bretagne,2019/07/29,23.0,18.0,32.0,69.0,8.875,47.0
Bretagne,2019/07/30,22.0,19.0,33.0,71.0,10.0,73.0
Bretagne,2019/07/31,22.0,17.0,22.0,69.0,8.375,34.0
Centre-Val de Loire,2019/07/01,24.0,19.0,12.0,65.0,10.0,34.0
Centre-Val de Loire,2019/07/02,24.0,18.0,15.0,68.0,10.0,8.0
Centre-Val de Loire,2019/07/03,24.0,18.0,19.0,74.0,9.875,33.0
Centre-Val de Loire,2019/07/04,26.0,18.0,17.0,62.0,10.0,4.0
Centre-Val de Loire,2019/07/05,29.0,22.0,12.0,61.0,10.0,2.0
Centre-Val de Loire,2019/07/06,30.0,24.0,11.0,59.0,10.0,51.0
Centre-Val de Loire,2019/07/07,27.0,21.0,13.0,55.0,9.625,42.0
Centre-Val de Loire,2019/07/08,24.0,19.0,18.0,63.0,10.0,24.0
Centre-Val de Loire,2019/07/09,23.0,17.0,22.0,55.0,10.0,6.0
Centre-Val de Loire,2019/07/10,26.0,20.0,9.0,55.0,10.0,10.0
Centre-Val de Loire,2019/07/11,26.0,23.0,12.0,55.0,10.0,38.0
Centre-Val de Loire,2019/07/12,25.0,20.0,16.0,66.0,10.0,59.0
Centre-Val de Loire,2019/07/13,26.0,20.0,11.0,63.0,10.0,17.0
Centre-Val de Loire,2019/07/14,24.0,18.0,22.0,68.0,10.0,26.0
Centre-Val de Loire,2019/07/15,25.0,17.0,16.0,65.0,10.0,9.0
Centre-Val de Loire,2019/07/16,26.0,19.0,8.0,66.0,10.0,18.0
Centre-Val de Loire,2019/07/17,28.0,22.0,9.0,53.0,10.0,22.0
Centre-Val de Loire,2019/07/18,25.0,20.0,16.0,59.0,10.0,31.0
Centre-Val de Loire,2019/07/19,27.0,19.0,13.0,77.0,9.0,49.0
Centre-Val de Loire,2019/07/20,26.0,22.0,22.0,61.0,9.875,42.0
Centre-Val de Loire,2019/07/21,28.0,21.0,7.0,62.0,10.0,30.0
Centre-Val de Loire,2019/07/22,33.0,25.0,7.0,54.0,10.0,2.0
Centre-Val de Loire,2019/07/23,38.0,28.0,13.0,49.0,10.0,2.0
Centre-Val de Loire,2019/07/24,37.0,27.0,10.0,54.0,10.0,26.0
Centre-Val de Loire,2019/07/25,41.0,31.0,15.0,42.0,10.0,23.0
Centre-Val de Loire,2019/07/26,28.0,22.0,17.0,77.0,8.625,63.0
Centre-Val de Loire,2019/07/27,24.0,20.0,13.0,74.0,9.125,89.0
Centre-Val de Loire,2019/07/28,24.0,18.0,18.0,69.0,10.0,42.0
Centre-Val de Loire,2019/07/29,27.0,20.0,12.0,53.0,10.0,8.0
Centre-Val de Loire,2019/07/30,23.0,20.0,27.0,64.0,9.125,48.0
Centre-Val de Loire,2019/07/31,24.0,17.0,16.0,64.0,10.0,21.0
Corse,2019/07/01,29.0,28.0,10.0,58.0,10.0,25.0
Corse,2019/07/02,29.0,28.0,10.0,57.0,9.875,27.0
Corse,2019/07/03,29.0,28.0,11.0,61.0,10.0,51.0
Corse,2019/07/04,30.0,28.0,11.0,50.0,10.0,4.0
Corse,2019/07/05,30.0,29.0,12.0,51.0,10.0,1.0
Corse,2019/07/06,30.0,28.0,12.0,54.0,10.0,4.0
Corse,2019/07/07,30.0,29.0,13.0,69.0,10.0,16.0
Corse,2019/07/08,31.0,29.0,12.0,61.0,10.0,46.0
Corse,2019/07/09,32.0,25.0,22.0,65.0,9.25,51.0
Corse,2019/07/10,28.0,26.0,16.0,65.0,8.875,75.0
Corse,2019/07/11,28.0,25.0,11.0,69.0,10.0,13.0
Corse,2019/07/12,28.0,26.0,16.0,65.0,10.0,9.0
Corse,2019/07/13,28.0,27.0,16.0,63.0,10.0,4.0
Corse,2019/07/14,28.0,27.0,15.0,58.0,9.875,36.0
Corse,2019/07/15,26.0,24.0,15.0,68.0,9.5,66.0
Corse,2019/07/16,27.0,24.0,12.0,55.0,9.5,17.0
Corse,2019/07/17,26.0,24.0,12.0,54.0,10.0,5.0
Corse,2019/07/18,27.0,25.0,11.0,55.0,10.0,4.0
Corse,2019/07/19,27.0,26.0,11.0,53.0,10.0,6.0
Corse,2019/07/20,28.0,26.0,12.0,56.0,10.0,4.0
Corse,2019/07/21,29.0,27.0,10.0,51.0,10.0,4.0
Corse,2019/07/22,29.0,27.0,11.0,50.0,10.0,4.0
Corse,2019/07/23,30.0,28.0,9.0,56.0,10.0,8.0
