region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent
Bourgogne-Franche-Comté,2019/09/01,22.5,19.0,11.0,79.5,9.1875,69.0
Bourgogne-Franche-Comté,2019/09/02,22.0,17.0,16.5,58.0,10.0,17.0
Bourgogne-Franche-Comté,2019/09/03,23.5,16.5,13.0,60.0,9.5,6.5
Bourgogne-Franche-Comté,2019/09/04,25.5,18.0,11.0,60.0,10.0,6.5
Bourgogne-Franche-Comté,2019/09/05,19.0,13.5,13.5,78.0,9.5625,69.5
Bourgogne-Franche-Comté,2019/09/06,19.5,13.5,15.5,71.0,8.375,38.5
Bourgogne-Franche-Comté,2019/09/07,20.0,15.0,9.0,59.5,9.625,60.0
Bourgogne-Franche-Comté,2019/09/08,14.5,10.0,13.5,90.0,8.3125,69.5
Bourgogne-Franche-Comté,2019/09/09,18.0,11.5,7.0,74.5,8.3125,44.5
Bourgogne-Franche-Comté,2019/09/10,21.0,14.0,13.5,61.0,10.0,32.0
Bourgogne-Franche-Comté,2019/09/11,20.0,15.5,9.0,62.5,10.0,30.5
Bourgogne-Franche-Comté,2019/09/12,24.5,17.5,8.5,54.5,10.0,8.0
Bourgogne-Franche-Comté,2019/09/13,25.5,19.0,14.5,76.0,9.1875,5.0
Bourgogne-Franche-Comté,2019/09/14,26.0,19.0,12.0,80.5,7.875,43.5
Bourgogne-Franche-Comté,2019/09/15,28.5,21.0,5.5,77.5,8.3125,16.5
Bourgogne-Franche-Comté,2019/09/16,19.5,0.0,8.5,67.0,10.0,9.5
Bourgogne-Franche-Comté,2019/09/17,24.0,18.5,15.0,67.5,10.0,24.5
Bourgogne-Franche-Comté,2019/09/18,20.5,14.5,23.5,67.0,10.0,5.5
Bourgogne-Franche-Comté,2019/09/19,19.5,13.0,25.5,55.5,10.0,1.0
Bourgogne-Franche-Comté,2019/09/20,21.5,12.5,13.0,56.5,10.0,0.0
Bourgogne-Franche-Comté,2019/09/21,25.0,17.0,15.5,66.0,10.0,12.5
Bourgogne-Franche-Comté,2019/09/22,22.0,19.0,16.0,85.0,8.4375,69.5
Bourgogne-Franche-Comté,2019/09/23,18.0,13.5,11.0,87.5,8.0,60.0
Bourgogne-Franche-Comté,2019/09/24,15.0,13.5,22.5,88.0,8.4375,50.5
Bourgogne-Franche-Comté,2019/09/25,17.5,14.5,23.5,84.5,9.8125,73.5
Bourgogne-Franche-Comté,2019/09/26,18.5,15.5,20.5,95.5,8.3125,82.5
Bourgogne-Franche-Comté,2019/09/27,19.0,16.5,22.0,78.0,8.0,64.5
Bourgogne-Franche-Comté,2019/09/28,18.5,14.0,18.5,80.5,9.9375,39.0
Bourgogne-Franche-Comté,2019/09/29,23.0,15.0,25.5,67.0,9.9375,19.5
Bourgogne-Franche-Comté,2019/09/30,20.0,14.0,12.0,84.5,9.5,35.5
Bretagne,2019/09/01,20.0,16.0,20.0,71.0,9.0,32.0
Bretagne,2019/09/02,21.0,14.0,17.0,66.0,10.0,13.0
Bretagne,2019/09/03,23.0,16.0,14.0,69.0,9.0,6.0
Bretagne,2019/09/04,19.0,14.0,23.0,83.0,8.0,29.0
Bretagne,2019/09/05,17.0,14.0,23.0,76.0,10.0,49.0
Bretagne,2019/09/06,22.0,13.0,18.0,70.0,10.0,21.0
Bretagne,2019/09/07,19.0,15.0,19.0,74.0,9.0,49.0
Bretagne,2019/09/08,19.0,13.0,14.0,73.0,9.0,19.0
Bretagne,2019/09/09,14.0,11.0,16.0,92.0,9.5,77.0
Bretagne,2019/09/10,20.0,13.0,17.0,79.0,8.25,43.0
Bretagne,2019/09/11,20.0,13.0,14.0,77.0,7.0,43.0
Bretagne,2019/09/12,21.0,17.0,8.0,86.0,6.625,67.0
Bretagne,2019/09/13,24.0,18.0,18.0,83.0,8.0,24.0
Bretagne,2019/09/14,26.0,18.0,14.0,84.0,9.0,18.0
Bretagne,2019/09/15,26.0,19.0,18.0,72.0,10.0,1.0
Bretagne,2019/09/16,15.0,0.0,20.0,71.0,10.0,21.0
Bretagne,2019/09/17,23.0,17.0,20.0,84.0,6.5,72.0
Bretagne,2019/09/18,21.0,13.0,26.0,66.0,10.0,3.0
Bretagne,2019/09/19,21.0,14.0,27.0,60.0,10.0,1.0
Bretagne,2019/09/20,24.0,14.0,27.0,47.0,10.0,2.0
Bretagne,2019/09/21,27.0,19.0,24.0,73.0,10.0,26.0
Bretagne,2019/09/22,21.0,17.0,34.0,82.0,9.0,62.0
Bretagne,2019/09/23,19.0,16.0,25.0,88.0,8.875,72.0
Bretagne,2019/09/24,21.0,17.0,32.0,83.0,9.25,76.0
Bretagne,2019/09/25,18.0,16.0,26.0,88.0,9.375,88.0
Bretagne,2019/09/26,17.0,16.0,30.0,91.0,9.75,86.0
Bretagne,2019/09/27,18.0,15.0,30.0,79.0,10.0,48.0
Bretagne,2019/09/28,18.0,15.0,25.0,78.0,10.0,54.0
Bretagne,2019/09/29,19.0,17.0,37.0,85.0,9.875,83.0
Bretagne,2019/09/30,20.0,14.0,23.0,85.0,7.875,73.0
Centre-Val de Loire,2019/09/01,23.0,16.0,11.0,76.0,9.375,43.0
Centre-Val de Loire,2019/09/02,22.0,16.0,11.0,58.0,10.0,15.0
Centre-Val de Loire,2019/09/03,25.0,18.0,7.0,55.0,10.0,5.0
Centre-Val de Loire,2019/09/04,24.0,19.0,23.0,57.0,10.0,10.0
Centre-Val de Loire,2019/09/05,19.0,15.0,13.0,69.0,10.0,55.0
Centre-Val de Loire,2019/09/06,21.0,14.0,11.0,49.0,10.0,20.0
Centre-Val de Loire,2019/09/07,20.0,15.0,14.0,79.0,9.875,70.0
Centre-Val de Loire,2019/09/08,18.0,13.0,14.0,66.0,10.0,40.0
Centre-Val de Loire,2019/09/09,19.0,13.0,11.0,63.0,9.625,47.0
Centre-Val de Loire,2019/09/10,22.0,16.0,13.0,54.0,9.125,34.0
Centre-Val de Loire,2019/09/11,23.0,16.0,12.0,57.0,10.0,34.0
Centre-Val de Loire,2019/09/12,26.0,19.0,5.0,73.0,10.0,36.0
Centre-Val de Loire,2019/09/13,27.0,19.0,12.0,75.0,10.0,21.0
Centre-Val de Loire,2019/09/14,27.0,18.0,14.0,76.0,9.0,17.0
Centre-Val de Loire,2019/09/15,30.0,21.0,9.0,66.0,10.0,3.0
Centre-Val de Loire,2019/09/16,20.0,0.0,9.0,47.0,10.0,20.0
Centre-Val de Loire,2019/09/17,24.0,19.0,16.0,75.0,9.0,26.0
Centre-Val de Loire,2019/09/18,20.0,14.0,25.0,62.0,10.0,6.0
Centre-Val de Loire,2019/09/19,20.0,14.0,26.0,55.0,10.0,1.0
Centre-Val de Loire,2019/09/20,24.0,13.0,20.0,47.0,10.0,0.0
Centre-Val de Loire,2019/09/21,27.0,19.0,14.0,65.0,9.875,17.0
Centre-Val de Loire,2019/09/22,19.0,17.0,17.0,81.0,9.75,75.0
Centre-Val de Loire,2019/09/23,22.0,15.0,16.0,80.0,9.0,63.0
Centre-Val de Loire,2019/09/24,20.0,15.0,26.0,88.0,9.25,81.0
Centre-Val de Loire,2019/09/25,19.0,14.0,27.0,84.0,7.75,85.0
Centre-Val de Loire,2019/09/26,20.0,17.0,24.0,88.0,8.875,98.0
Centre-Val de Loire,2019/09/27,19.0,17.0,24.0,77.0,8.125,82.0
Centre-Val de Loire,2019/09/28,18.0,15.0,20.0,73.0,10.0,46.0
Centre-Val de Loire,2019/09/29,19.0,16.0,31.0,76.0,9.625,59.0
Centre-Val de Loire,2019/09/30,20.0,13.0,13.0,79.0,10.0,39.0
Corse,2019/09/01,28.0,26.0,9.0,61.0,9.5,56.0
Corse,2019/09/02,28.0,25.0,13.0,69.0,9.875,26.0
Corse,2019/09/03,27.0,24.0,9.0,72.0,9.25,26.0
Corse,2019/09/04,27.0,24.0,12.0,67.0,10.0,9.0
Corse,2019/09/05,26.0,24.0,11.0,68.0,10.0,6.0
Corse,2019/09/06,24.0,20.0,18.0,64.0,10.0,15.0
Corse,2019/09/07,24.0,20.0,13.0,63.0,10.0,9.0
Corse,2019/09/08,23.0,21.0,28.0,55.0,10.0,4.0
Corse,2019/09/09,22.0,19.0,17.0,52.0,10.0,4.0
Corse,2019/09/10,25.0,22.0,9.0,53.0,9.875,63.0
Corse,2019/09/11,26.0,24.0,10.0,54.0,10.0,7.0
Corse,2019/09/12,26.0,24.0,9.0,52.0,10.0,3.0
Corse,2019/09/13,28.0,26.0,8.0,49.0,10.0,1.0
Corse,2019/09/14,28.0,25.0,8.0,46.0,10.0,29.0
Corse,2019/09/15,27.0,25.0,8.0,54.0,10.0,10.0
Corse,2019/09/16,18.0,0.0,9.0,53.0,10.0,16.0
Corse,2019/09/17,26.0,24.0,9.0,52.0,10.0,3.0
Corse,2019/09/18,25.0,23.0,10.0,63.0,10.0,10.0
Corse,2019/09/19,25.0,22.0,12.0,70.0,9.875,53.0
Corse,2019/09/20,26.0,22.0,8.0,64.0,9.75,53.0
Corse,2019/09/21,27.0,23.0,5.0,58.0,9.75,30.0
Corse,2019/09/22,25.0,23.0,11.0,79.0,6.75,81.0
Corse,2019/09/23,22.0,17.0,17.0,79.0,8.875,59.0
Corse,2019/09/24,23.0,21.0,12.0,60.0,10.0,14.0
Corse,2019/09/25,24.0,22.0,14.0,71.0,10.0,51.0
Corse,2019/09/26,23.0,21.0,14.0,69.0,10.0,37.0
Corse,2019/09/27,24.0,21.0,10.0,70.0,10.0,12.0
Corse,2019/09/28,24.0,22.0,10.0,74.0,9.875,25.0
Corse,2019/09/29,23.0,21.0,10.0,60.0,10.0,5.0
Corse,2019/09/30,24.0,21.0,10.0,78.0,10.0,40.0
Grand Est,2019/09/01,22.0,19.0,15.5,72.5,9.875,56.5
Grand Est,2019/09/02,21.5,17.0,11.0,57.0,10.0,21.0
Grand Est,2019/09/03,23.5,17.5,7.0,52.5,10.0,7.0
Grand Est,2019/09/04,25.0,18.5,14.0,64.5,10.0,9.5
Grand Est,2019/09/05,19.0,14.5,15.5,74.0,9.5625,57.5
Grand Est,2019/09/06,20.0,14.0,10.0,67.0,10.0,31.5
Grand Est,2019/09/07,18.0,13.0,8.0,66.5,9.5,72.5
Grand Est,2019/09/08,16.5,13.0,12.0,79.0,8.9375,75.5
Grand Est,2019/09/09,17.0,12.0,8.0,76.5,10.0,50.5
Grand Est,2019/09/10,20.5,14.0,10.0,64.0,10.0,20.0
Grand Est,2019/09/11,20.5,16.0,10.5,59.0,10.0,36.0
Grand Est,2019/09/12,23.5,17.0,8.5,60.5,10.0,43.5
Grand Est,2019/09/13,23.0,18.5,8.5,81.5,8.8125,48.0
Grand Est,2019/09/14,24.5,18.5,13.5,74.5,10.0,19.0
