region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent
Bourgogne-Franche-Comté,2020/12/01,5.0,2.0,16.5,95.5,8.0625,94.5
Bourgogne-Franche-Comté,2020/12/02,3.0,-0.5,11.0,96.5,6.25,73.5
Bourgogne-Franche-Comté,2020/12/03,3.5,1.5,16.5,96.5,7.125,98.5
Bourgogne-Franche-Comté,2020/12/04,5.5,3.5,21.0,91.0,7.8125,98.5
Bourgogne-Franche-Comté,2020/12/05,5.0,1.5,7.0,96.0,8.1875,60.5
Bourgogne-Franche-Comté,2020/12/06,4.5,0.0,6.0,93.5,8.1875,46.0
Bourgogne-Franche-Comté,2020/12/07,3.0,2.0,14.0,96.0,5.1875,88.0
Bourgogne-Franche-Comté,2020/12/08,4.5,1.0,7.0,90.0,7.9375,79.0
Bourgogne-Franche-Comté,2020/12/09,3.0,0.0,7.5,95.0,7.3125,78.5
Bourgogne-Franche-Comté,2020/12/10,3.0,-1.5,6.5,90.0,9.5,46.0
Bourgogne-Franche-Comté,2020/12/11,5.0,3.5,24.5,94.0,7.6875,99.0
Bourgogne-Franche-Comté,2020/12/12,6.5,1.5,18.0,96.0,6.9375,99.5
Bourgogne-Franche-Comté,2020/12/13,6.0,3.0,9.5,94.5,7.5,56.0
Bourgogne-Franche-Comté,2020/12/14,6.5,2.0,10.0,85.5,9.3125,64.0
Bourgogne-Franche-Comté,2020/12/15,9.5,8.5,17.0,95.5,8.3125,94.5
Bourgogne-Franche-Comté,2020/12/16,10.5,7.5,10.0,96.0,6.375,57.5
Bourgogne-Franche-Comté,2020/12/17,9.5,6.5,8.0,93.0,8.875,63.5
Bourgogne-Franche-Comté,2020/12/18,9.5,5.0,7.0,93.5,8.6875,52.5
Bourgogne-Franche-Comté,2020/12/19,10.5,6.5,14.0,89.0,9.0,40.5
Bourgogne-Franche-Comté,2020/12/20,9.5,8.0,8.5,97.0,8.0,85.5
Bourgogne-Franche-Comté,2020/12/21,8.5,4.0,13.0,94.0,8.1875,68.0
Bourgogne-Franche-Comté,2020/12/22,11.5,8.5,22.5,92.0,9.375,83.0
Bourgogne-Franche-Comté,2020/12/23,12.5,8.5,19.5,91.5,9.375,75.5
Bourgogne-Franche-Comté,2020/12/24,9.5,6.5,32.0,91.5,8.1875,89.0
Bourgogne-Franche-Comté,2020/12/25,3.5,0.5,18.0,94.0,8.4375,62.0
Bourgogne-Franche-Comté,2020/12/26,2.5,-1.5,7.0,93.0,8.5,37.5
Bourgogne-Franche-Comté,2020/12/27,4.5,-0.5,35.5,82.0,9.5625,80.0
Bourgogne-Franche-Comté,2020/12/28,3.5,3.0,29.5,95.0,7.5,82.5
Bourgogne-Franche-Comté,2020/12/29,3.5,2.0,24.5,89.5,8.4375,89.5
Bourgogne-Franche-Comté,2020/12/30,3.0,1.5,9.5,95.5,5.9375,89.0
Bourgogne-Franche-Comté,2020/12/31,3.5,0.5,24.5,95.0,8.1875,91.5
Bretagne,2020/12/01,10.0,8.0,16.0,92.0,9.0,57.0
Bretagne,2020/12/02,8.0,3.0,11.0,89.0,10.0,67.0
Bretagne,2020/12/03,7.0,5.0,20.0,93.0,8.125,91.0
Bretagne,2020/12/04,6.0,3.0,20.0,84.0,9.125,58.0
Bretagne,2020/12/05,6.0,2.0,24.0,93.0,9.5,65.0
Bretagne,2020/12/06,6.0,5.0,25.0,92.0,7.0,84.0
Bretagne,2020/12/07,6.0,3.0,9.0,89.0,9.25,84.0
Bretagne,2020/12/08,7.0,1.0,12.0,92.0,10.0,72.0
Bretagne,2020/12/09,7.0,3.0,12.0,91.0,9.875,74.0
Bretagne,2020/12/10,11.0,7.0,16.0,94.0,8.875,82.0
Bretagne,2020/12/11,11.0,10.0,22.0,94.0,8.875,69.0
Bretagne,2020/12/12,9.0,7.0,28.0,78.0,8.875,63.0
Bretagne,2020/12/13,12.0,6.0,28.0,94.0,9.875,87.0
Bretagne,2020/12/14,12.0,10.0,23.0,92.0,7.875,72.0
Bretagne,2020/12/15,11.0,8.0,22.0,91.0,9.125,71.0
Bretagne,2020/12/16,11.0,8.0,28.0,88.0,10.0,78.0
Bretagne,2020/12/17,11.0,7.0,15.0,93.0,10.0,40.0
Bretagne,2020/12/18,12.0,10.0,30.0,92.0,10.0,72.0
Bretagne,2020/12/19,12.0,9.0,22.0,92.0,9.25,73.0
Bretagne,2020/12/20,11.0,6.0,15.0,90.0,10.0,80.0
Bretagne,2020/12/21,15.0,11.0,37.0,94.0,9.375,99.0
Bretagne,2020/12/22,15.0,13.0,32.0,94.0,9.0,99.0
Bretagne,2020/12/23,14.0,12.0,43.0,94.0,7.25,90.0
Bretagne,2020/12/24,10.0,7.0,30.0,83.0,9.625,91.0
Bretagne,2020/12/25,5.0,3.0,22.0,79.0,10.0,47.0
Bretagne,2020/12/26,7.0,3.0,19.0,83.0,9.375,88.0
Bretagne,2020/12/27,9.0,8.0,48.0,88.0,9.5,85.0
Bretagne,2020/12/28,7.0,3.0,40.0,83.0,8.5,76.0
Bretagne,2020/12/29,7.0,3.0,18.0,95.0,10.0,64.0
Bretagne,2020/12/30,6.0,3.0,18.0,92.0,9.5,69.0
Bretagne,2020/12/31,6.0,4.0,25.0,92.0,9.125,65.0
Centre-Val de Loire,2020/12/01,9.0,8.0,17.0,92.0,8.0,72.0
Centre-Val de Loire,2020/12/02,8.0,6.0,16.0,88.0,8.0,90.0
Centre-Val de Loire,2020/12/03,6.0,5.0,18.0,93.0,6.375,97.0
Centre-Val de Loire,2020/12/04,7.0,5.0,29.0,80.0,8.875,56.0
Centre-Val de Loire,2020/12/05,6.0,1.0,16.0,91.0,9.0,63.0
Centre-Val de Loire,2020/12/06,6.0,5.0,16.0,89.0,9.0,96.0
Centre-Val de Loire,2020/12/07,6.0,4.0,7.0,92.0,10.0,86.0
Centre-Val de Loire,2020/12/08,4.0,2.0,14.0,89.0,10.0,65.0
Centre-Val de Loire,2020/12/09,5.0,2.0,11.0,90.0,10.0,69.0
Centre-Val de Loire,2020/12/10,5.0,3.0,18.0,91.0,7.625,95.0
Centre-Val de Loire,2020/12/11,11.0,7.0,18.0,95.0,8.125,93.0
Centre-Val de Loire,2020/12/12,8.0,5.0,26.0,90.0,9.25,79.0
Centre-Val de Loire,2020/12/13,6.0,4.0,15.0,92.0,9.0,64.0
Centre-Val de Loire,2020/12/14,9.0,5.0,15.0,95.0,6.625,80.0
Centre-Val de Loire,2020/12/15,11.0,10.0,21.0,90.0,6.875,83.0
Centre-Val de Loire,2020/12/16,10.0,6.0,15.0,94.0,8.0,47.0
Centre-Val de Loire,2020/12/17,11.0,8.0,14.0,93.0,9.125,62.0
Centre-Val de Loire,2020/12/18,10.0,6.0,13.0,95.0,6.625,27.0
