region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent
Bourgogne-Franche-Comté,2018/03/01,3.0,0.5,14.0,94.5,6.0625,85.0
Bourgogne-Franche-Comté,2018/03/02,5.0,1.0,17.0,97.5,8.1875,63.0
Bourgogne-Franche-Comté,2018/03/03,5.5,3.0,15.0,94.5,8.3125,61.0
Bourgogne-Franche-Comté,2018/03/04,11.0,5.5,14.0,81.0,6.6875,49.5
Bourgogne-Franche-Comté,2018/03/05,11.5,6.5,8.5,82.0,8.5,29.0
Bourgogne-Franche-Comté,2018/03/06,9.0,6.5,11.0,91.5,8.0,66.0
Bourgogne-Franche-Comté,2018/03/07,8.5,5.5,24.5,77.0,8.9375,47.0
Bourgogne-Franche-Comté,2018/03/08,11.5,6.0,22.0,75.0,9.0,28.0
Bourgogne-Franche-Comté,2018/03/09,14.0,9.5,21.0,74.0,10.0,52.5
Bourgogne-Franche-Comté,2018/03/10,15.5,8.5,22.5,92.5,9.25,58.0
Bourgogne-Franche-Comté,2018/03/11,13.0,10.0,14.0,89.5,8.5625,76.0
Bourgogne-Franche-Comté,2018/03/12,11.5,9.5,25.5,80.5,8.3125,77.0
Bourgogne-Franche-Comté,2018/03/13,8.0,6.0,23.0,91.0,8.0,96.5
Bourgogne-Franche-Comté,2018/03/14,13.0,7.5,11.5,80.0,8.9375,22.5
Bourgogne-Franche-Comté,2018/03/15,6.5,4.5,17.0,93.5,8.25,73.0
Bourgogne-Franche-Comté,2018/03/16,11.5,8.5,10.0,83.0,6.9375,68.0
Bourgogne-Franche-Comté,2018/03/17,6.0,5.0,11.0,95.0,5.875,93.5
Bourgogne-Franche-Comté,2018/03/18,2.5,1.0,8.5,90.0,5.375,96.5
Bourgogne-Franche-Comté,2018/03/19,4.0,1.0,11.5,74.5,8.0,52.0
Bourgogne-Franche-Comté,2018/03/20,4.0,0.5,25.5,67.5,9.0,26.0
Bourgogne-Franche-Comté,2018/03/21,5.0,2.5,24.5,49.0,10.0,8.5
Bourgogne-Franche-Comté,2018/03/22,5.5,3.5,10.5,74.0,9.875,55.5
Bourgogne-Franche-Comté,2018/03/23,6.5,4.0,6.5,89.5,5.25,71.5
Bourgogne-Franche-Comté,2018/03/24,12.0,7.0,5.0,70.5,8.5,19.5
Bourgogne-Franche-Comté,2018/03/25,12.0,9.0,10.0,77.5,9.8125,45.5
Bourgogne-Franche-Comté,2018/03/26,11.0,8.5,12.0,80.0,8.9375,49.5
Bourgogne-Franche-Comté,2018/03/27,8.0,6.0,16.5,89.0,6.8125,70.0
Bourgogne-Franche-Comté,2018/03/28,10.0,8.0,26.5,94.5,8.875,98.0
Bourgogne-Franche-Comté,2018/03/29,10.0,7.5,14.0,81.0,7.875,45.0
Bourgogne-Franche-Comté,2018/03/30,8.5,5.5,14.0,94.5,8.4375,52.0
Bourgogne-Franche-Comté,2018/03/31,11.5,8.5,7.5,78.0,8.625,33.5
Bretagne,2018/03/01,5.0,-1.0,35.0,96.0,8.25,100.0
Bretagne,2018/03/02,7.0,4.0,33.0,87.0,10.0,71.0
Bretagne,2018/03/03,12.0,7.0,33.0,90.0,9.0,60.0
Bretagne,2018/03/04,11.0,7.0,26.0,91.0,9.875,34.0
Bretagne,2018/03/05,12.0,7.0,30.0,92.0,9.0,66.0
Bretagne,2018/03/06,10.0,6.0,19.0,95.0,5.875,62.0
Bretagne,2018/03/07,10.0,6.0,24.0,86.0,8.875,34.0
Bretagne,2018/03/08,8.0,7.0,26.0,93.0,9.875,77.0
Bretagne,2018/03/09,14.0,10.0,25.0,92.0,9.0,81.0
Bretagne,2018/03/10,15.0,11.0,24.0,92.0,10.0,64.0
Bretagne,2018/03/11,12.0,10.0,32.0,88.0,10.0,78.0
Bretagne,2018/03/12,11.0,8.0,36.0,88.0,9.75,97.0
Bretagne,2018/03/13,11.0,8.0,15.0,83.0,9.0,39.0
Bretagne,2018/03/14,14.0,8.0,34.0,83.0,9.625,70.0
Bretagne,2018/03/15,12.0,9.0,30.0,92.0,8.25,61.0
Bretagne,2018/03/16,11.0,7.0,22.0,86.0,10.0,67.0
Bretagne,2018/03/17,10.0,6.0,17.0,91.0,6.875,58.0
Bretagne,2018/03/18,8.0,3.0,13.0,88.0,8.0,55.0
Bretagne,2018/03/19,4.0,2.0,24.0,74.0,10.0,44.0
Bretagne,2018/03/20,7.0,4.0,27.0,77.0,10.0,34.0
Bretagne,2018/03/21,7.0,5.0,14.0,77.0,10.0,51.0
Bretagne,2018/03/22,9.0,5.0,15.0,78.0,10.0,46.0
Bretagne,2018/03/23,12.0,8.0,19.0,94.0,9.0,90.0
Bretagne,2018/03/24,11.0,8.0,17.0,92.0,9.875,78.0
Bretagne,2018/03/25,12.0,9.0,20.0,92.0,6.5,87.0
Bretagne,2018/03/26,12.0,9.0,16.0,81.0,7.0,58.0
Bretagne,2018/03/27,13.0,11.0,25.0,93.0,7.875,92.0
Bretagne,2018/03/28,11.0,8.0,29.0,92.0,9.875,68.0
Bretagne,2018/03/29,10.0,6.0,30.0,93.0,9.5,78.0
Bretagne,2018/03/30,10.0,6.0,24.0,93.0,7.875,84.0
Bretagne,2018/03/31,9.0,7.0,29.0,83.0,8.0,62.0
Centre-Val de Loire,2018/03/01,6.0,1.0,23.0,93.0,10.0,100.0
Centre-Val de Loire,2018/03/02,8.0,5.0,24.0,84.0,10.0,63.0
Centre-Val de Loire,2018/03/03,12.0,5.0,25.0,92.0,10.0,61.0
Centre-Val de Loire,2018/03/04,10.0,6.0,19.0,97.0,8.625,51.0
Centre-Val de Loire,2018/03/05,11.0,7.0,14.0,79.0,8.0,67.0
Centre-Val de Loire,2018/03/06,11.0,7.0,19.0,84.0,6.75,65.0
Centre-Val de Loire,2018/03/07,10.0,6.0,23.0,85.0,9.75,62.0
Centre-Val de Loire,2018/03/08,13.0,7.0,26.0,77.0,10.0,40.0
Centre-Val de Loire,2018/03/09,15.0,8.0,18.0,87.0,8.0,94.0
Centre-Val de Loire,2018/03/10,17.0,12.0,19.0,90.0,9.25,92.0
Centre-Val de Loire,2018/03/11,16.0,13.0,24.0,76.0,6.75,58.0
Centre-Val de Loire,2018/03/12,12.0,10.0,32.0,78.0,9.0,88.0
Centre-Val de Loire,2018/03/13,11.0,8.0,19.0,86.0,9.75,67.0
Centre-Val de Loire,2018/03/14,14.0,8.0,23.0,72.0,10.0,31.0
Centre-Val de Loire,2018/03/15,12.0,9.0,16.0,92.0,8.625,91.0
Centre-Val de Loire,2018/03/16,12.0,9.0,13.0,83.0,8.75,76.0
Centre-Val de Loire,2018/03/17,10.0,7.0,13.0,79.0,8.0,62.0
Centre-Val de Loire,2018/03/18,4.0,1.0,15.0,77.0,10.0,97.0
Centre-Val de Loire,2018/03/19,4.0,1.0,19.0,69.0,10.0,74.0
Centre-Val de Loire,2018/03/20,6.0,2.0,26.0,62.0,10.0,41.0
Centre-Val de Loire,2018/03/21,8.0,4.0,17.0,61.0,10.0,17.0
Centre-Val de Loire,2018/03/22,7.0,5.0,15.0,71.0,10.0,61.0
Centre-Val de Loire,2018/03/23,6.0,5.0,18.0,83.0,8.0,76.0
Centre-Val de Loire,2018/03/24,12.0,5.0,11.0,78.0,10.0,80.0
Centre-Val de Loire,2018/03/25,16.0,11.0,5.0,70.0,10.0,45.0
Centre-Val de Loire,2018/03/26,13.0,9.0,12.0,77.0,9.875,60.0
Centre-Val de Loire,2018/03/27,13.0,7.0,24.0,94.0,9.75,80.0
Centre-Val de Loire,2018/03/28,12.0,11.0,30.0,93.0,8.0,82.0
Centre-Val de Loire,2018/03/29,12.0,8.0,25.0,77.0,8.875,43.0
Centre-Val de Loire,2018/03/30,10.0,8.0,30.0,87.0,8.375,74.0
