region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent
Bourgogne-Franche-Comté,2020/06/01,22.5,11.0,11.0,82.5,10.0,4.5
Bourgogne-Franche-Comté,2020/06/02,24.5,14.0,12.0,88.5,10.0,14.0
Bourgogne-Franche-Comté,2020/06/03,22.0,15.0,12.5,92.5,8.5,70.0
Bourgogne-Franche-Comté,2020/06/04,17.0,11.5,17.0,96.0,8.4375,80.5
Bourgogne-Franche-Comté,2020/06/05,12.0,9.0,26.5,96.5,8.0625,91.5
Bourgogne-Franche-Comté,2020/06/06,14.5,12.5,20.5,96.5,8.0,94.5
Bourgogne-Franche-Comté,2020/06/07,16.5,11.0,11.0,95.0,8.875,64.0
Bourgogne-Franche-Comté,2020/06/08,17.5,9.5,18.0,92.5,9.0625,57.0
Bourgogne-Franche-Comté,2020/06/09,14.0,9.0,10.5,97.0,8.375,81.0
Bourgogne-Franche-Comté,2020/06/10,15.0,10.5,14.0,97.0,5.625,81.0
Bourgogne-Franche-Comté,2020/06/11,19.5,11.0,8.5,94.5,7.625,76.0
Bourgogne-Franche-Comté,2020/06/12,19.5,13.0,17.0,95.0,8.75,69.0
Bourgogne-Franche-Comté,2020/06/13,19.0,13.5,10.0,95.5,7.375,60.5
Bourgogne-Franche-Comté,2020/06/14,20.0,12.0,9.0,94.5,8.25,71.5
Bourgogne-Franche-Comté,2020/06/15,20.5,12.0,8.5,93.0,8.3125,59.0
Bourgogne-Franche-Comté,2020/06/16,20.5,12.0,8.0,92.5,8.6875,61.0
Bourgogne-Franche-Comté,2020/06/17,18.5,12.5,8.5,96.5,8.5,84.0
Bourgogne-Franche-Comté,2020/06/18,19.0,11.0,11.0,95.0,7.6875,64.5
Bourgogne-Franche-Comté,2020/06/19,19.0,11.5,9.0,95.0,7.875,72.5
Bourgogne-Franche-Comté,2020/06/20,21.0,12.5,9.5,92.5,8.75,51.0
Bourgogne-Franche-Comté,2020/06/21,22.0,13.5,11.0,91.5,8.8125,43.5
Bourgogne-Franche-Comté,2020/06/22,21.0,15.0,14.5,91.0,8.0,41.5
Bourgogne-Franche-Comté,2020/06/23,25.5,14.0,19.5,84.0,10.0,1.5
Bourgogne-Franche-Comté,2020/06/24,27.0,16.0,12.5,89.5,9.5,5.5
Bourgogne-Franche-Comté,2020/06/25,28.0,18.0,7.5,89.5,9.8125,45.5
Bourgogne-Franche-Comté,2020/06/26,25.5,18.0,14.5,92.5,8.375,70.0
Bourgogne-Franche-Comté,2020/06/27,26.0,17.5,13.5,94.5,8.625,56.5
Bourgogne-Franche-Comté,2020/06/28,22.5,16.5,17.5,95.0,8.0,68.0
Bourgogne-Franche-Comté,2020/06/29,22.5,15.5,18.5,97.5,8.25,72.5
Bourgogne-Franche-Comté,2020/06/30,23.0,13.0,11.5,87.0,9.5,29.5
Bretagne,2020/06/01,24.0,17.0,18.0,83.0,10.0,3.0
Bretagne,2020/06/02,24.0,19.0,18.0,84.0,10.0,10.0
Bretagne,2020/06/03,21.0,15.0,14.0,89.0,9.625,50.0
Bretagne,2020/06/04,16.0,12.0,28.0,86.0,10.0,63.0
Bretagne,2020/06/05,16.0,14.0,27.0,81.0,10.0,91.0
Bretagne,2020/06/06,15.0,10.0,22.0,75.0,9.875,68.0
Bretagne,2020/06/07,17.0,14.0,13.0,90.0,8.5,58.0
Bretagne,2020/06/08,18.0,14.0,20.0,86.0,7.5,44.0
Bretagne,2020/06/09,18.0,14.0,15.0,85.0,7.875,54.0
Bretagne,2020/06/10,14.0,11.0,8.0,95.0,7.125,80.0
Bretagne,2020/06/11,12.0,6.0,33.0,95.0,5.875,100.0
Bretagne,2020/06/12,17.0,13.0,26.0,88.0,8.5,81.0
Bretagne,2020/06/13,18.0,13.0,19.0,94.0,9.0,81.0
Bretagne,2020/06/14,19.0,16.0,23.0,90.0,8.75,82.0
Bretagne,2020/06/15,18.0,13.0,19.0,95.0,7.875,77.0
Bretagne,2020/06/16,19.0,16.0,16.0,90.0,5.125,80.0
Bretagne,2020/06/17,20.0,14.0,13.0,90.0,7.5,58.0
Bretagne,2020/06/18,18.0,14.0,22.0,92.0,9.0,61.0
Bretagne,2020/06/19,19.0,14.0,14.0,88.0,8.75,69.0
Bretagne,2020/06/20,20.0,16.0,22.0,86.0,7.875,70.0
Bretagne,2020/06/21,21.0,15.0,19.0,95.0,9.75,79.0
Bretagne,2020/06/22,22.0,16.0,8.0,74.0,10.0,13.0
Bretagne,2020/06/23,24.0,19.0,16.0,84.0,10.0,15.0
Bretagne,2020/06/24,29.0,22.0,14.0,81.0,10.0,1.0
Bretagne,2020/06/25,29.0,23.0,17.0,81.0,10.0,14.0
Bretagne,2020/06/26,20.0,16.0,19.0,90.0,8.375,65.0
Bretagne,2020/06/27,20.0,14.0,31.0,93.0,8.625,88.0
Bretagne,2020/06/28,19.0,16.0,19.0,87.0,10.0,77.0
Bretagne,2020/06/29,17.0,14.0,20.0,78.0,9.0,59.0
Bretagne,2020/06/30,20.0,18.0,23.0,88.0,10.0,93.0
Centre-Val de Loire,2020/06/01,23.0,12.0,18.0,79.0,10.0,3.0
Centre-Val de Loire,2020/06/02,27.0,16.0,9.0,88.0,10.0,11.0
Centre-Val de Loire,2020/06/03,23.0,16.0,13.0,89.0,9.125,61.0
Centre-Val de Loire,2020/06/04,16.0,12.0,17.0,91.0,9.375,75.0
Centre-Val de Loire,2020/06/05,16.0,10.0,28.0,90.0,9.0,91.0
Centre-Val de Loire,2020/06/06,16.0,12.0,21.0,87.0,8.75,72.0
Centre-Val de Loire,2020/06/07,17.0,8.0,13.0,85.0,9.75,52.0
Centre-Val de Loire,2020/06/08,19.0,11.0,14.0,89.0,9.625,57.0
Centre-Val de Loire,2020/06/09,17.0,9.0,14.0,90.0,10.0,35.0
Centre-Val de Loire,2020/06/10,18.0,10.0,15.0,85.0,9.25,45.0
Centre-Val de Loire,2020/06/11,19.0,12.0,16.0,92.0,9.0,77.0
Centre-Val de Loire,2020/06/12,19.0,14.0,17.0,94.0,8.5,83.0
Centre-Val de Loire,2020/06/13,21.0,13.0,21.0,87.0,10.0,30.0
Centre-Val de Loire,2020/06/14,20.0,12.0,15.0,91.0,8.25,73.0
Centre-Val de Loire,2020/06/15,19.0,12.0,15.0,94.0,8.375,80.0
Centre-Val de Loire,2020/06/16,20.0,13.0,13.0,95.0,6.5,84.0
Centre-Val de Loire,2020/06/17,20.0,12.0,13.0,93.0,8.625,76.0
Centre-Val de Loire,2020/06/18,19.0,12.0,15.0,95.0,8.125,80.0
Centre-Val de Loire,2020/06/19,20.0,12.0,14.0,92.0,9.625,67.0
Centre-Val de Loire,2020/06/20,22.0,13.0,12.0,89.0,10.0,39.0
Centre-Val de Loire,2020/06/21,19.0,13.0,17.0,90.0,9.875,61.0
Centre-Val de Loire,2020/06/22,22.0,13.0,10.0,81.0,10.0,24.0
Centre-Val de Loire,2020/06/23,25.0,15.0,17.0,84.0,10.0,14.0
Centre-Val de Loire,2020/06/24,29.0,17.0,17.0,84.0,10.0,0.0
Centre-Val de Loire,2020/06/25,30.0,20.0,7.0,89.0,10.0,42.0
Centre-Val de Loire,2020/06/26,27.0,19.0,17.0,88.0,9.375,64.0
Centre-Val de Loire,2020/06/27,22.0,16.0,26.0,90.0,9.5,71.0
Centre-Val de Loire,2020/06/28,19.0,15.0,19.0,89.0,9.875,81.0
Centre-Val de Loire,2020/06/29,19.0,13.0,20.0,87.0,9.875,63.0
Centre-Val de Loire,2020/06/30,20.0,13.0,17.0,86.0,10.0,68.0
Corse,2020/06/01,22.0,17.0,10.0,74.0,10.0,23.0
Corse,2020/06/02,22.0,16.0,12.0,83.0,9.75,32.0
Corse,2020/06/03,22.0,16.0,10.0,71.0,10.0,6.0
Corse,2020/06/04,24.0,17.0,15.0,92.0,9.625,46.0
Corse,2020/06/05,19.0,16.0,33.0,84.0,8.5,69.0
Corse,2020/06/06,21.0,17.0,13.0,83.0,10.0,34.0
Corse,2020/06/07,23.0,17.0,11.0,89.0,9.875,37.0
Corse,2020/06/08,21.0,15.0,15.0,84.0,9.875,24.0
Corse,2020/06/09,19.0,15.0,15.0,78.0,9.625,68.0
Corse,2020/06/10,17.0,14.0,17.0,84.0,8.5,78.0
Corse,2020/06/11,21.0,14.0,10.0,82.0,9.625,58.0
Corse,2020/06/12,26.0,18.0,10.0,74.0,10.0,7.0
Corse,2020/06/13,22.0,16.0,9.0,87.0,8.75,65.0
Corse,2020/06/14,22.0,16.0,15.0,85.0,10.0,18.0
Corse,2020/06/15,22.0,17.0,15.0,79.0,10.0,9.0
Corse,2020/06/16,22.0,18.0,13.0,83.0,10.0,14.0
Corse,2020/06/17,22.0,16.0,14.0,77.0,10.0,21.0
Corse,2020/06/18,22.0,17.0,12.0,75.0,10.0,27.0
Corse,2020/06/19,22.0,17.0,12.0,67.0,10.0,29.0
Corse,2020/06/20,23.0,17.0,13.0,86.0,10.0,2.0
Corse,2020/06/21,24.0,18.0,10.0,76.0,10.0,14.0
Corse,2020/06/22,26.0,20.0,8.0,61.0,10.0,6.0
Corse,2020/06/23,27.0,21.0,8.0,61.0,10.0,7.0
Corse,2020/06/24,27.0,21.0,9.0,61.0,10.0,5.0
