region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent
Bourgogne-Franche-Comté,2020/01/01,4.5,1.0,6.0,81.5,9.6875,22.0
Bourgogne-Franche-Comté,2020/01/02,5.5,2.0,10.0,87.5,8.8125,53.0
Bourgogne-Franche-Comté,2020/01/03,7.0,4.0,17.0,91.5,8.375,96.0
Bourgogne-Franche-Comté,2020/01/04,6.5,5.0,9.0,90.5,7.75,49.5
Bourgogne-Franche-Comté,2020/01/05,5.5,2.5,15.5,88.5,9.5,24.5
Bourgogne-Franche-Comté,2020/01/06,6.5,1.5,8.5,88.5,8.0,18.5
Bourgogne-Franche-Comté,2020/01/07,7.0,4.0,7.5,96.0,6.0,68.5
Bourgogne-Franche-Comté,2020/01/08,7.0,5.5,10.5,94.5,5.0625,91.5
Bourgogne-Franche-Comté,2020/01/09,10.0,7.0,16.5,84.5,8.5,63.5
Bourgogne-Franche-Comté,2020/01/10,8.0,5.5,22.5,88.0,6.9375,89.0
Bourgogne-Franche-Comté,2020/01/11,6.5,3.0,8.0,90.0,8.3125,37.5
Bourgogne-Franche-Comté,2020/01/12,5.0,1.0,12.0,91.5,8.5,49.0
Bourgogne-Franche-Comté,2020/01/13,7.0,4.0,8.0,87.5,10.0,47.5
Bourgogne-Franche-Comté,2020/01/14,9.5,5.5,23.0,80.0,10.0,60.5
Bourgogne-Franche-Comté,2020/01/15,10.5,7.0,31.0,78.5,10.0,25.5
Bourgogne-Franche-Comté,2020/01/16,10.5,6.5,8.5,87.5,10.0,24.0
Bourgogne-Franche-Comté,2020/01/17,8.0,7.0,19.0,91.5,9.0625,64.5
Bourgogne-Franche-Comté,2020/01/18,5.5,2.5,9.5,93.0,9.4375,53.5
Bourgogne-Franche-Comté,2020/01/19,4.5,1.0,22.0,86.0,9.25,33.0
Bourgogne-Franche-Comté,2020/01/20,4.5,1.0,26.0,78.0,10.0,6.5
Bourgogne-Franche-Comté,2020/01/21,5.0,-0.5,8.0,74.0,10.0,6.0
Bourgogne-Franche-Comté,2020/01/22,5.5,-0.5,7.5,72.5,10.0,4.0
Bourgogne-Franche-Comté,2020/01/23,5.0,0.5,9.0,61.0,10.0,8.0
Bourgogne-Franche-Comté,2020/01/24,7.5,3.5,5.0,86.5,10.0,27.5
Bourgogne-Franche-Comté,2020/01/25,7.5,3.0,3.5,87.5,10.0,37.5
Bourgogne-Franche-Comté,2020/01/26,8.5,5.0,11.0,90.5,8.1875,67.0
Bourgogne-Franche-Comté,2020/01/27,7.5,5.0,21.0,88.0,8.0,83.0
Bourgogne-Franche-Comté,2020/01/28,7.5,5.0,32.0,85.0,8.5625,90.5
Bourgogne-Franche-Comté,2020/01/29,7.0,5.0,15.5,92.5,8.625,88.0
Bourgogne-Franche-Comté,2020/01/30,7.0,4.5,17.5,89.0,7.125,68.0
Bourgogne-Franche-Comté,2020/01/31,12.5,10.0,15.0,94.5,7.0,89.0
Bretagne,2020/01/01,11.0,9.0,9.0,97.0,7.625,92.0
Bretagne,2020/01/02,11.0,8.0,27.0,93.0,8.0,94.0
