,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,region,day
alsace_2015/01/01,2,-1,6,92,8,20,8:23:0,alsace,2015/01/01
aquitaine_2015/01/01,5,0,5,63,10,17,8:52:0,aquitaine,2015/01/01
ardeche_2015/01/01,3,-2,11,87,10,6,8:52:0,ardeche,2015/01/01
auvergne_2015/01/01,2,-4,5,88,8,8,8:45:0,auvergne,2015/01/01
bourgogne_2015/01/01,1,-2,4,88,8,10,8:33:0,bourgogne,2015/01/01
bretagne_2015/01/01,6,-1,19,90,10,18,8:27:0,bretagne,2015/01/01
centre_2015/01/01,3,0,9,83,10,17,8:28:0,centre,2015/01/01
champagne-ardenne_2015/01/01,3,-1,12,91,8,22,8:17:0,champagne-ardenne,2015/01/01
corse_2015/01/01,8,6,12,55,10,5,9:11:0,corse,2015/01/01
franche-comte_2015/01/01,0,-3,7,91,8,10,8:34:0,franche-comte,2015/01/01
ile-de-re_2015/01/01,6,3,12,74,10,17,8:42:0,ile-de-re,2015/01/01
ile-de-france_2015/01/01,4,0,18,85,10,19,8:20:0,ile-de-france,2015/01/01
languedoc-roussillon_2015/01/01,9,4,12,66,10,2,9:0:0,languedoc-roussillon,2015/01/01
limousin_2015/01/01,5,-3,5,84,10,11,8:45:0,limousin,2015/01/01
lorraine_2015/01/01,1,-2,5,97,4.5,42,8:18:0,lorraine,2015/01/01
midi-pyrenees_2015/01/01,4,-1,7,70,10,5,9:1:0,midi-pyrenees,2015/01/01
nord-pas-de-calais_2015/01/01,5,0,26,82,10,21,8:7:0,nord-pas-de-calais,2015/01/01
normandie_2015/01/01,6,1,31,71,10,35,8:18:0,normandie,2015/01/01
pays-de-la-loire_2015/01/01,6,0,13,73,10,19,8:34:0,pays-de-la-loire,2015/01/01
picardie_2015/01/01,4,0,28,81,10,26,8:11:0,picardie,2015/01/01
poitou-charentes_2015/01/01,6,3,11,74,10,17,8:42:0,poitou-charentes,2015/01/01
rh-ne-alpes_2015/01/01,1,-3,5,92,9,39,8:44:0,rh-ne-alpes,2015/01/01
provence-alpes-c-te-d-azur_2015/01/01,8,5,13,77,10,10,9:2:0,provence-alpes-c-te-d-azur,2015/01/01
alsace_2015/01/02,2,1,19,94,8,56,8:24:0,alsace,2015/01/02
