,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,region,day
alsace_2010/01/01,5,2,14,94,5.875,87,8:23:0,alsace,2010/01/01
aquitaine_2010/01/01,9,6,20,90,10,77,8:52:0,aquitaine,2010/01/01
ardeche_2010/01/01,5,3,16,94,5.625,76,8:53:0,ardeche,2010/01/01
auvergne_2010/01/01,4,-1,19,98,6,100,8:45:0,auvergne,2010/01/01
bourgogne_2010/01/01,4,1,20,97,6.875,85,8:33:0,bourgogne,2010/01/01
bretagne_2010/01/01,4,2,16,89,9.875,67,8:27:0,bretagne,2010/01/01
centre_2010/01/01,2,0,24,84,10,73,8:28:0,centre,2010/01/01
champagne-ardenne_2010/01/01,1,-1,22,88,10,87,8:17:0,champagne-ardenne,2010/01/01
corse_2010/01/01,11,8,44,90,8.375,91,9:12:0,corse,2010/01/01
franche-comte_2010/01/01,4,1,17,97,4,81,8:34:0,franche-comte,2010/01/01
ile-de-re_2010/01/01,8,4,26,86,9,67,8:42:0,ile-de-re,2010/01/01
ile-de-france_2010/01/01,1,-1,24,83,8.75,68,8:20:0,ile-de-france,2010/01/01
languedoc-roussillon_2010/01/01,10,8,41,75,8,46,9:0:0,languedoc-roussillon,2010/01/01
limousin_2010/01/01,6,0,21,95,7,90,8:45:0,limousin,2010/01/01
lorraine_2010/01/01,4,1,15,93,7.75,100,8:18:0,lorraine,2010/01/01
midi-pyrenees_2010/01/01,8,6,37,86,9,78,9:1:0,midi-pyrenees,2010/01/01
nord-pas-de-calais_2010/01/01,1,-1,23,82,10,52,8:7:0,nord-pas-de-calais,2010/01/01
normandie_2010/01/01,4,1,27,81,7.5,72,8:18:0,normandie,2010/01/01
pays-de-la-loire_2010/01/01,5,3,19,86,10,63,8:34:0,pays-de-la-loire,2010/01/01
picardie_2010/01/01,1,-2,24,91,8.75,54,8:11:0,picardie,2010/01/01
poitou-charentes_2010/01/01,8,4,26,86,9,67,8:43:0,poitou-charentes,2010/01/01
rh-ne-alpes_2010/01/01,5,2,21,97,7,91,8:45:0,rh-ne-alpes,2010/01/01
provence-alpes-c-te-d-azur_2010/01/01,11,8,52,81,9.875,53,9:3:0,provence-alpes-c-te-d-azur,2010/01/01
alsace_2010/01/02,-1,-3,13,80,8,36,8:24:0,alsace,2010/01/02
aquitaine_2010/01/02,5,2,11,79,9,56,8:53:0,aquitaine,2010/01/02
ardeche_2010/01/02,0,-2,23,74,10,22,8:54:0,ardeche,2010/01/02
auvergne_2010/01/02,-1,-3,11,77,10,19,8:46:0,auvergne,2010/01/02
bourgogne_2010/01/02,0,-2,8,87,9,29,8:34:0,bourgogne,2010/01/02
bretagne_2010/01/02,5,0,13,77,10,15,8:28:0,bretagne,2010/01/02
centre_2010/01/02,3,0,15,79,10,20,8:29:0,centre,2010/01/02
champagne-ardenne_2010/01/02,1,-1,15,89,8.375,44,8:18:0,champagne-ardenne,2010/01/02
corse_2010/01/02,9,8,41,62,9.875,9,9:12:0,corse,2010/01/02
franche-comte_2010/01/02,-1,-3,10,84,8.375,29,8:35:0,franche-comte,2010/01/02
ile-de-re_2010/01/02,5,3,22,77,9.875,35,8:43:0,ile-de-re,2010/01/02
ile-de-france_2010/01/02,2,-1,16,92,10,34,8:21:0,ile-de-france,2010/01/02
languedoc-roussillon_2010/01/02,6,4,18,63,10,16,9:1:0,languedoc-roussillon,2010/01/02
limousin_2010/01/02,2,-2,9,68,10,21,8:46:0,limousin,2010/01/02
