region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_Min
Bourgogne-Franche-Comté,2020/01/01,4.5,1.0,6.0,81.5,9.6875,22.0,513.5
Bourgogne-Franche-Comté,2020/01/02,5.5,2.0,10.0,87.5,8.8125,53.0,514.5
Bourgogne-Franche-Comté,2020/01/03,7.0,4.0,17.0,91.5,8.375,96.0,515.5
Bourgogne-Franche-Comté,2020/01/04,6.5,5.0,9.0,90.5,7.75,49.5,516.5
Bourgogne-Franche-Comté,2020/01/05,5.5,2.5,15.5,88.5,9.5,24.5,518.0
Bourgogne-Franche-Comté,2020/01/06,6.5,1.5,8.5,88.5,8.0,18.5,519.0
Bourgogne-Franche-Comté,2020/01/07,7.0,4.0,7.5,96.0,6.0,68.5,520.0
Bourgogne-Franche-Comté,2020/01/08,7.0,5.5,10.5,94.5,5.0625,91.5,521.0
Bourgogne-Franche-Comté,2020/01/09,10.0,7.0,16.5,84.5,8.5,63.5,523.5
Bourgogne-Franche-Comté,2020/01/10,8.0,5.5,22.5,88.0,6.9375,89.0,524.5
Bourgogne-Franche-Comté,2020/01/11,6.5,3.0,8.0,90.0,8.3125,37.5,526.5
Bourgogne-Franche-Comté,2020/01/12,5.0,1.0,12.0,91.5,8.5,49.0,528.0
Bourgogne-Franche-Comté,2020/01/13,7.0,4.0,8.0,87.5,10.0,47.5,530.0
Bourgogne-Franche-Comté,2020/01/14,9.5,5.5,23.0,80.0,10.0,60.5,532.0
Bourgogne-Franche-Comté,2020/01/15,10.5,7.0,31.0,78.5,10.0,25.5,533.5
Bourgogne-Franche-Comté,2020/01/16,10.5,6.5,8.5,87.5,10.0,24.0,535.5
Bourgogne-Franche-Comté,2020/01/17,8.0,7.0,19.0,91.5,9.0625,64.5,538.0
Bourgogne-Franche-Comté,2020/01/18,5.5,2.5,9.5,93.0,9.4375,53.5,540.0
Bourgogne-Franche-Comté,2020/01/19,4.5,1.0,22.0,86.0,9.25,33.0,542.0
Bourgogne-Franche-Comté,2020/01/20,4.5,1.0,26.0,78.0,10.0,6.5,544.0
Bourgogne-Franche-Comté,2020/01/21,5.0,-0.5,8.0,74.0,10.0,6.0,546.5
Bourgogne-Franche-Comté,2020/01/22,5.5,-0.5,7.5,72.5,10.0,4.0,549.0
Bourgogne-Franche-Comté,2020/01/23,5.0,0.5,9.0,61.0,10.0,8.0,551.5
Bourgogne-Franche-Comté,2020/01/24,7.5,3.5,5.0,86.5,10.0,27.5,554.0
Bourgogne-Franche-Comté,2020/01/25,7.5,3.0,3.5,87.5,10.0,37.5,556.5
Bourgogne-Franche-Comté,2020/01/26,8.5,5.0,11.0,90.5,8.1875,67.0,559.0
Bourgogne-Franche-Comté,2020/01/27,7.5,5.0,21.0,88.0,8.0,83.0,561.5
Bourgogne-Franche-Comté,2020/01/28,7.5,5.0,32.0,85.0,8.5625,90.5,564.0
Bourgogne-Franche-Comté,2020/01/29,7.0,5.0,15.5,92.5,8.625,88.0,566.5
Bourgogne-Franche-Comté,2020/01/30,7.0,4.5,17.5,89.0,7.125,68.0,569.0
Bourgogne-Franche-Comté,2020/01/31,12.5,10.0,15.0,94.5,7.0,89.0,571.5
Bourgogne-Franche-Comté,2020/02/01,11.5,9.5,25.5,90.5,8.75,64.5,575.0
Bourgogne-Franche-Comté,2020/02/02,12.5,10.0,30.5,92.5,8.0625,99.0,578.0
Bourgogne-Franche-Comté,2020/02/03,13.5,12.0,26.0,89.5,8.625,90.5,580.0
Bourgogne-Franche-Comté,2020/02/04,10.5,4.5,27.0,82.0,9.125,86.0,583.5
Bourgogne-Franche-Comté,2020/02/05,6.0,3.5,13.0,91.5,9.375,59.5,586.5
Bourgogne-Franche-Comté,2020/02/06,7.0,2.0,12.5,70.5,10.0,37.5,589.0
Bourgogne-Franche-Comté,2020/02/07,9.5,4.0,7.5,70.5,10.0,2.5,592.5
Bourgogne-Franche-Comté,2020/02/08,10.5,4.5,12.5,81.5,10.0,22.0,595.0
Bourgogne-Franche-Comté,2020/02/09,11.5,6.5,36.0,82.0,9.6875,53.0,598.0
Bourgogne-Franche-Comté,2020/02/10,11.5,7.5,35.5,76.0,8.0,90.0,601.0
Bourgogne-Franche-Comté,2020/02/11,8.0,5.0,26.5,86.5,8.9375,73.0,604.0
Bourgogne-Franche-Comté,2020/02/12,6.5,3.0,23.0,85.5,10.0,75.0,607.0
Bourgogne-Franche-Comté,2020/02/13,9.0,3.5,32.0,81.5,8.6875,68.5,611.0
Bourgogne-Franche-Comté,2020/02/14,10.5,7.0,13.5,86.5,9.625,72.5,613.0
Bourgogne-Franche-Comté,2020/02/15,11.0,5.0,12.5,85.5,10.0,36.5,617.0
Bourgogne-Franche-Comté,2020/02/16,14.5,9.0,27.5,68.0,10.0,30.0,619.0
Bourgogne-Franche-Comté,2020/02/17,11.0,8.0,19.0,92.5,8.0,77.5,623.0
Bourgogne-Franche-Comté,2020/02/18,8.5,4.0,15.0,88.5,10.0,49.5,626.0
Bourgogne-Franche-Comté,2020/02/19,8.0,5.5,22.0,87.0,8.8125,90.5,629.0
Bourgogne-Franche-Comté,2020/02/20,10.5,6.5,17.0,87.0,8.25,57.5,632.0
Bourgogne-Franche-Comté,2020/02/21,9.0,4.0,4.0,79.5,10.0,28.5,636.0
Bourgogne-Franche-Comté,2020/02/22,11.0,4.5,13.5,72.5,10.0,17.5,639.0
Bourgogne-Franche-Comté,2020/02/23,12.5,8.0,22.5,76.5,10.0,78.5,642.0
Bourgogne-Franche-Comté,2020/02/24,14.5,10.0,19.0,88.5,10.0,54.0,645.0
Bourgogne-Franche-Comté,2020/02/25,9.0,7.0,25.0,89.0,9.125,70.0,649.0
Bourgogne-Franche-Comté,2020/02/26,5.0,1.5,30.0,88.0,5.5,86.0,652.0
Bourgogne-Franche-Comté,2020/02/27,6.5,2.5,39.5,90.0,9.125,90.0,656.0
Bourgogne-Franche-Comté,2020/02/28,8.0,3.0,13.5,79.0,9.1875,67.0,659.0
Bourgogne-Franche-Comté,2020/02/29,12.5,9.5,42.5,81.0,8.375,74.0,662.0
Bourgogne-Franche-Comté,2020/03/01,10.0,6.5,31.0,82.0,8.0,86.0,667.0
Bourgogne-Franche-Comté,2020/03/02,6.0,3.0,18.0,95.0,8.25,81.0,670.0
Bourgogne-Franche-Comté,2020/03/03,6.5,2.5,14.5,90.0,8.875,66.5,673.5
Bourgogne-Franche-Comté,2020/03/04,7.5,3.0,11.5,90.0,8.0,58.0,676.0
Bourgogne-Franche-Comté,2020/03/05,9.5,7.0,34.5,95.5,7.6875,99.5,680.0
Bourgogne-Franche-Comté,2020/03/06,6.5,4.5,22.5,88.0,8.875,89.5,683.0
Bourgogne-Franche-Comté,2020/03/07,7.5,4.0,8.5,83.5,9.0,47.0,687.0
Bourgogne-Franche-Comté,2020/03/08,10.5,4.5,16.5,84.0,9.625,57.5,690.0
Bourgogne-Franche-Comté,2020/03/09,8.5,6.0,15.5,88.5,9.1875,79.0,694.0
Bourgogne-Franche-Comté,2020/03/10,7.0,5.0,24.5,96.0,7.9375,91.0,697.0
Bourgogne-Franche-Comté,2020/03/11,14.0,10.0,18.5,93.5,9.6875,86.5,700.5
Bourgogne-Franche-Comté,2020/03/12,14.5,11.5,23.5,85.0,9.8125,72.5,704.0
Bourgogne-Franche-Comté,2020/03/13,10.0,6.0,10.0,76.0,10.0,37.0,707.0
Bourgogne-Franche-Comté,2020/03/14,10.5,6.0,5.5,76.0,10.0,56.0,711.0
Bourgogne-Franche-Comté,2020/03/15,14.5,7.0,19.0,77.5,10.0,16.0,714.0
Bourgogne-Franche-Comté,2020/03/16,15.5,9.0,11.5,76.0,10.0,18.5,718.0
Bourgogne-Franche-Comté,2020/03/17,16.0,10.5,8.0,84.5,9.9375,42.5,720.5
Bourgogne-Franche-Comté,2020/03/18,18.0,11.5,8.0,82.5,9.5,14.0,723.5
Bourgogne-Franche-Comté,2020/03/19,18.5,11.5,5.0,84.5,9.0,18.5,727.5
Bourgogne-Franche-Comté,2020/03/20,17.0,12.0,5.5,80.0,9.875,40.0,730.5
Bourgogne-Franche-Comté,2020/03/21,12.5,9.0,21.0,88.5,9.3125,56.0,734.5
Bourgogne-Franche-Comté,2020/03/22,11.5,7.5,28.5,76.0,10.0,20.0,737.5
Bourgogne-Franche-Comté,2020/03/23,9.5,3.5,25.0,52.0,10.0,0.0,740.5
