,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,region,day
alsace_2013/01/01,7,5,19,92,6.125,69,8:23:0,alsace,2013/01/01
aquitaine_2013/01/01,12,10,14,91,9.875,57,8:52:0,aquitaine,2013/01/01
ardeche_2013/01/01,6,2,7,97,4.375,66,8:53:0,ardeche,2013/01/01
auvergne_2013/01/01,7,4,18,97,7,80,8:45:0,auvergne,2013/01/01
bourgogne_2013/01/01,7,5,24,95,7.375,89,8:33:0,bourgogne,2013/01/01
bretagne_2013/01/01,9,5,22,90,9,43,8:27:0,bretagne,2013/01/01
centre_2013/01/01,9,7,19,95,9.875,65,8:29:0,centre,2013/01/01
champagne-ardenne_2013/01/01,8,6,20,96,9,62,8:17:0,champagne-ardenne,2013/01/01
corse_2013/01/01,11,9,17,85,8,55,9:12:0,corse,2013/01/01
franche-comte_2013/01/01,5,4,28,98,9.625,79,8:35:0,franche-comte,2013/01/01
ile-de-re_2013/01/01,12,9,23,82,9.875,37,8:42:0,ile-de-re,2013/01/01
ile-de-france_2013/01/01,8,4,22,93,9.875,56,8:21:0,ile-de-france,2013/01/01
languedoc-roussillon_2013/01/01,11,9,12,83,8,68,9:0:0,languedoc-roussillon,2013/01/01
limousin_2013/01/01,8,4,15,98,6.5,89,8:45:0,limousin,2013/01/01
lorraine_2013/01/01,6,5,28,98,7.875,73,8:18:0,lorraine,2013/01/01
midi-pyrenees_2013/01/01,10,6,19,95,8.625,86,9:2:0,midi-pyrenees,2013/01/01
nord-pas-de-calais_2013/01/01,7,6,21,92,9.25,56,8:8:0,nord-pas-de-calais,2013/01/01
normandie_2013/01/01,9,8,26,78,9.75,50,8:18:0,normandie,2013/01/01
pays-de-la-loire_2013/01/01,10,7,21,92,10,34,8:34:0,pays-de-la-loire,2013/01/01
picardie_2013/01/01,7,4,21,90,9.25,56,8:11:0,picardie,2013/01/01
poitou-charentes_2013/01/01,12,11,23,82,9.875,37,8:43:0,poitou-charentes,2013/01/01
rh-ne-alpes_2013/01/01,6,4,16,98,7.125,88,8:45:0,rh-ne-alpes,2013/01/01
provence-alpes-c-te-d-azur_2013/01/01,11,9,14,86,10,76,9:3:0,provence-alpes-c-te-d-azur,2013/01/01
alsace_2013/01/02,5,3,8,90,7.375,57,8:24:0,alsace,2013/01/02
aquitaine_2013/01/02,10,5,7,84,10,19,8:53:0,aquitaine,2013/01/02
ardeche_2013/01/02,5,2,25,90,9.75,36,8:54:0,ardeche,2013/01/02
auvergne_2013/01/02,2,1,13,97,4.75,77,8:46:0,auvergne,2013/01/02
bourgogne_2013/01/02,5,2,8,93,4.75,49,8:34:0,bourgogne,2013/01/02
bretagne_2013/01/02,9,5,15,92,10,76,8:28:0,bretagne,2013/01/02
centre_2013/01/02,7,3,9,90,9,57,8:30:0,centre,2013/01/02
champagne-ardenne_2013/01/02,6,2,10,95,5.375,65,8:18:0,champagne-ardenne,2013/01/02
corse_2013/01/02,9,8,10,87,9.125,67,9:13:0,corse,2013/01/02
franche-comte_2013/01/02,5,2,10,93,4.875,49,8:36:0,franche-comte,2013/01/02
ile-de-re_2013/01/02,10,7,11,79,10,27,8:43:0,ile-de-re,2013/01/02
ile-de-france_2013/01/02,7,3,10,93,10,63,8:22:0,ile-de-france,2013/01/02
languedoc-roussillon_2013/01/02,10,7,30,70,10,9,9:1:0,languedoc-roussillon,2013/01/02
limousin_2013/01/02,6,2,12,98,4,78,8:46:0,limousin,2013/01/02
lorraine_2013/01/02,4,2,14,95,8,70,8:19:0,lorraine,2013/01/02
midi-pyrenees_2013/01/02,7,4,16,97,7.625,58,9:2:0,midi-pyrenees,2013/01/02
nord-pas-de-calais_2013/01/02,7,3,15,95,8.875,65,8:9:0,nord-pas-de-calais,2013/01/02
normandie_2013/01/02,9,8,18,89,8,83,8:19:0,normandie,2013/01/02
pays-de-la-loire_2013/01/02,10,5,9,88,10,46,8:35:0,pays-de-la-loire,2013/01/02
picardie_2013/01/02,7,4,21,96,9.375,58,8:12:0,picardie,2013/01/02
poitou-charentes_2013/01/02,10,7,10,79,10,27,8:44:0,poitou-charentes,2013/01/02
rh-ne-alpes_2013/01/02,5,2,21,95,7.375,67,8:46:0,rh-ne-alpes,2013/01/02
provence-alpes-c-te-d-azur_2013/01/02,10,6,30,81,10,10,9:4:0,provence-alpes-c-te-d-azur,2013/01/02
alsace_2013/01/03,5,3,19,84,9,63,8:25:0,alsace,2013/01/03
aquitaine_2013/01/03,10,7,5,85,10,48,8:54:0,aquitaine,2013/01/03
