,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,region,day
alsace_2017/01/01,3,-1,5,56,10,1,8:23:0,alsace,2017/01/01
aquitaine_2017/01/01,7,3,8,86,10,42,8:52:0,aquitaine,2017/01/01
ardeche_2017/01/01,7,1,8,97,7.75,16,8:53:0,ardeche,2017/01/01
auvergne_2017/01/01,6,-2,6,81,10,1,8:45:0,auvergne,2017/01/01
bourgogne_2017/01/01,3,-1,8,68,10,1,8:33:0,bourgogne,2017/01/01
bretagne_2017/01/01,4,3,20,97,10,85,8:27:0,bretagne,2017/01/01
centre_2017/01/01,1,-2,12,54,10,23,8:29:0,centre,2017/01/01
champagne-ardenne_2017/01/01,-1,-4,10,66,10,15,8:17:0,champagne-ardenne,2017/01/01
corse_2017/01/01,11,9,9,70,10,5,9:12:0,corse,2017/01/01
franche-comte_2017/01/01,3,0,9,73,10,1,8:35:0,franche-comte,2017/01/01
ile-de-re_2017/01/01,8,5,18,88,10,47,8:43:0,ile-de-re,2017/01/01
ile-de-france_2017/01/01,0,-3,13,74,10,36,8:21:0,ile-de-france,2017/01/01
languedoc-roussillon_2017/01/01,10,8,10,90,10,30,9:0:0,languedoc-roussillon,2017/01/01
limousin_2017/01/01,5,-2,12,96,7.75,12,8:45:0,limousin,2017/01/01
lorraine_2017/01/01,0,-4,11,59,10,3,8:18:0,lorraine,2017/01/01
midi-pyrenees_2017/01/01,8,2,4,88,6.5,27,9:2:0,midi-pyrenees,2017/01/01
nord-pas-de-calais_2017/01/01,0,-3,19,58,9,46,8:8:0,nord-pas-de-calais,2017/01/01
normandie_2017/01/01,6,4,27,92,10,62,8:18:0,normandie,2017/01/01
pays-de-la-loire_2017/01/01,6,3,19,90,9,63,8:34:0,pays-de-la-loire,2017/01/01
picardie_2017/01/01,1,-3,16,91,10,46,8:11:0,picardie,2017/01/01
poitou-charentes_2017/01/01,8,5,14,88,10,47,8:43:0,poitou-charentes,2017/01/01
rh-ne-alpes_2017/01/01,5,-1,7,92,10,1,8:45:0,rh-ne-alpes,2017/01/01
provence-alpes-c-te-d-azur_2017/01/01,12,10,10,84,10,46,9:3:0,provence-alpes-c-te-d-azur,2017/01/01
alsace_2017/01/02,-1,-2,7,94,7.375,49,8:24:0,alsace,2017/01/02
aquitaine_2017/01/02,7,3,12,89,9,41,8:53:0,aquitaine,2017/01/02
ardeche_2017/01/02,7,0,11,81,10,19,8:54:0,ardeche,2017/01/02
auvergne_2017/01/02,2,-4,7,97,7.75,35,8:46:0,auvergne,2017/01/02
bourgogne_2017/01/02,2,-1,5,85,9,48,8:34:0,bourgogne,2017/01/02
bretagne_2017/01/02,6,3,15,96,4.25,73,8:28:0,bretagne,2017/01/02
centre_2017/01/02,2,1,12,96,6.375,90,8:30:0,centre,2017/01/02
champagne-ardenne_2017/01/02,1,-1,8,94,7.875,57,8:18:0,champagne-ardenne,2017/01/02
corse_2017/01/02,11,9,7,72,10,55,9:13:0,corse,2017/01/02
franche-comte_2017/01/02,1,-1,4,81,8.625,51,8:36:0,franche-comte,2017/01/02
ile-de-re_2017/01/02,8,5,16,85,10,48,8:43:0,ile-de-re,2017/01/02
ile-de-france_2017/01/02,1,-2,11,95,5.875,69,8:22:0,ile-de-france,2017/01/02
languedoc-roussillon_2017/01/02,9,7,16,88,10,42,9:1:0,languedoc-roussillon,2017/01/02
limousin_2017/01/02,5,-1,10,93,7,20,8:46:0,limousin,2017/01/02
lorraine_2017/01/02,-1,-2,10,94,7.25,48,8:19:0,lorraine,2017/01/02
midi-pyrenees_2017/01/02,7,2,9,81,10,54,9:2:0,midi-pyrenees,2017/01/02
nord-pas-de-calais_2017/01/02,4,1,9,95,7,50,8:9:0,nord-pas-de-calais,2017/01/02
