,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,region,day
alsace_2009/01/01,2,1,5,94,3.75,76,8:23:0,alsace,2009/01/01
aquitaine_2009/01/01,12,8,11,92,10,46,8:52:0,aquitaine,2009/01/01
ardeche_2009/01/01,5,-2,16,92,7.125,38,8:53:0,ardeche,2009/01/01
auvergne_2009/01/01,2,-2,15,82,9,23,8:45:0,auvergne,2009/01/01
bourgogne_2009/01/01,3,0,14,86,7,7,8:33:0,bourgogne,2009/01/01
bretagne_2009/01/01,4,-1,18,91,10,27,8:27:0,bretagne,2009/01/01
centre_2009/01/01,3,0,14,91,6.75,19,8:29:0,centre,2009/01/01
champagne-ardenne_2009/01/01,1,-1,8,87,7,17,8:17:0,champagne-ardenne,2009/01/01
corse_2009/01/01,11,10,8,90,9.375,57,9:12:0,corse,2009/01/01
franche-comte_2009/01/01,2,-1,14,92,6.75,16,8:34:0,franche-comte,2009/01/01
ile-de-re_2009/01/01,7,5,25,81,10,76,8:42:0,ile-de-re,2009/01/01
ile-de-france_2009/01/01,2,-4,9,92,6.75,21,8:21:0,ile-de-france,2009/01/01
languedoc-roussillon_2009/01/01,11,8,22,89,9.375,46,9:0:0,languedoc-roussillon,2009/01/01
limousin_2009/01/01,6,2,18,74,10,17,8:45:0,limousin,2009/01/01
lorraine_2009/01/01,2,-1,7,94,5.5,61,8:18:0,lorraine,2009/01/01
midi-pyrenees_2009/01/01,12,8,8,95,9,23,9:2:0,midi-pyrenees,2009/01/01
nord-pas-de-calais_2009/01/01,0,-3,11,77,10,13,8:8:0,nord-pas-de-calais,2009/01/01
normandie_2009/01/01,4,1,20,85,10,2,8:18:0,normandie,2009/01/01
pays-de-la-loire_2009/01/01,5,1,23,73,10,46,8:34:0,pays-de-la-loire,2009/01/01
picardie_2009/01/01,0,-5,12,82,10,11,8:11:0,picardie,2009/01/01
poitou-charentes_2009/01/01,7,5,22,81,10,76,8:43:0,poitou-charentes,2009/01/01
rh-ne-alpes_2009/01/01,2,-2,12,90,9,13,8:45:0,rh-ne-alpes,2009/01/01
provence-alpes-c-te-d-azur_2009/01/01,11,10,8,85,10,56,9:3:0,provence-alpes-c-te-d-azur,2009/01/01
alsace_2009/01/02,0,-3,14,79,10,19,8:24:0,alsace,2009/01/02
aquitaine_2009/01/02,9,6,10,91,9,34,8:53:0,aquitaine,2009/01/02
ardeche_2009/01/02,3,-2,15,78,10,16,8:54:0,ardeche,2009/01/02
auvergne_2009/01/02,1,-4,12,88,10,14,8:46:0,auvergne,2009/01/02
bourgogne_2009/01/02,0,-2,15,85,8,23,8:34:0,bourgogne,2009/01/02
bretagne_2009/01/02,2,-3,21,87,9,14,8:28:0,bretagne,2009/01/02
centre_2009/01/02,1,-2,19,84,10,11,8:30:0,centre,2009/01/02
champagne-ardenne_2009/01/02,1,-4,15,75,9,13,8:18:0,champagne-ardenne,2009/01/02
corse_2009/01/02,8,7,14,91,9.5,79,9:13:0,corse,2009/01/02
franche-comte_2009/01/02,-1,-3,16,86,10,34,8:36:0,franche-comte,2009/01/02
ile-de-re_2009/01/02,6,2,26,76,10,28,8:43:0,ile-de-re,2009/01/02
ile-de-france_2009/01/02,1,-4,17,87,10,8,8:22:0,ile-de-france,2009/01/02
languedoc-roussillon_2009/01/02,9,6,17,81,8,56,9:1:0,languedoc-roussillon,2009/01/02
limousin_2009/01/02,5,-1,17,75,10,7,8:46:0,limousin,2009/01/02
lorraine_2009/01/02,0,-4,17,74,10,25,8:19:0,lorraine,2009/01/02
midi-pyrenees_2009/01/02,11,5,6,91,10,19,9:2:0,midi-pyrenees,2009/01/02
nord-pas-de-calais_2009/01/02,1,-5,10,82,10,40,8:9:0,nord-pas-de-calais,2009/01/02
normandie_2009/01/02,3,-1,24,67,10,2,8:19:0,normandie,2009/01/02
pays-de-la-loire_2009/01/02,4,-1,23,85,10,19,8:35:0,pays-de-la-loire,2009/01/02
picardie_2009/01/02,,-5,18,97,10,32,8:12:0,picardie,2009/01/02
poitou-charentes_2009/01/02,6,3,26,66,10,28,8:44:0,poitou-charentes,2009/01/02
rh-ne-alpes_2009/01/02,1,-3,15,86,10,26,8:46:0,rh-ne-alpes,2009/01/02
provence-alpes-c-te-d-azur_2009/01/02,10,9,13,78,10,43,9:4:0,provence-alpes-c-te-d-azur,2009/01/02
alsace_2009/01/03,-1,-4,13,79,10,7,8:25:0,alsace,2009/01/03
aquitaine_2009/01/03,6,1,12,65,10,0,8:54:0,aquitaine,2009/01/03
ardeche_2009/01/03,2,-3,16,75,10,1,8:55:0,ardeche,2009/01/03
auvergne_2009/01/03,0,-5,12,84,7,19,8:47:0,auvergne,2009/01/03
bourgogne_2009/01/03,-2,-4,20,74,10,6,8:35:0,bourgogne,2009/01/03
bretagne_2009/01/03,2,-2,24,90,10,12,8:29:0,bretagne,2009/01/03
centre_2009/01/03,1,-2,22,85,10,14,8:31:0,centre,2009/01/03
champagne-ardenne_2009/01/03,0,-3,14,86,9,14,8:19:0,champagne-ardenne,2009/01/03
corse_2009/01/03,8,6,22,88,8,72,9:14:0,corse,2009/01/03
franche-comte_2009/01/03,-4,-5,19,81,10,9,8:37:0,franche-comte,2009/01/03
ile-de-re_2009/01/03,4,0,30,79,10,0,8:44:0,ile-de-re,2009/01/03
ile-de-france_2009/01/03,1,-3,17,92,10,26,8:23:0,ile-de-france,2009/01/03
languedoc-roussillon_2009/01/03,7,4,22,81,10,11,9:2:0,languedoc-roussillon,2009/01/03
limousin_2009/01/03,3,-2,21,70,10,0,8:47:0,limousin,2009/01/03
lorraine_2009/01/03,-1,-3,21,85,10,29,8:20:0,lorraine,2009/01/03
midi-pyrenees_2009/01/03,8,1,8,84,10,1,9:3:0,midi-pyrenees,2009/01/03
nord-pas-de-calais_2009/01/03,-1,-4,14,91,9,38,8:11:0,nord-pas-de-calais,2009/01/03
normandie_2009/01/03,2,0,27,88,10,13,8:20:0,normandie,2009/01/03
pays-de-la-loire_2009/01/03,3,-2,27,87,10,3,8:36:0,pays-de-la-loire,2009/01/03
picardie_2009/01/03,,-5,15,92,10,39,8:13:0,picardie,2009/01/03
poitou-charentes_2009/01/03,4,0,30,79,10,0,8:45:0,poitou-charentes,2009/01/03
rh-ne-alpes_2009/01/03,0,-4,13,79,10,36,8:47:0,rh-ne-alpes,2009/01/03
provence-alpes-c-te-d-azur_2009/01/03,9,8,15,85,10,47,9:5:0,provence-alpes-c-te-d-azur,2009/01/03
alsace_2009/01/04,-2,-5,6,67,10,37,8:26:0,alsace,2009/01/04
aquitaine_2009/01/04,5,1,4,59,10,2,8:55:0,aquitaine,2009/01/04
ardeche_2009/01/04,1,-3,17,57,10,5,8:56:0,ardeche,2009/01/04
auvergne_2009/01/04,0,-5,9,49,10,6,8:49:0,auvergne,2009/01/04
bourgogne_2009/01/04,-2,-5,7,59,10,24,8:36:0,bourgogne,2009/01/04
bretagne_2009/01/04,1,-5,6,75,10,30,8:30:0,bretagne,2009/01/04
centre_2009/01/04,-1,-4,8,68,10,30,8:33:0,centre,2009/01/04
champagne-ardenne_2009/01/04,-1,-5,8,65,10,33,8:20:0,champagne-ardenne,2009/01/04
corse_2009/01/04,7,5,12,73,10,12,9:14:0,corse,2009/01/04
franche-comte_2009/01/04,-3,-6,9,67,10,19,8:38:0,franche-comte,2009/01/04
ile-de-re_2009/01/04,4,-1,17,55,10,11,8:45:0,ile-de-re,2009/01/04
ile-de-france_2009/01/04,-1,-5,5,70,10,34,8:24:0,ile-de-france,2009/01/04
languedoc-roussillon_2009/01/04,7,4,18,50,10,2,9:3:0,languedoc-roussillon,2009/01/04
limousin_2009/01/04,4,-4,10,54,10,5,8:48:0,limousin,2009/01/04
lorraine_2009/01/04,-2,-5,10,71,10,35,8:22:0,lorraine,2009/01/04
midi-pyrenees_2009/01/04,6,-1,9,83,10,1,9:4:0,midi-pyrenees,2009/01/04
nord-pas-de-calais_2009/01/04,0,-4,17,86,9.375,38,8:12:0,nord-pas-de-calais,2009/01/04
normandie_2009/01/04,1,-2,6,59,10,30,8:21:0,normandie,2009/01/04
pays-de-la-loire_2009/01/04,3,-4,13,71,10,21,8:37:0,pays-de-la-loire,2009/01/04
picardie_2009/01/04,,-4,13,91,9,58,8:14:0,picardie,2009/01/04
poitou-charentes_2009/01/04,4,-1,17,55,10,11,8:46:0,poitou-charentes,2009/01/04
rh-ne-alpes_2009/01/04,-1,-5,9,62,10,6,8:48:0,rh-ne-alpes,2009/01/04
provence-alpes-c-te-d-azur_2009/01/04,7,4,13,86,10,13,9:6:0,provence-alpes-c-te-d-azur,2009/01/04
alsace_2009/01/05,-2,-5,7,71,9.375,76,8:27:0,alsace,2009/01/05
aquitaine_2009/01/05,5,2,9,66,10,34,8:56:0,aquitaine,2009/01/05
ardeche_2009/01/05,1,-4,14,52,10,23,8:57:0,ardeche,2009/01/05
auvergne_2009/01/05,-2,-5,9,52,10,29,8:50:0,auvergne,2009/01/05
bourgogne_2009/01/05,-2,-6,6,64,10,41,8:38:0,bourgogne,2009/01/05
bretagne_2009/01/05,4,0,17,97,9.5,69,8:31:0,bretagne,2009/01/05
centre_2009/01/05,-1,-3,12,85,8,73,8:34:0,centre,2009/01/05
champagne-ardenne_2009/01/05,-1,-3,10,83,6.75,99,8:23:0,champagne-ardenne,2009/01/05
corse_2009/01/05,7,2,15,70,10,6,9:15:0,corse,2009/01/05
franche-comte_2009/01/05,-4,-6,7,69,10,35,8:39:0,franche-comte,2009/01/05
ile-de-re_2009/01/05,3,-1,7,83,9,57,8:46:0,ile-de-re,2009/01/05
ile-de-france_2009/01/05,-1,-2,12,95,8,90,8:26:0,ile-de-france,2009/01/05
languedoc-roussillon_2009/01/05,7,3,16,57,10,23,9:4:0,languedoc-roussillon,2009/01/05
limousin_2009/01/05,1,-3,10,61,9.625,40,8:49:0,limousin,2009/01/05
lorraine_2009/01/05,-2,-4,7,84,9,76,8:23:0,lorraine,2009/01/05
midi-pyrenees_2009/01/05,4,1,12,97,9,48,9:5:0,midi-pyrenees,2009/01/05
