region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_Min
Bourgogne-Franche-Comté,2021/01/01,2.0,-0.5,10.5,92.5,9.3125,73.5,514.0
Bourgogne-Franche-Comté,2021/01/02,2.0,-1.0,16.0,91.0,8.5,87.0,515.0
Bourgogne-Franche-Comté,2021/01/03,1.0,-1.5,7.5,95.0,5.6875,95.5,516.0
Bourgogne-Franche-Comté,2021/01/04,1.5,-1.0,5.0,94.0,8.1875,99.0,517.5
Bourgogne-Franche-Comté,2021/01/05,2.0,-1.0,10.0,89.5,7.875,76.5,518.5
Bourgogne-Franche-Comté,2021/01/06,1.5,-2.0,5.5,93.0,7.125,86.5,520.0
Bourgogne-Franche-Comté,2021/01/07,1.5,-1.5,5.5,94.5,8.875,93.0,521.0
Bourgogne-Franche-Comté,2021/01/08,1.0,-2.0,7.5,95.0,8.25,72.5,522.5
Bourgogne-Franche-Comté,2021/01/09,1.0,-2.5,22.5,86.5,10.0,56.5,524.0
Bourgogne-Franche-Comté,2021/01/10,0.0,-3.5,23.5,85.0,10.0,24.0,525.5
Bourgogne-Franche-Comté,2021/01/11,1.0,-4.5,8.5,86.5,10.0,9.5,528.0
Bourgogne-Franche-Comté,2021/01/12,3.5,0.5,22.5,97.0,8.5,97.5,529.0
Bourgogne-Franche-Comté,2021/01/13,5.0,2.0,10.5,98.5,3.6875,100.0,531.5
Bourgogne-Franche-Comté,2021/01/14,6.5,5.5,20.0,95.0,7.5,99.0,533.5
Bourgogne-Franche-Comté,2021/01/15,5.5,2.0,15.0,97.0,6.875,88.0,535.0
Bourgogne-Franche-Comté,2021/01/16,0.0,-4.0,6.0,93.5,8.1875,59.5,537.5
Bourgogne-Franche-Comté,2021/01/17,3.5,2.0,15.5,99.0,5.875,90.0,539.5
Bourgogne-Franche-Comté,2021/01/18,2.5,-0.5,6.0,97.0,6.25,80.0,541.0
Bourgogne-Franche-Comté,2021/01/19,3.5,-1.5,17.0,91.0,9.3125,29.0,544.0
Bourgogne-Franche-Comté,2021/01/20,9.0,3.5,27.0,85.0,10.0,42.5,546.0
Bourgogne-Franche-Comté,2021/01/21,10.5,8.5,37.5,79.5,8.3125,83.0,549.0
