,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,region,day
alsace_2012/01/01,12,10,18,94,8.75,78,8:22:0,alsace,2012/01/01
aquitaine_2012/01/01,15,12,13,93,8,74,8:52:0,aquitaine,2012/01/01
ardeche_2012/01/01,13,8,7,91,6,24,8:52:0,ardeche,2012/01/01
auvergne_2012/01/01,12,8,15,94,7,51,8:44:0,auvergne,2012/01/01
bourgogne_2012/01/01,12,10,19,97,10,89,8:33:0,bourgogne,2012/01/01
bretagne_2012/01/01,13,12,39,96,9.875,96,8:26:0,bretagne,2012/01/01
centre_2012/01/01,13,11,28,97,7,99,8:28:0,centre,2012/01/01
champagne-ardenne_2012/01/01,13,11,25,96,9,98,8:16:0,champagne-ardenne,2012/01/01
corse_2012/01/01,12,10,8,82,10,15,9:11:0,corse,2012/01/01
franche-comte_2012/01/01,12,9,22,97,10,88,8:34:0,franche-comte,2012/01/01
ile-de-re_2012/01/01,13,13,34,94,9.625,99,8:42:0,ile-de-re,2012/01/01
ile-de-france_2012/01/01,14,11,28,96,9.875,92,8:20:0,ile-de-france,2012/01/01
languedoc-roussillon_2012/01/01,16,13,19,83,10,14,9:0:0,languedoc-roussillon,2012/01/01
limousin_2012/01/01,11,10,20,98,10,98,8:45:0,limousin,2012/01/01
lorraine_2012/01/01,12,11,23,96,8,96,8:17:0,lorraine,2012/01/01
midi-pyrenees_2012/01/01,13,10,12,92,9.875,59,9:1:0,midi-pyrenees,2012/01/01
nord-pas-de-calais_2012/01/01,12,11,31,95,8.125,95,8:7:0,nord-pas-de-calais,2012/01/01
normandie_2012/01/01,13,12,40,95,9.625,94,8:18:0,normandie,2012/01/01
pays-de-la-loire_2012/01/01,14,13,38,97,6.375,100,8:34:0,pays-de-la-loire,2012/01/01
picardie_2012/01/01,13,11,35,95,7.875,97,8:11:0,picardie,2012/01/01
poitou-charentes_2012/01/01,13,13,34,94,9.625,99,8:42:0,poitou-charentes,2012/01/01
rh-ne-alpes_2012/01/01,12,9,9,92,8,55,8:44:0,rh-ne-alpes,2012/01/01
provence-alpes-c-te-d-azur_2012/01/01,14,11,19,87,10,9,9:2:0,provence-alpes-c-te-d-azur,2012/01/01
alsace_2012/01/02,10,7,25,90,7.875,77,8:23:0,alsace,2012/01/02
aquitaine_2012/01/02,12,10,18,80,9,50,8:53:0,aquitaine,2012/01/02
ardeche_2012/01/02,8,4,16,94,6.5,67,8:53:0,ardeche,2012/01/02
auvergne_2012/01/02,7,3,24,93,9.5,67,8:45:0,auvergne,2012/01/02
bourgogne_2012/01/02,9,7,21,96,8.625,71,8:33:0,bourgogne,2012/01/02
bretagne_2012/01/02,9,5,23,89,9.875,23,8:27:0,bretagne,2012/01/02
centre_2012/01/02,10,8,26,90,9.5,44,8:29:0,centre,2012/01/02
champagne-ardenne_2012/01/02,10,7,23,95,9.875,60,8:17:0,champagne-ardenne,2012/01/02
corse_2012/01/02,11,9,25,93,8.75,62,9:12:0,corse,2012/01/02
franche-comte_2012/01/02,9,6,28,97,9.25,71,8:35:0,franche-comte,2012/01/02
ile-de-re_2012/01/02,13,10,34,73,9.375,33,8:43:0,ile-de-re,2012/01/02
ile-de-france_2012/01/02,11,5,24,91,9.125,55,8:21:0,ile-de-france,2012/01/02
languedoc-roussillon_2012/01/02,12,9,27,91,8.875,48,9:1:0,languedoc-roussillon,2012/01/02
limousin_2012/01/02,8,4,28,95,7.75,52,8:46:0,limousin,2012/01/02
lorraine_2012/01/02,10,6,24,96,8.375,77,8:18:0,lorraine,2012/01/02
midi-pyrenees_2012/01/02,10,6,26,95,9.875,68,9:2:0,midi-pyrenees,2012/01/02
nord-pas-de-calais_2012/01/02,10,6,29,93,9.25,45,8:8:0,nord-pas-de-calais,2012/01/02
normandie_2012/01/02,10,7,29,84,9.75,37,8:19:0,normandie,2012/01/02
pays-de-la-loire_2012/01/02,11,8,27,82,9.375,38,8:35:0,pays-de-la-loire,2012/01/02
picardie_2012/01/02,10,4,31,93,9.875,48,8:12:0,picardie,2012/01/02
poitou-charentes_2012/01/02,13,10,34,72,9.375,33,8:43:0,poitou-charentes,2012/01/02
rh-ne-alpes_2012/01/02,8,3,14,97,9.375,64,8:45:0,rh-ne-alpes,2012/01/02
provence-alpes-c-te-d-azur_2012/01/02,12,11,32,92,9,50,9:3:0,provence-alpes-c-te-d-azur,2012/01/02
alsace_2012/01/03,8,3,28,87,9,38,8:24:0,alsace,2012/01/03
aquitaine_2012/01/03,12,11,17,90,9.375,70,8:54:0,aquitaine,2012/01/03
ardeche_2012/01/03,9,3,9,85,9,7,8:54:0,ardeche,2012/01/03
auvergne_2012/01/03,8,4,22,91,9,39,8:46:0,auvergne,2012/01/03
bourgogne_2012/01/03,7,3,28,93,9.875,62,8:34:0,bourgogne,2012/01/03
bretagne_2012/01/03,12,11,40,95,9.375,88,8:28:0,bretagne,2012/01/03
centre_2012/01/03,11,7,42,95,8.625,82,8:30:0,centre,2012/01/03
champagne-ardenne_2012/01/03,10,5,42,95,9,71,8:18:0,champagne-ardenne,2012/01/03
corse_2012/01/03,12,10,14,80,10,5,9:13:0,corse,2012/01/03
franche-comte_2012/01/03,6,2,28,92,10,57,8:36:0,franche-comte,2012/01/03
ile-de-re_2012/01/03,14,13,53,90,8.875,82,8:44:0,ile-de-re,2012/01/03
ile-de-france_2012/01/03,11,7,45,95,10,71,8:22:0,ile-de-france,2012/01/03
languedoc-roussillon_2012/01/03,13,8,24,77,10,5,9:1:0,languedoc-roussillon,2012/01/03
limousin_2012/01/03,8,5,27,97,8,84,8:47:0,limousin,2012/01/03
lorraine_2012/01/03,9,3,44,91,9.625,73,8:19:0,lorraine,2012/01/03
midi-pyrenees_2012/01/03,11,7,11,87,9,32,9:3:0,midi-pyrenees,2012/01/03
nord-pas-de-calais_2012/01/03,11,7,46,93,8.625,64,8:9:0,nord-pas-de-calais,2012/01/03
normandie_2012/01/03,12,10,55,94,9,69,8:20:0,normandie,2012/01/03
pays-de-la-loire_2012/01/03,13,12,42,94,8.625,90,8:36:0,pays-de-la-loire,2012/01/03
picardie_2012/01/03,11,7,44,94,9.875,72,8:13:0,picardie,2012/01/03
poitou-charentes_2012/01/03,14,13,48,90,8.875,82,8:44:0,poitou-charentes,2012/01/03
rh-ne-alpes_2012/01/03,7,3,11,90,6.75,45,8:46:0,rh-ne-alpes,2012/01/03
provence-alpes-c-te-d-azur_2012/01/03,10,6,30,75,10,5,9:4:0,provence-alpes-c-te-d-azur,2012/01/03
alsace_2012/01/04,8,4,25,88,9.5,58,8:25:0,alsace,2012/01/04
aquitaine_2012/01/04,12,9,10,83,9.625,59,8:54:0,aquitaine,2012/01/04
ardeche_2012/01/04,8,3,23,88,8.375,23,8:55:0,ardeche,2012/01/04
auvergne_2012/01/04,7,3,19,90,9.875,58,8:47:0,auvergne,2012/01/04
bourgogne_2012/01/04,8,5,16,93,9.625,59,8:36:0,bourgogne,2012/01/04
