region,day,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_Min
Bourgogne-Franche-Comté,2010/01/01,4.0,1.0,18.5,97.0,5.4375,83.0,513.5
Bourgogne-Franche-Comté,2010/01/02,-0.5,-2.5,9.0,85.5,8.6875,29.0,514.5
Bourgogne-Franche-Comté,2010/01/03,-0.5,-2.0,7.5,69.5,10.0,21.0,515.5
Bourgogne-Franche-Comté,2010/01/04,-2.5,-4.5,11.5,70.0,10.0,5.5,516.5
Bourgogne-Franche-Comté,2010/01/05,-3.0,-5.5,12.0,82.0,10.0,19.0,518.0
Bourgogne-Franche-Comté,2010/01/06,-2.0,-5.0,12.0,66.0,9.5,40.5,519.5
Bourgogne-Franche-Comté,2010/01/07,-0.5,-3.5,11.0,80.5,6.75,53.5,520.5
Bourgogne-Franche-Comté,2010/01/08,-2.5,-3.5,36.5,91.0,6.5625,92.0,522.5
Bourgogne-Franche-Comté,2010/01/09,-4.0,-5.5,28.5,86.5,6.75,100.0,524.0
Bourgogne-Franche-Comté,2010/01/10,-2.5,-3.5,6.5,91.0,7.1875,75.0,525.0
Bourgogne-Franche-Comté,2010/01/11,-4.5,-6.5,6.0,90.0,6.5,11.0,527.5
Bourgogne-Franche-Comté,2010/01/12,-3.5,-6.0,10.5,92.0,6.5,29.5,529.0
Bourgogne-Franche-Comté,2010/01/13,2.0,-0.5,24.5,99.5,8.0,96.0,531.0
Bourgogne-Franche-Comté,2010/01/14,0.5,-1.0,16.0,91.0,7.5,51.5,532.5
Bourgogne-Franche-Comté,2010/01/15,3.0,0.0,4.0,97.0,6.5,52.0,535.0
Bourgogne-Franche-Comté,2010/01/16,4.0,-1.0,19.0,95.5,8.0,54.0,536.5
Bourgogne-Franche-Comté,2010/01/17,6.0,4.0,22.5,95.0,6.625,76.5,538.5
Bourgogne-Franche-Comté,2010/01/18,4.5,2.5,10.0,97.0,3.25,64.5,541.0
Bourgogne-Franche-Comté,2010/01/19,3.0,0.0,7.0,79.0,8.0,6.0,543.0
Bourgogne-Franche-Comté,2010/01/20,2.5,0.0,17.5,92.5,9.8125,53.5,545.5
Bourgogne-Franche-Comté,2010/01/21,3.0,1.5,6.0,97.0,2.5,89.5,547.0
Bourgogne-Franche-Comté,2010/01/22,3.0,1.0,8.5,89.0,6.75,26.0,550.0
Bourgogne-Franche-Comté,2010/01/23,3.0,-0.5,12.0,73.5,9.5,13.5,552.0
Bourgogne-Franche-Comté,2010/01/24,3.5,2.0,11.0,93.0,5.375,74.5,555.0
Bourgogne-Franche-Comté,2010/01/25,2.5,1.5,12.0,93.0,5.75,77.0,557.0
Bourgogne-Franche-Comté,2010/01/26,0.5,-0.5,27.0,86.5,7.4375,74.5,560.0
Bourgogne-Franche-Comté,2010/01/27,-2.0,-4.5,20.5,67.5,10.0,32.5,562.0
Bourgogne-Franche-Comté,2010/01/28,0.0,-2.5,20.5,90.0,6.5625,79.0,565.0
Bourgogne-Franche-Comté,2010/01/29,1.5,0.5,34.5,96.0,7.25,100.0,568.0
Bourgogne-Franche-Comté,2010/01/30,0.0,-1.5,15.0,90.0,5.8125,63.5,571.0
Bourgogne-Franche-Comté,2010/01/31,-0.5,-3.5,13.0,90.5,6.375,34.5,573.0
Bourgogne-Franche-Comté,2010/02/01,-1.5,-4.5,23.5,94.5,6.1875,57.0,576.0
Bourgogne-Franche-Comté,2010/02/02,1.5,0.5,27.5,95.0,8.5,83.5,578.5
Bourgogne-Franche-Comté,2010/02/03,3.5,1.5,30.5,97.0,7.125,93.0,582.0
Bourgogne-Franche-Comté,2010/02/04,5.0,1.0,16.0,89.5,9.0,25.0,584.5
Bourgogne-Franche-Comté,2010/02/05,3.5,2.5,24.0,99.0,8.0,88.0,587.0
Bourgogne-Franche-Comté,2010/02/06,3.5,2.0,16.5,97.5,5.25,76.5,590.5
Bourgogne-Franche-Comté,2010/02/07,2.5,1.0,21.0,95.5,8.875,77.5,593.0
Bourgogne-Franche-Comté,2010/02/08,2.5,-1.5,16.0,85.5,7.875,27.5,597.0
Bourgogne-Franche-Comté,2010/02/09,1.5,0.0,12.0,83.0,8.1875,72.5,599.0
Bourgogne-Franche-Comté,2010/02/10,-2.0,-5.0,17.0,82.0,9.3125,54.5,603.0
Bourgogne-Franche-Comté,2010/02/11,-4.0,-6.0,32.0,78.5,7.125,90.0,605.0
Bourgogne-Franche-Comté,2010/02/12,-2.0,-3.5,20.0,87.0,6.5,98.0,609.0
Bourgogne-Franche-Comté,2010/02/13,-3.5,-5.0,23.0,85.0,9.6875,73.0,611.5
Bourgogne-Franche-Comté,2010/02/14,-3.0,-4.5,10.0,84.5,7.0,57.5,615.0
Bourgogne-Franche-Comté,2010/02/15,-1.5,-4.5,9.0,83.5,7.5,32.0,617.5
Bourgogne-Franche-Comté,2010/02/16,2.5,-2.0,10.5,73.0,9.5,21.0,621.0
Bourgogne-Franche-Comté,2010/02/17,3.0,0.5,11.5,96.0,6.75,95.5,624.5
Bourgogne-Franche-Comté,2010/02/18,8.0,3.5,17.0,94.5,7.6875,46.5,627.0
Bourgogne-Franche-Comté,2010/02/19,3.5,2.5,14.5,97.0,3.375,84.0,630.5
Bourgogne-Franche-Comté,2010/02/20,3.5,2.5,18.5,92.0,6.8125,64.0,634.0
Bourgogne-Franche-Comté,2010/02/21,7.0,2.5,19.5,88.5,9.0,58.0,637.5
Bourgogne-Franche-Comté,2010/02/22,11.0,6.5,32.5,87.5,9.9375,56.5,640.0
Bourgogne-Franche-Comté,2010/02/23,9.0,7.5,29.5,94.0,8.9375,95.0,643.5
Bourgogne-Franche-Comté,2010/02/24,10.0,7.5,22.5,90.5,8.5625,57.5,647.0
Bourgogne-Franche-Comté,2010/02/25,9.5,7.5,26.0,93.5,9.3125,63.5,650.5
Bourgogne-Franche-Comté,2010/02/26,8.5,4.0,45.0,93.0,9.3125,58.5,654.0
Bourgogne-Franche-Comté,2010/02/27,8.5,5.5,19.0,74.5,9.625,38.0,657.0
Bourgogne-Franche-Comté,2010/02/28,11.0,9.0,53.5,73.5,10.0,38.5,660.0
Bourgogne-Franche-Comté,2010/03/01,9.0,5.5,8.0,80.0,7.5,39.5,663.5
Bourgogne-Franche-Comté,2010/03/02,6.5,3.5,13.5,98.0,6.8125,78.5,667.0
Bourgogne-Franche-Comté,2010/03/03,5.5,2.5,23.5,81.5,10.0,43.5,670.5
Bourgogne-Franche-Comté,2010/03/04,5.0,2.0,27.5,72.0,9.375,40.0,674.0
Bourgogne-Franche-Comté,2010/03/05,3.5,0.5,26.5,54.5,10.0,3.5,677.0
Bourgogne-Franche-Comté,2010/03/06,2.0,0.0,21.0,81.0,8.375,65.5,681.0
Bourgogne-Franche-Comté,2010/03/07,1.0,-3.0,37.0,57.5,9.0,45.0,684.0
Bourgogne-Franche-Comté,2010/03/08,3.0,-2.0,35.0,41.5,10.0,7.5,688.0
Bourgogne-Franche-Comté,2010/03/09,-1.5,-3.5,43.0,52.0,8.875,28.5,691.0
Bourgogne-Franche-Comté,2010/03/10,-1.5,-3.5,24.5,70.0,7.4375,78.0,695.0
Bourgogne-Franche-Comté,2010/03/11,-0.5,-1.0,17.5,87.5,5.6875,76.5,698.0
Bourgogne-Franche-Comté,2010/03/12,5.0,0.5,9.5,61.0,7.875,7.0,702.0
Bourgogne-Franche-Comté,2010/03/13,6.5,2.5,18.5,61.0,9.5,7.5,705.0
Bourgogne-Franche-Comté,2010/03/14,5.5,2.5,12.0,72.5,7.375,38.0,709.0
Bourgogne-Franche-Comté,2010/03/15,8.0,3.0,13.5,90.5,6.6875,43.5,712.0
Bourgogne-Franche-Comté,2010/03/16,9.5,6.5,8.0,72.5,7.5,22.0,715.0
Bourgogne-Franche-Comté,2010/03/17,14.0,7.5,14.0,63.0,10.0,29.5,719.0
Bourgogne-Franche-Comté,2010/03/18,14.0,9.5,21.0,56.0,10.0,30.0,722.0
Bourgogne-Franche-Comté,2010/03/19,16.5,11.5,21.0,66.0,9.6875,33.0,726.0
Bourgogne-Franche-Comté,2010/03/20,16.5,12.0,31.0,74.5,9.375,56.5,729.0
Bourgogne-Franche-Comté,2010/03/21,12.0,10.5,25.5,92.0,9.375,74.0,733.0
Bourgogne-Franche-Comté,2010/03/22,14.5,10.5,3.0,74.5,6.75,47.5,736.0
Bourgogne-Franche-Comté,2010/03/23,15.5,12.0,6.0,69.5,9.5,5.0,739.0
Bourgogne-Franche-Comté,2010/03/24,17.0,13.0,17.5,72.0,9.9375,20.0,743.0
Bourgogne-Franche-Comté,2010/03/25,16.5,13.5,22.5,73.0,7.5625,47.5,746.0
Bourgogne-Franche-Comté,2010/03/26,10.0,6.5,31.0,95.5,9.0625,69.5,750.0
Bourgogne-Franche-Comté,2010/03/27,8.5,6.5,28.5,93.0,8.375,70.5,753.0
Bourgogne-Franche-Comté,2010/03/28,9.5,7.5,24.0,94.0,8.75,92.5,757.0
Bourgogne-Franche-Comté,2010/03/29,17.0,11.5,18.5,84.5,8.25,52.5,760.0
Bourgogne-Franche-Comté,2010/03/30,9.5,5.5,27.5,95.5,9.5625,58.0,763.0
Bourgogne-Franche-Comté,2010/03/31,9.0,6.0,28.0,84.5,8.6875,63.5,767.0
Bourgogne-Franche-Comté,2010/04/01,9.0,6.0,19.0,71.0,8.8125,49.0,770.0
Bourgogne-Franche-Comté,2010/04/02,11.0,8.0,19.5,66.5,9.9375,46.5,774.0
Bourgogne-Franche-Comté,2010/04/03,7.5,6.5,18.5,95.0,9.625,84.0,777.0
Bourgogne-Franche-Comté,2010/04/04,9.5,7.0,26.0,81.5,8.75,51.0,780.0
Bourgogne-Franche-Comté,2010/04/05,11.0,7.0,8.0,70.5,6.875,39.5,784.0
Bourgogne-Franche-Comté,2010/04/06,15.5,9.5,13.0,55.0,10.0,2.5,787.0
Bourgogne-Franche-Comté,2010/04/07,15.0,11.5,19.0,68.5,8.1875,31.5,790.5
Bourgogne-Franche-Comté,2010/04/08,11.5,9.5,12.0,88.5,4.875,87.5,793.5
Bourgogne-Franche-Comté,2010/04/09,14.5,9.5,20.5,87.0,10.0,53.0,797.0
Bourgogne-Franche-Comté,2010/04/10,14.0,11.5,19.0,64.5,10.0,19.0,800.0
Bourgogne-Franche-Comté,2010/04/11,10.0,8.5,29.0,59.0,9.9375,22.5,803.0
Bourgogne-Franche-Comté,2010/04/12,7.5,6.0,25.0,66.5,10.0,46.0,807.0
Bourgogne-Franche-Comté,2010/04/13,11.5,7.5,16.0,67.5,10.0,36.0,810.0
Bourgogne-Franche-Comté,2010/04/14,12.5,9.5,13.5,64.0,9.375,36.0,813.5
Bourgogne-Franche-Comté,2010/04/15,10.5,9.5,18.0,67.0,10.0,43.0,817.0
Bourgogne-Franche-Comté,2010/04/16,12.5,9.0,22.5,72.5,10.0,33.5,819.5
Bourgogne-Franche-Comté,2010/04/17,16.5,12.0,17.5,66.0,10.0,6.5,823.0
Bourgogne-Franche-Comté,2010/04/18,17.5,14.5,9.5,69.0,9.375,13.5,826.0
Bourgogne-Franche-Comté,2010/04/19,18.0,15.0,10.5,70.0,8.375,16.0,829.5
Bourgogne-Franche-Comté,2010/04/20,17.0,15.5,16.5,65.0,9.875,24.0,833.0
Bourgogne-Franche-Comté,2010/04/21,17.0,14.5,9.5,64.5,9.0,16.0,835.5
Bourgogne-Franche-Comté,2010/04/22,16.5,12.0,14.0,61.0,10.0,21.5,839.5
Bourgogne-Franche-Comté,2010/04/23,17.5,12.0,13.0,61.0,10.0,22.5,842.0
Bourgogne-Franche-Comté,2010/04/24,19.5,15.0,9.0,58.5,10.0,2.0,845.5
Bourgogne-Franche-Comté,2010/04/25,21.5,20.0,13.5,57.5,9.875,13.5,849.0
Bourgogne-Franche-Comté,2010/04/26,18.0,11.5,14.5,69.5,6.875,51.5,851.5
Bourgogne-Franche-Comté,2010/04/27,18.5,15.0,16.5,66.0,8.875,19.0,855.0
Bourgogne-Franche-Comté,2010/04/28,22.0,18.0,4.5,59.5,10.0,10.5,858.0
Bourgogne-Franche-Comté,2010/04/29,23.5,19.0,22.5,52.0,9.9375,10.5,860.5
Bourgogne-Franche-Comté,2010/04/30,15.0,10.5,15.0,97.0,6.875,79.0,864.0
Bourgogne-Franche-Comté,2010/05/01,16.0,12.5,11.0,87.5,6.875,63.0,867.0
Bourgogne-Franche-Comté,2010/05/02,13.0,10.5,12.0,89.5,7.4375,58.0,869.0
Bourgogne-Franche-Comté,2010/05/03,11.0,9.0,16.0,82.5,7.875,67.5,873.0
Bourgogne-Franche-Comté,2010/05/04,9.5,8.0,38.5,90.5,9.375,88.5,875.5
Bourgogne-Franche-Comté,2010/05/05,6.0,3.0,28.0,95.5,7.9375,100.0,878.0
Bourgogne-Franche-Comté,2010/05/06,6.0,5.0,12.5,95.5,4.875,95.0,881.5
Bourgogne-Franche-Comté,2010/05/07,13.5,11.5,6.0,68.5,7.125,66.0,884.0
Bourgogne-Franche-Comté,2010/05/08,16.0,13.5,8.0,68.0,8.625,42.0,886.5
Bourgogne-Franche-Comté,2010/05/09,12.5,11.0,6.5,97.0,6.1875,81.0,890.0
Bourgogne-Franche-Comté,2010/05/10,16.5,12.0,8.5,95.0,5.625,62.0,892.5
Bourgogne-Franche-Comté,2010/05/11,14.0,10.0,12.5,98.0,5.1875,70.5,895.0
Bourgogne-Franche-Comté,2010/05/12,12.0,8.0,15.5,87.0,6.625,66.5,897.5
Bourgogne-Franche-Comté,2010/05/13,10.5,8.5,14.0,75.0,10.0,66.0,900.5
Bourgogne-Franche-Comté,2010/05/14,12.0,10.0,12.5,65.0,8.75,68.0,903.0
Bourgogne-Franche-Comté,2010/05/15,11.5,9.5,21.5,72.5,9.0,63.0,905.0
Bourgogne-Franche-Comté,2010/05/16,14.0,12.5,12.0,59.5,10.0,44.5,907.5
Bourgogne-Franche-Comté,2010/05/17,13.5,12.5,12.5,74.5,8.375,38.0,910.5
Bourgogne-Franche-Comté,2010/05/18,14.5,13.5,13.5,57.5,8.0,32.0,913.0
Bourgogne-Franche-Comté,2010/05/19,14.0,12.0,21.0,57.0,9.5,23.0,915.0
Bourgogne-Franche-Comté,2010/05/20,15.0,11.5,19.5,73.0,8.1875,60.5,917.0
