,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,region,day
alsace_2014/01/01,7,4,13,90,9.875,48,8:23:0,alsace,2014/01/01
aquitaine_2014/01/01,11,8,19,90,7,65,8:52:0,aquitaine,2014/01/01
ardeche_2014/01/01,7,5,13,95,8.375,78,8:53:0,ardeche,2014/01/01
auvergne_2014/01/01,9,4,22,91,10,45,8:45:0,auvergne,2014/01/01
bourgogne_2014/01/01,7,3,19,96,9,72,8:33:0,bourgogne,2014/01/01
bretagne_2014/01/01,10,8,43,96,10,64,8:27:0,bretagne,2014/01/01
centre_2014/01/01,10,6,32,95,8.625,83,8:28:0,centre,2014/01/01
champagne-ardenne_2014/01/01,9,5,24,95,9,88,8:17:0,champagne-ardenne,2014/01/01
corse_2014/01/01,10,9,10,80,10,31,9:12:0,corse,2014/01/01
franche-comte_2014/01/01,7,3,15,92,9,53,8:34:0,franche-comte,2014/01/01
ile-de-re_2014/01/01,13,11,48,91,8.125,73,8:42:0,ile-de-re,2014/01/01
ile-de-france_2014/01/01,9,5,31,96,8.625,82,8:20:0,ile-de-france,2014/01/01
languedoc-roussillon_2014/01/01,11,9,15,85,10,84,9:0:0,languedoc-roussillon,2014/01/01
limousin_2014/01/01,9,6,31,95,9.875,83,8:45:0,limousin,2014/01/01
lorraine_2014/01/01,7,3,20,96,8,90,8:18:0,lorraine,2014/01/01
midi-pyrenees_2014/01/01,12,6,20,83,9,33,9:1:0,midi-pyrenees,2014/01/01
nord-pas-de-calais_2014/01/01,8,4,37,95,9.75,79,8:7:0,nord-pas-de-calais,2014/01/01
normandie_2014/01/01,10,7,56,91,9,61,8:18:0,normandie,2014/01/01
pays-de-la-loire_2014/01/01,11,10,43,94,9.25,67,8:34:0,pays-de-la-loire,2014/01/01
picardie_2014/01/01,8,4,40,96,10,79,8:11:0,picardie,2014/01/01
poitou-charentes_2014/01/01,13,11,48,88,8.125,73,8:43:0,poitou-charentes,2014/01/01
rh-ne-alpes_2014/01/01,9,4,22,92,9.875,53,8:45:0,rh-ne-alpes,2014/01/01
provence-alpes-c-te-d-azur_2014/01/01,12,9,18,85,10,49,9:3:0,provence-alpes-c-te-d-azur,2014/01/01
alsace_2014/01/02,8,5,17,90,8.875,60,8:24:0,alsace,2014/01/02
aquitaine_2014/01/02,14,10,13,90,9.875,38,8:53:0,aquitaine,2014/01/02
ardeche_2014/01/02,10,5,7,98,6,87,8:54:0,ardeche,2014/01/02
auvergne_2014/01/02,9,5,19,91,9.375,36,8:46:0,auvergne,2014/01/02
bourgogne_2014/01/02,10,7,25,93,9.375,55,8:34:0,bourgogne,2014/01/02
bretagne_2014/01/02,11,7,24,95,10,45,8:28:0,bretagne,2014/01/02
centre_2014/01/02,10,7,22,95,10,62,8:29:0,centre,2014/01/02
champagne-ardenne_2014/01/02,9,8,26,95,9,67,8:18:0,champagne-ardenne,2014/01/02
corse_2014/01/02,11,10,22,91,9,79,9:12:0,corse,2014/01/02
franche-comte_2014/01/02,9,6,29,93,8.75,55,8:35:0,franche-comte,2014/01/02
ile-de-re_2014/01/02,13,11,27,88,9.625,33,8:43:0,ile-de-re,2014/01/02
ile-de-france_2014/01/02,10,8,23,93,9.875,56,8:21:0,ile-de-france,2014/01/02
languedoc-roussillon_2014/01/02,14,11,8,91,10,39,9:1:0,languedoc-roussillon,2014/01/02
limousin_2014/01/02,10,7,21,97,9.5,67,8:46:0,limousin,2014/01/02
lorraine_2014/01/02,9,7,28,92,9.625,71,8:19:0,lorraine,2014/01/02
