,TempMax_Deg,TempMin_Deg,Wind_kmh,Wet_percent,Visibility_km,CloudCoverage_percent,Dayduration_hour,region,day
alsace_2011/01/01,-1,-5,5,97,3.25,37,8:23:0,alsace,2011/01/01
aquitaine_2011/01/01,9,6,6,93,4,62,8:52:0,aquitaine,2011/01/01
ardeche_2011/01/01,6,0,14,94,6,14,8:52:0,ardeche,2011/01/01
auvergne_2011/01/01,5,-1,8,97,4,49,8:45:0,auvergne,2011/01/01
bourgogne_2011/01/01,1,-1,6,90,7,19,8:33:0,bourgogne,2011/01/01
bretagne_2011/01/01,4,-1,10,94,6,18,8:27:0,bretagne,2011/01/01
centre_2011/01/01,1,-1,10,85,7.75,25,8:28:0,centre,2011/01/01
champagne-ardenne_2011/01/01,1,-2,7,98,2.25,57,8:17:0,champagne-ardenne,2011/01/01
corse_2011/01/01,11,9,7,86,10,37,9:11:0,corse,2011/01/01
franche-comte_2011/01/01,1,-2,4,92,8,13,8:34:0,franche-comte,2011/01/01
ile-de-re_2011/01/01,6,3,21,92,10,28,8:42:0,ile-de-re,2011/01/01
ile-de-france_2011/01/01,1,-1,7,95,7,47,8:20:0,ile-de-france,2011/01/01
languedoc-roussillon_2011/01/01,10,7,13,85,10,37,9:0:0,languedoc-roussillon,2011/01/01
limousin_2011/01/01,6,1,13,98,5.75,24,8:45:0,limousin,2011/01/01
lorraine_2011/01/01,0,-2,6,98,1.5,71,8:18:0,lorraine,2011/01/01
midi-pyrenees_2011/01/01,10,5,6,96,5.75,51,9:1:0,midi-pyrenees,2011/01/01
nord-pas-de-calais_2011/01/01,2,1,12,100,0.75,78,8:7:0,nord-pas-de-calais,2011/01/01
normandie_2011/01/01,5,2,8,87,10,54,8:18:0,normandie,2011/01/01
pays-de-la-loire_2011/01/01,4,0,15,91,10,39,8:34:0,pays-de-la-loire,2011/01/01
picardie_2011/01/01,2,0,12,99,1.5,72,8:11:0,picardie,2011/01/01
poitou-charentes_2011/01/01,6,4,16,92,10,28,8:42:0,poitou-charentes,2011/01/01
rh-ne-alpes_2011/01/01,3,-2,8,92,7,13,8:44:0,rh-ne-alpes,2011/01/01
provence-alpes-c-te-d-azur_2011/01/01,10,9,11,88,10,51,9:2:0,provence-alpes-c-te-d-azur,2011/01/01
alsace_2011/01/02,0,-4,9,98,0.875,62,8:24:0,alsace,2011/01/02
aquitaine_2011/01/02,5,0,13,87,10,22,8:53:0,aquitaine,2011/01/02
ardeche_2011/01/02,2,0,19,91,9.625,23,8:53:0,ardeche,2011/01/02
auvergne_2011/01/02,0,-3,17,93,8,76,8:46:0,auvergne,2011/01/02
bourgogne_2011/01/02,1,-1,25,95,8.75,44,8:34:0,bourgogne,2011/01/02
bretagne_2011/01/02,5,0,12,96,5.75,67,8:28:0,bretagne,2011/01/02
centre_2011/01/02,2,1,15,94,6.75,42,8:29:0,centre,2011/01/02
champagne-ardenne_2011/01/02,1,-1,10,98,2.75,62,8:18:0,champagne-ardenne,2011/01/02
corse_2011/01/02,9,8,9,85,9.375,52,9:12:0,corse,2011/01/02
franche-comte_2011/01/02,0,-2,24,95,6.75,37,8:35:0,franche-comte,2011/01/02
ile-de-re_2011/01/02,6,2,24,89,10,23,8:43:0,ile-de-re,2011/01/02
ile-de-france_2011/01/02,3,-2,13,97,6.75,44,8:21:0,ile-de-france,2011/01/02
